eventName,errorCode,action,status
ReplaceNetworkAclEntry,success,modified,success
ReplaceNetworkAclEntry,*,modified,failure
ReplaceNetworkAclAssociation,success,modified,success
ReplaceNetworkAclAssociation,*,modified,failure
TagUser,success,created,success
TagUser,*,unknown,failure
CreateNetworkInterface,success,created,success
ListAliases,success,read,success
CheckMfa,success,success,success
CreateChangeSet,success,modified,success
CreateChangeSet,*,modified,failure
CreateDeliveryStream,success,created,success
CreateDeliveryStream,*,created,failure
CreateKeyspace,success,created,success
CreateKeyspace,*,created,failure
CreateLoadBalancerListeners,success,modified,success
CreateLoadBalancerListeners,*,modified,failure
CreateLoadBalancerPolicy,success,modified,success
CreateLoadBalancerPolicy,*,modified,failure
CreateQueue,success,created,success
CreateQueue,*,created,success
CreateFunction20150331,success,created,success
CreateFunction20150331,*,created,failure
CreateLogGroup,success,created,success
CreateLogGroup,*,created,failure
CreateLogStream,success,created,success
CreateLogStream,*,created,failure
GetBucketEncryption,success,read,success
GetBucketEncryption,*,read,failure
CreateTable,success,created,success
CreateTable,*,created,failure
BatchGetImage,success,read,success
BatchGetImage,*,read,failure
CreateAuthorizer,success,created,success
CreateAuthorizer,*,created,failure
CreateClientVpnEndpoint,success,created,success
CreateClientVpnEndpoint,*,created,failure
CreateConnection,success,created,success
CreateConnection,*,created,failure
CreateDBClusterSnapshot,success,created,success
CreateDBClusterSnapshot,*,created,failure
CreateDataChannel,success,modified,success
CreateDataChannel,*,modified,failure
CreateLoadBalancer,success,created,success
CreateLoadBalancer,*,created,failure
CreateNamespace,success,created,success
CreateNamespace,*,created,failure
CreateServiceLinkedRole,success,created,success
CreateServiceLinkedRole,*,created,failure
CreateSnapshot,success,created,success
CreateSnapshot,*,created,failure
CreateVpc,success,created,success
CreateVpc,*,created,failure
CreateWorkgroup,success,created,success
CreateWorkgroup,*,created,failure
Decrypt,success,read,success
Decrypt,*,read,failure
DeleteDBSubnetGroup,success,deleted,success
DeleteDBSubnetGroup,*,deleted,failure
DeleteVpcEndpoints,success,deleted,success
DeleteVpcEndpoints,*,deleted,failure
DescribeAccessPoints,success,read,success
DescribeAccessPoints,*,read,failure
DescribeAccountSubscription,success,read,success
DescribeAccountSubscription,*,read,failure
DescribeAddresses,success,read,success
DescribeAddresses,*,read,failure
DescribeBackupPolicy,success,read,success
DescribeBackupPolicy,*,read,failure
DescribeCluster,success,read,success
DescribeCluster,*,read,failure
DescribeConfigurationSettings,success,read,success
DescribeConfigurationSettings,*,read,failure
DescribeContinuousBackups,success,read,success
DescribeContinuousBackups,*,read,failure
DescribeCustomerGateways,success,read,success
DescribeCustomerGateways,*,read,failure
DescribeDBClusterSnapshotAttributes,success,read,success
DescribeDBClusterSnapshotAttributes,*,read,failure
DescribeDBClusterSnapshots,success,read,success
DescribeDBClusterSnapshots,*,read,failure
DescribeDBClusters,success,read,success
DescribeDBClusters,*,read,failure
DescribeDBEngineVersions,success,read,success
DescribeDBEngineVersions,*,read,failure
DescribeDBInstances,success,read,success
DescribeDBInstances,*,read,failure
DescribeDBSecurityGroups,success,read,success
DescribeDBSecurityGroups,*,read,failure
DescribeDBSnapshotAttributes,success,read,success
DescribeDBSnapshotAttributes,*,read,failure
DescribeDBSnapshots,success,read,success
DescribeDBSnapshots,*,read,failure
DescribeDBSubnetGroups,success,read,success
DescribeDBSubnetGroups,*,read,failure
DescribeDRTAccess,success,read,success
DescribeDRTAccess,*,read,failure
DescribeDeliveryStream,success,read,success
DescribeDeliveryStream,*,read,failure
DescribeDirectories,success,read,success
DescribeDirectories,*,read,failure
DescribeEndpoint,success,read,success
DescribeEndpoint,*,read,failure
DescribeFileSystemPolicy,success,read,success
DescribeFileSystemPolicy,*,read,failure
DescribeFileSystems,success,read,success
DescribeFileSystems,*,read,failure
DescribeFleets,success,read,success
DescribeFleets,*,read,failure
DescribeHosts,success,read,success
DescribeHosts,*,read,failure
DescribeHub,success,read,success
DescribeHub,*,read,failure
DescribeImages,success,read,success
DescribeImages,*,read,failure
DescribeInstances,success,read,success
DescribeInstances,*,read,failure
DescribeInternetGateways,success,read,success
DescribeInternetGateways,*,read,failure
DescribeJobs,success,read,success
DescribeJobs,*,read,failure
DescribeKeyPairs,success,read,success
DescribeKeyPairs,*,read,failure
DescribeListeners,success,read,success
DescribeListeners,*,read,failure
DescribeLoadBalancers,success,read,success
DescribeLoadBalancers,*,read,failure
DescribeSecret,success,read,success
DescribeSecret,*,read,failure
GetDomainPermissionsPolicy,success,read,success
GetDomainPermissionsPolicy,*,read,failure
GetSecretValue,success,read,success
GetSecretValue,*,read,failure
GetSecurityConfigurations,success,read,success
GetSecurityConfigurations,*,read,failure
ListOrganizationAdminAccounts,success,read,success
ListOrganizationAdminAccounts,*,read,failure
AddMemberToGroup,success,modified,success
AddMemberToGroup,*,modified,failure
AdminCreateUser,success,created,success
AdminCreateUser,*,created,failure
AdminGetUser,success,read,success
AdminGetUser,*,read,failure
AdminResetUserPassword,success,modified,success
AdminResetUserPassword,*,modified,failure
DescribeLogStreams,success,read,success
DescribeLogStreams,*,read,failure
DescribeLoggingConfiguration,success,read,success
DescribeLoggingConfiguration,*,read,failure
DescribeNotebookInstance,success,read,success
DescribeNotebookInstance,*,read,failure
DescribeOrganizationConfiguration,success,read,success
DescribeOrganizationConfiguration,*,read,failure
DescribeRepositories ,success,read,success
DescribeRepositories ,*,read,failure
DescribeReservedDBInstances,success,read,success
DescribeReservedDBInstances,*,read,failure
DescribeReservedInstances,success,read,success
DescribeReservedInstances,*,read,failure
DescribeReservedInstancesListings,success,read,success
DescribeReservedInstancesListings,*,read,failure
DescribeRules,success,read,success
DescribeRules,*,read,failure
DescribeSecurityGroupRules,success,read,success
DescribeSecurityGroupRules,*,read,failure
DescribeSnapshots,success,read,success
DescribeSnapshots,*,read,failure
DescribeStacks,success,read,success
DescribeStacks,*,read,failure
DescribeStream,success,read,success
DescribeStream,*,read,failure
DescribeTable,success,read,success
DescribeTable,*,read,failure
DescribeTargetGroups,success,read,success
DescribeTargetGroups,*,read,failure
DescribeUserProfiles,success,read,success
DescribeUserProfiles,*,read,failure
DescribeVolumes,success,read,success
DescribeVolumes,*,read,failure
DescribeVpcEndpointServicePermissions,success,read,success
DescribeVpcEndpointServicePermissions,*,read,failure
DescribeVpnConnections,success,read,success
DescribeVpnConnections,*,read,failure
DescribeWorkspaceDirectories,success,read,success
DescribeWorkspaceDirectories,*,read,failure
DetachInternetGateway,success,modified,success
DetachInternetGateway,*,modified,failure
DescribeNatGateways,success,read,success
DescribeNatGateways,*,read,failure
DescribeNetworkAcls,success,read,success
DescribeNetworkAcls,*,read,failure
DescribeNetworkInterfaces,success,read,success
DescribeNetworkInterfaces,*,read,failure
DescribeRouteTables,success,read,success
DescribeRouteTables,*,read,failure
DescribeSecurityGroups,success,read,success
DescribeSecurityGroups,*,read,failure
DescribeSubnets,success,read,success
DescribeSubnets,*,read,failure
DescribeVpcEndpoints,success,read,success
DescribeVpcEndpoints,*,read,failure
DescribeVpcs,success,read,success
DescribeVpcs,*,read,failure
DriverExecute,success,modified,success
DriverExecute,*,modified,failure
EnableControl,success,modified,success
EnableControl,*,modified,failure
Error_GET,success,read,success
Error_GET,*,read,failure
GenerateCredentialReport,success,read,success
GenerateCredentialReport,*,read,failure
GetAccessPointPolicy,success,read,success
GetAccessPointPolicy,*,read,failure
GetAccountPublicAccessBlock,success,read,success
GetAccountPublicAccessBlock,*,read,failure
GetAdminScope,success,read,success
GetAdminScope,*,read,failure
GetAlternateContact,success,read,success
GetAlternateContact,*,read,failure
GetContactInformation,success,read,success
GetContactInformation,*,read,failure
DescribeWorkspaces,success,read,success
DescribeWorkspaces,*,read,failure
