monitoringruledisplayname,enabled_by_default,target_class,description,counter_type,counter_category,supported_os
Average Disk Write Queue Length Windows Server 2016 and 1709+ (Logical Disk),0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Average Disk Write Queue Length Windows Server 2016 and 1709+ (Physical Disk),0,"Windows Server 2016 Physical Disk,Windows Server 2019 Physical Disk",The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Average Logical Disk Read Queue Length 2003,0,Windows Server 2003 Logical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2003
Average Logical Disk Read Queue Length 2008,0,Windows Server 2008 Logical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2008
Average Logical Disk Read Queue Length Windows Server 2012,0,Windows Server 2012 Logical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2012
Average Logical Disk Read Queue Length Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Average Logical Disk Write Queue Length 2008,0,Windows Server 2008 Logical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2008
Average Physical Disk Read Queue Length 2003,0,Windows Server 2003 Physical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2003
Average Physical Disk Read Queue Length 2008,0,Windows Server 2008 Physical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2008
Average Physical Disk Read Queue Length Windows Server 2012,0,Windows Server 2012 Physical Disk,The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2012
Average Physical Disk Read Queue Length Windows Server 2016 and 1709+,0,"Windows Server 2016 Physical Disk,Windows Server 2019 Physical Disk",The average number of read requests that were queued for the selected disk during the sample interval.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Average Physical Disk Write Queue Length 2008,0,Windows Server 2008 Physical Disk,The average number of write requests that were queued for the selected disk during the sample interval.,Performance,Storage,Windows Server 2008
Cache Bytes,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\Cache Bytes,Performance,Memory,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Cache Data Map Hits Percent,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\Data Map Hits %,Performance,Memory,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Checking File System Occurred on Startup,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2012 R2 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",This event indicates that the system ran a chkdsk on startup,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2012 R2,Windows Server 2016,Windows Server 2019"
Cluster Disk - Free space / %,1,Cluster Disk,This rule collects the 'Free space / %' performance counter for a Cluster disk.,Performance,Storage,Generic
Cluster Disk - Free space / MB,1,Cluster Disk,This rule collects the 'Free space / MB' performance counter for a Cluster disk.,Performance,Storage,Generic
Cluster Disk - Total size / MB,1,Cluster Disk,This rule collects the 'Total size / MB' performance counter for a Cluster disk.,Performance,Storage,Generic
Cluster Shared Volume - Free space / %,1,Cluster Shared Volume,This rule collects the 'Free space / %' performance counter for a Cluster Shared Volume.,Performance,Storage,Generic
Cluster Shared Volume - Free space / MB,1,Cluster Shared Volume,This rule collects the 'Free space / MB' performance counter for a Cluster Shared Volume.,Performance,Storage,Generic
Cluster Shared Volume - Total size / MB,1,Cluster Shared Volume,This rule collects the 'Total size / MB' performance counter for a Cluster Shared Volume.,Performance,Storage,Generic
Collection Rule for Average Disk Seconds Per Read 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Performance,Storage,Windows Server 2003
Collection Rule for Average Disk Seconds Per Read 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Performance,Storage,Windows Server 2008
Collection Rule for Average Disk Seconds Per Read Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Performance,Storage,Windows Server 2012
Collection Rule for Average Disk Seconds Per Read Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Avg Disk Sec Per Read,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Average Disk Seconds Per Transfer 2003,1,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Performance,Storage,Windows Server 2003
Collection Rule for Average Disk Seconds Per Transfer 2008,1,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Performance,Storage,Windows Server 2008
Collection Rule for Average Disk Seconds Per Transfer Windows Server 2012,1,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Performance,Storage,Windows Server 2012
Collection Rule for Average Disk Seconds Per Transfer Windows Server 2016 and 1709+,1,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Avg Disk Sec Per Transfer,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Average Disk Seconds Per Write 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Write,Performance,Storage,Windows Server 2003
Collection Rule for Average Disk Seconds Per Write Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Write,Performance,Storage,Windows Server 2012
Collection Rule for Average Disk Seconds Per Write Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Avg Disk Sec Per Write,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Average Logical Disk Seconds Per Write 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Sec Per Write,Performance,Storage,Windows Server 2008
Collection rule for Current Disk Queue Length 2003,1,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Current Disk Queue Length,Performance,Storage,Windows Server 2003
Collection rule for Current Disk Queue Length 2008,1,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Current Disk Queue Length,Performance,Storage,Windows Server 2008
Collection rule for Current Disk Queue Length Windows Server 2012,1,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Current Disk Queue Length,Performance,Storage,Windows Server 2012
Collection rule for Current Disk Queue Length Windows Server 2016 and 1709+,1,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Current Disk Queue Length,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Disk Bytes Per Second 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Performance,Storage,Windows Server 2003
Collection Rule for Disk Bytes Per Second 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Performance,Storage,Windows Server 2008
Collection Rule for Disk Bytes Per Second Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Disk Bytes Per Second,Performance,Storage,Windows Server 2012
Collection Rule for Disk Bytes Per Second Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Disk Bytes Per Second,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Disk Reads Per Second 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Disk Reads Per Second,Performance,Storage,Windows Server 2003
Collection Rule for Disk Reads Per Second 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Disk Reads Per Second,Performance,Storage,Windows Server 2008
Collection Rule for Disk Reads Per Second Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Disk Reads Per Second,Performance,Storage,Windows Server 2012
Collection Rule for Disk Reads Per Second Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Disk Reads Per Second,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection Rule for Disk Writes Per Second 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Disk Writes Per Second,Performance,Storage,Windows Server 2003
Collection Rule for Disk Writes Per Second 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Disk Writes Per Second,Performance,Storage,Windows Server 2008
Collection Rule for Disk Writes Per Second Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Disk Writes Per Second,Performance,Storage,Windows Server 2012
Collection Rule for Disk Writes Per Second Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Disk Writes Per Second,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection rule for invalid Share Configuration Detected,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating that a share has invalid configuration.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection rule for Network Adapter was Disconnected from the Network,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating the network adapter was disconnected from the network.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection rule for NTFS Quota Threshold Limit Reached,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",An NTFS disk quota threshold limit was reached.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection rule for NTFS Quota Threshold Reached,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",An NTFS disk quota threshold was reached.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection rule for Service or Driver Failed to Start events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating a service or driver has failed to start.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection Rule for Software Update Installation Failed,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating a failed software update installation.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection Rule for Software Updates Installation Events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating that new software updates were installed.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection Rule for Software Updates Scheduled Installation Events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating new software updates are scheduled.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection Rule for the Average Disk Queue Length 2003,0,Windows Server 2003 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Performance,Storage,Windows Server 2003
Collection Rule for the Average Disk Queue Length 2008,0,Windows Server 2008 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Performance,Storage,Windows Server 2008
Collection Rule for the Average Disk Queue Length Windows Server 2012,0,Windows Server 2012 Logical Disk,Collects the performance counter LogicalDisk\Avg Disk Queue Length,Performance,Storage,Windows Server 2012
Collection Rule for the Average Disk Queue Length Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",Collects the performance counter LogicalDisk\Avg Disk Queue Length,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Collection rule for unexpected service terminations,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System",Collection rule for events indicating unexpected service terminations.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012"
Collection Rule for Windows Clean Restart Events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System",This rule collects the events indicating a clean Windows shutdown.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012"
Collection Rule for Windows Clean Restart Events for Windows Server 2012 R2,1,Windows Server 2012 R2 Operating System,This rule collects the events indicating a clean Windows shutdown.,Event,OS,Windows Server 2012 R2
Collection Rule for Windows Clean Restart Events for Windows Server 2016 and 1709+,1,"Windows Server 2016 Operating System,Windows Server 2019 Operating System",This rule collects the events indicating a clean Windows shutdown.,Event,OS,"Windows Server 2016,Windows Server 2019"
Collection Rule for Windows Dirty Shutdown Events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System",This rule collects events indicating a dirty Windows shutdown.,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012"
Collection Rule for Windows Dirty Shutdown Events for Windows Server 2012 R2,1,Windows Server 2012 R2 Operating System,This rule collects events indicating a dirty Windows shutdown.,Event,OS,Windows Server 2012 R2
Collection Rule for Windows Dirty Shutdown Events for Windows Server 2016 and 1709+,1,"Windows Server 2016 Operating System,Windows Server 2019 Operating System",This rule collects events indicating a dirty Windows shutdown.,Event,OS,"Windows Server 2016,Windows Server 2019"
Collection Rule for Windows Restart Events (restarted from bugcheck),1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collection rule for events indicating Windows restarted from bugcheck,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Collection Rule for Windows Restarted Events,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",This rule collects events indicating Windows has restarted,Event,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Commit Limit,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System",Collects the performance counter Memory\Commit limit,Performance,Memory,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Committed Bytes,0,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\Committed Bytes,Performance,Memory,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Current Bandwidth,1,"Windows Server 2003 Network Adapter,Windows Server 2008 Network Adapter,Windows Server 2012 Network Adapter,Windows Server 2016 Network Adapter,Windows Server 2019 Network Adapter",Rule collects Network Interface\Current Bandwidth counter.,Performance,Network,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Disk can not be read,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Logical Disk Manager reports that the disk can not be read,Alerts,Storage,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Disk Group Auto Import Failed,1,Windows Server 2003 Operating System,Logical Disk Manager reports a failed disk group import,Alerts,Storage,Windows Server 2003
Disk Group Failed,1,Windows Server 2003 Operating System,Logical Disk Manager reports a group has failed,Alerts,Storage,Windows Server 2003
Disk Read Bytes Per Second 2003 (Logical Disk),0,Windows Server 2003 Logical Disk,The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,Windows Server 2003
Disk Read Bytes Per Second 2003 (Physical Disk),0,Windows Server 2003 Physical Disk,The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,Windows Server 2003
Disk Read Bytes Per Second Windows Server 2012 (Logical Disk),0,Windows Server 2012 Logical Disk,The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,Windows Server 2012
Disk Read Bytes Per Second Windows Server 2012 (Physical Disk),0,Windows Server 2012 Physical Disk,The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,Windows Server 2012
Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Logical Disk),0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Disk Read Bytes Per Second Windows Server 2016 and 1709+ (Physical Disk),0,"Windows Server 2016 Physical Disk,Windows Server 2019 Physical Disk",The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Duplicate computer name was detected,1,Windows Server 2003 Operating System,A duplicate computer name was detected on the network.,Alerts,Network,Windows Server 2003
Duplicate IP Address has been Detected,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",A duplicate IP address has been detected on the network,Alerts,Network,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Event Log File is Full,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",The event log file is full.,Alerts,OS,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Free System Page Table Entries,1,"Windows Server 2003 Operating System,Windows Server 2008 Operating System,Windows Server 2012 Operating System,Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\Free System Page Table Entries,Alerts,Memory,"Windows Server 2003,Windows Server 2008,Windows Server 2012,Windows Server 2016,Windows Server 2019"
Logical Disk Free Megabytes 2003,1,Windows Server 2003 Logical Disk,The space in megabytes on the logical disk that is unallocated,Performance,Storage,Windows Server 2003
Logical Disk Free Megabytes 2008,1,Windows Server 2008 Logical Disk,The space in megabytes on the logical disk that is unallocated,Performance,Storage,Windows Server 2008
Logical Disk Free Megabytes Windows Server 2012,1,Windows Server 2012 Logical Disk,The space in megabytes on the logical disk that is unallocated,Performance,Storage,Windows Server 2012
Logical Disk Free Megabytes Windows Server 2016 and 1709+,1,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The space in megabytes on the logical disk that is unallocated,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Logical Disk Read Bytes Per Second 2008,0,Windows Server 2008 Logical Disk,The rate at which bytes are transferred from the disk during read operations.,Performance,Storage,Windows Server 2008
Logical Disk Split I/O Per Second 2003,0,Windows Server 2003 Logical Disk,The rate at which I/Os to the disk were split into multiple I/Os.,Performance,Storage,Windows Server 2003
Logical Disk Split I/O Per Second 2008,0,Windows Server 2008 Logical Disk,The rate at which I/Os to the disk were split into multiple I/Os.,Performance,Storage,Windows Server 2008
Logical Disk Split I/O Per Second Windows Server 2012,0,Windows Server 2012 Logical Disk,The rate at which I/Os to the disk were split into multiple I/Os.,Performance,Storage,Windows Server 2012
Logical Disk Split I/O Per Second Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The rate at which I/Os to the disk were split into multiple I/Os.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Logical Disk Write Bytes Per Second 2003,0,Windows Server 2003 Logical Disk,The rate at which bytes are transferred from the disk during write operations.,Performance,Storage,Windows Server 2003
Logical Disk Write Bytes Per Second 2008,0,Windows Server 2008 Logical Disk,The rate at which bytes are transferred from the disk during write operations.,Performance,Storage,Windows Server 2008
Logical Disk Write Bytes Per Second Windows Server 2012,0,Windows Server 2012 Logical Disk,The rate at which bytes are transferred from the disk during write operations.,Performance,Storage,Windows Server 2012
Logical Disk Write Bytes Per Second Windows Server 2016 and 1709+,0,"Windows Server 2016 Logical Disk,Windows Server 2019 Logical Disk",The rate at which bytes are transferred from the disk during write operations.,Performance,Storage,"Windows Server 2016,Windows Server 2019"
Memory % Committed Bytes in Use 2003,0,Windows Server 2003 Operating System,Collects the performance counter Memory\% Committed Bytes in Use,Performance,Memory,Windows Server 2003
Memory % Committed Bytes in Use 2008,0,Windows Server 2008 Operating System,Collects the performance counter Memory\% Committed Bytes in Use,Performance,Memory,Windows Server 2008
Memory % Committed Bytes in Use Windows Server 2012,0,Windows Server 2012 Operating System,Collects the performance counter Memory\% Committed Bytes in Use,Performance,Memory,Windows Server 2012
Memory % Committed Bytes in Use Windows Server 2012 R2,0,Windows Server 2012 R2 Operating System,Collects the performance counter Memory\% Committed Bytes in Use,Performance,Memory,Windows Server 2012 R2
Memory % Committed Bytes in Use Windows Server 2016 and 1709+,0,"Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\% Committed Bytes in Use,Performance,Memory,"Windows Server 2016,Windows Server 2019"
Memory Available Megabytes 2003,1,Windows Server 2003 Operating System,Collects the performance counter Memory\Available MBytes,Performance,Memory,Windows Server 2003
Memory Available Megabytes 2008,1,Windows Server 2008 Operating System,Collects the performance counter Memory\Available MBytes,Performance,Memory,Windows Server 2008
Memory Available Megabytes Windows Server 2012,1,Windows Server 2012 Operating System,Collects the performance counter Memory\Available MBytes,Performance,Memory,Windows Server 2012
Memory Available Megabytes Windows Server 2012 R2,1,Windows Server 2012 R2 Operating System,Collects the performance counter Memory\Available MBytes,Performance,Memory,Windows Server 2012 R2
Memory Available Megabytes Windows Server 2016 and 1709+,1,"Windows Server 2016 Operating System,Windows Server 2019 Operating System",Collects the performance counter Memory\Available MBytes,Performance,Memory,"Windows Server 2016,Windows Server 2019"
Memory Page Reads per Second 2003,0,Windows Server 2003 Operating System,Collects the performance counter Memory\Page Reads/Sec.,Performance,Memory,Windows Server 2003
Memory Page Reads per Second 2008,0,Windows Server 2008 Operating System,Collects the performance counter Memory\Page Reads/Sec.,Performance,Memory,Windows Server 2008
Memory Page Reads per Second Windows Server 2012,0,Windows Server 2012 Operating System,Collects the performance counter Memory\Page Reads/Sec.,Performance,Memory,Windows Server 2012
