code,explanation
F0186,"This fault occurs when the temperature of a memory unit on a blade or rack server exceeds a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0187,"This fault occurs when the temperature of a memory unit on a blade or rack server exceeds a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0188,"This fault occurs when the temperature of a memory unit on a blade or rack server has been out of the operating range, and the issue is not recoverable.Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0189,"This fault occurs when the memory array voltage is out of normal operating range, but hasn't yet reached a critical stage. Typically the memory array recovers itself from this situation."
F0190,This fault occurs when the memory array voltage exceeds the specified hardware voltage rating
F0191,This fault occurs when the memory array voltage exceeded the specified hardware voltage rating and potentially memory hardware may be in damage or jeopardy
F0200,"This fault typically occurs because Cisco UCS Manager has detected an unsupported adapter. For example, the model, vendor, or revision is not recognized."
F0203,"The adaptor is missing. Cisco UCS Manager raises this fault when any of the following scenarios occur:
   - The endpoint reports there is no adapter in the adaptor slot.
  - The endpoint cannot detect or communicate with the adapter in the adaptor slot."
F0206,"Cisco UCS Manager cannot access the adapter. This fault typically occurs as a result of one of the following issues:
   - The server does not have sufficient power.
  - The I/O module is not functional.
  - The adapter firmware has failed.
  - The adapter is not functional"
F0207,"This fault typically occurs as a result of one of the following issues:
   - The fabric interconnect is in End-Host mode, and all uplink ports failed.
  - The server port to which the adapter is pinned failed.
  - A transient error caused the link to fail."
F0209,"The link for a network facing adapter interface is down. Cisco UCS Manager raises this fault when any of the following scenarios occur:
   - Cisco UCS Manager cannot establish and/or validate the adapter's connectivity to any of the fabric interconnects.
  - The endpoint reports a link down or vNIC down event on the adapter link.
  - The endpoint reports an errored link state or errored vNIC state event on the adapter link."
F0276,This fault occurs when a fabric interconnect port is in link-down state. This state impacts the traffic destined for the port.
F0277,This fault is raised on fabric interconnect ports and on server-facing ports on an IOM or a FEX module when the system detects an indeterminate fault.
F0278,This fault is raised on fabric interconnect ports and server-facing ports on an IOM or a FEX module when the system detects a hardware failure.
F0279,"When a fabric interconnect port is not in an unconfigured state, an SFP is required for its operation. This fault is raised to indicate that the SFP is missing from a configured port."
F0282,This fault typically occurs when a fabric interconnect reports that a fabric port channel is operationally down.
F0283,"This fault typically occurs when a fabric interconnect reports one of the following connectivity states for a virtual interface:

    - Down
  - Errored
  - Unavailable"
F0291,"This fault typically occurs when the fabric interconnect cluster controller reports that the membership state of the fabric interconnect is down, indicating that the fabric interconnect is inoperable."
F0293,This fault occurs when one of the cluster links (either L1 or L2) of a fabric interconnect is not operationally up. This issue impacts the full HA functionality of the fabric interconnect cluster.
F0294,This fault occurs when both cluster links (L1 and L2) of the fabric interconnects are in a link-down state. This issue impacts the full HA functionality of the fabric interconnect cluster.
F0304,The adapter's vif-namespace activation failed due to insufficient resources. Cisco UCS Manager raises this fault when the number of deployed VIF resources exceeds the maximum VIF resources available on the adapter connected to the fabric interconnect.
F0305,"This fault typically occurs because Cisco UCS Manager has detected that the server has an insufficient number of DIMMs, CPUs, and/or adapters."
F0306,This fault typically occurs because Cisco UCS Manager has detected an unsupported server or CPU.
F0310,This fault typically occurs when the server power sensors have detected a problem.
F0311,This fault typically occurs when the server power sensors have detected a problem.
F0312,This fault typically occurs when the server thermal sensors have detected a problem.
F0313,This fault typically occurs when the server has encountered a diagnostic failure.
F0314,"This fault typically occurs for one of the following reasons:
   - The shallow discovery that occurs when the server associated with service profile failed.
  - The server is down.
  - The data path is not working.
  - Cisco UCS Manager cannot communicate with the CIMC on the server.
  - The server cannot communicate with the fabric interconnect."
F0315,"This fault typically occurs for one of the following reasons:
   - The service profile could not be associated with the server.
  - The server is down.
  - The data path is not working.
  - Cisco UCS Manager cannot communicate with one or more of the fabric interconnect, the server, or a component on the server."
F0317,This fault typically occurs when the server has encountered a diagnostic failure.
F0318,"This fault typically occurs when the server, which is not associated with a service profile, was previously physically inserted in the slot, but cannot be detected by Cisco UCS Manager."
F0319,"This fault typically occurs when the server, which is associated with a service profile, was previously physically inserted in the slot, but cannot be detected by Cisco UCS Manager."
F0320,This fault typically occurs because Cisco UCS Manager has detected an unsupported server or CPU.
F0321,"This fault typically occurs when the server, which is not associated with a service profile, has lost connection to the fabric interconnects. This fault occurs if there are communication issues between the server CIMC and the fabric interconnects."
F0322,"This fault typically occurs when the server, which is associated with a service profile, has lost connection to the fabric interconnects. This fault occurs if there are communication issues between the server CIMC and the fabric interconnects."
F0324,Server has failed. This fault typically occurs if the adapter power on self-test results in major and critical errors.
F0326,"The shallow discovery that occurs when the server associated with service profile fails. If the server is up and the data path is working, this fault typically occurs as a result of one of the following issues:
   - Cisco UCS Manager cannot communicate with the CIMC on the server.
  - The server cannot communicate with the fabric interconnect."
F0327,"The named configuration qualifier is not available. This fault typically occurs because Cisco UCS Manager cannot successfully deploy the service profile due to a lack of resources that meet the named qualifier. For example, this fault can occur if the following occurs:
   - The service profile is configured for a server adapter with vHBAs, and the adapter on the server does not support vHBAs.
  - The service profile is created from a template which includes a server pool, and the server pool is empty.  - The local disk configuration policy in the service profile specifies the No Local Storage mode, but the server contains local disks."
F0329,Cisco UCS Manager currently does not use this fault.
F0330,"Cisco UCS Manager cannot access the server associated with the service profile. This fault typically occurs as a result of one of the following issues:
   - The server has been physically removed from the slot.
  - The server is not available."
F0331,"Cisco UCS Manager cannot communicate with the CIMC on the server. This fault typically occurs as a result of one of the following issues:
   - The server port or ports have failed.
  - The I/O module is offline.
  - The BMC has failed."
F0332,"The service profile could not be associated with the server. This fault typically occurs because Cisco UCS Manager cannot communicate with one or more of the following:
   - Fabric interconnect
  - CIMC on the server
  - SAS controller driver
  - Server"
F0334,"The service profile has not yet been associated with a server or a server pool. This fault typically occurs as a result of one of the following issues:
   - There is no acceptable server in the server pool.
  - The association failed."
F0337,"The server no longer meets the qualification requirements of the service profile. This fault typically occurs as a result of one of the following issues:
   - The server has been physically changed.
  - A required component of the server has failed."
F0367,"This fault is raised when an I/O module fabric port, which links the I/O module port and the fabric interconnect, is not functional"
F0368,This fault typically occurs as a result of a satellite wiring problem on the network-facing interface of an I/O module and Cisco UCS Manager detects that at least one IOM uplink is misconnected to one of the fabric interconnect ports.</br
F0369,"This fault typically occurs when Cisco UCS Manager detects a problem with a power supply unit in a chassis, fabric interconnect or a FEX. For example, the PSU is not functional."
F0371,"This fault occurs when one or more fans in a fan module are not operational, but at least one fan is operational."
F0373,This fault occurs if a fan is not operational.
F0374,"This fault typically occurs when Cisco UCS Manager detects a problem with a power supply unit in a chassis, fabric interconnect or a FEX. For example, the PSU is not functional."
F0376,"This fault typically occurs because an I/O module is removed from the chassis. In a cluster configuration, the chassis fails over to the other I/O module. For a standalone configuration, the chassis associated with the I/O module loses network connectivity. This is a critical fault because it can result in the loss of network connectivity and disrupt data traffic through the I/O module."
F0377,This fault occurs if a fan Module slot is not equipped or removed from its slot
F0378,"This fault typically occurs when Cisco UCS Manager detects a problem with a power supply unit in a chassis, fabric interconnect, or a FEX. For example, the PSU is missing."
F0379,"This fault occurs when there is a thermal problem on an I/O module. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0380,"This fault occurs when the temperature of a fan module has exceeded a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0381,"This fault occurs when the temperature of a PSU module has exceeded a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0382,"This fault occurs when the temperature of a fan module has exceeded a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0383,"This fault occurs when the temperature of a PSU module has exceeded a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0384,"This fault occurs when the temperature of a fan module has been out of operating range, and the issue is not recoverable. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0385,"This fault occurs when the temperature of a PSU module has been out of operating range, and the issue is not recoverable. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C)."
F0387,"This fault occurs when the PSU voltage is out of normal operating range, but hasn't reached to a critical stage yet. Normally the PSU will recover itself from this situation."
F0389,This fault occurs when the PSU voltage has exceeded the specified hardware voltage rating.
F0391,This fault occurs when the PSU voltage has exceeded the specified hardware voltage rating and PSU hardware may have been damaged as a result or may be at risk of being damaged.
F0392,"This fault is raised as a warning if the current output of the PSU in a chassis, fabric interconnect, or rack server does not match the desired output value."
F0393,"This fault occurs if the current output of the PSU in a chassis, fabric interconnect, or rack server is far below or above the desired output value."
F0394,"This fault occurs if the current output of the PSU in a chassis, fabric interconnect, or rack server is far above or below the non-recoverable threshold value."
F0395,This fault occurs when the fan speed reading from the fan controller does not match the desired fan speed and is outside of the normal operating range. This can indicate a problem with a fan or with the reading from the fan controller.
F0396,This fault occurs when the fan speed read from the fan controller does not match the desired fan speed and has exceeded the critical threshold and is in risk of failure. This can indicate a problem with a fan or with the reading from the fan controller.
F0397,This fault occurs when the fan speed read from the fan controller has far exceeded the desired fan speed. It frequently indicates that the fan has failed.
F0398,This fault typically occurs when an IOM upgrade fails.
F0399,This fault typically occurs when the current connectivity for a chassis does not match the configuration in the chassis discovery policy.
F0400,This fault typically occurs when or more of the I/O module links from the chassis are unacknowledged.
F0401,This fault typically occurs when the current connectivity for an I/O module does not match the configuration in the chassis discovery policy.
F0402,This fault typically occurs when an I/O module is unacknowledged.
F0403,This fault typically occurs when an I/O module is unable to communicate with its peer I/O module.
F0404,This fault typically occurs when the FRU information for an I/O module is corrupted or malformed.
F0405,This fault typically occurs when the FRU information for an I/O module is corrupted or malformed.
F0406,This fault typically occurs when the FRU information for a fan module is corrupted or malformed.
F0407,This fault typically occurs when the FRU information for a power supply unit is corrupted or malformed.
F0408,This fault typically occurs when the chassis fails to meet the minimal power requirements defined in the power policy or when one or more power supplies have failed.
F0409,"This fault occurs under the following conditions:
  - If a component within a chassis is operating outside the safe thermal operating range.
  - If the chassis controller in the IOM is unable to determine the thermal condition of a blade server, the show tech-support  file for the chassis provides a more detailed report of the most severe thermal conditions currently applicable for that chassis."
F0410,"UCSM raises this fault under the following conditions:
  - If a component within a chassis is operating outside the safe thermal operating range.
  - If the chassis controller in the IOM is unable to determine the thermal condition of a blade server, the show tech-support  file for the chassis provides a more detailed report of the most severe thermal conditions currently applicable for that chassis."
F0411,"UCSM raises this fault under the following conditions:
  - If a component within a chassis is operating outside the safe thermal operating range.
  - If the chassis controller in the IOM is unable to determine the thermal condition of a blade server, the show tech-support  file for the chassis provides a more detailed report of the most severe thermal conditions currently applicable for that chassis."
F0424,This fault is raised when the CMOS battery voltage has dropped to lower than the normal operating range. This could impact the clock and other CMOS settings.
F0425,This fault is raised when the CMOS battery voltage has dropped quite low and is unlikely to recover. This impacts the clock and other CMOS settings.
F0428,This fault occurs in an unlikely event that the fabric interconnects in a cluster configuration could not reach an agreement for selecting the primary fabric interconnect. This impacts the full HA functionality of the fabric interconnect cluster.
F0429,This fault occurs if Cisco UCS Manager cannot discover or communicate with one or more chassis or rack servers to write the HA Cluster state. This impacts the full HA functionality of the fabric interconnect cluster.
F0430,This fault occurs if the Cisco UCS Manager software on the subordinate fabric interconnect is not the same release as that of the primary fabric interconnect. This impacts the full HA functionality of the fabric interconnect cluster.
F0434,This fault occurs in the unlikely event that a fan in a fan module cannot be detected.
F0435,This fault typically occurs when an I/O module is auto upgrading. Auto-upgrade occurs when the firmware version on the IOM is incompatible with the firmware version on the fabric interconnect.
F0436,This fault typically occurs when the image to which a firmware package item refers is missing.
F0440,The configuration of the chassis discovery policy conflicts with the physical IOM uplinks. Cisco UCS Manager raises this fault when the chassis discovery policy is configured for more links than are physically cabled between the IOM uplinks on the chassis and the fabric interconnect.
F0451,This fault occurs in an unlikely event that management services fail on a fabric interconnect. This impacts the full HA functionality of the fabric interconnect cluster.
F0452,This fault occurs when management services on a fabric interconnect are unresponsive. This impacts the full HA functionality of the fabric interconnect cluster.
F0456,"This fault typically occurs for one of the following reasons:
   - The fabric interconnect cannot communicate with a chassis. For a cluster configuration, this fault means that neither fabric interconnect can communicate with the chassis.
  - The chassis has an invalid FRU."
F0458,This fault is raised on the IOM/FEX backplane ports when Cisco UCS Manager detects a hardware failure.
F0459,"This fault occurs when the transport VIF for an I/O module is down. Cisco UCS Manager raises this fault when a fabric interconnect reports the connectivity state on virtual interface as one of the following:
   - Down
  - Errored
  - Unavailable"
F0460,This fault typically occurs because Cisco UCS Manager has detected that the system event log (SEL) on the server is approaching full capacity. The available capacity in the log is low. This is an info-level fault and can be ignored if you do not want to clear the SEL at this time.
F0461,This fault typically occurs because Cisco UCS Manager has detected that the system event log (SEL) on the server is almost full. The available capacity in the log is very low. This is an info-level fault and can be ignored if you do not want to clear the SEL at this time.
F0462,This fault typically occurs because Cisco UCS Manager could not transfer the SEL file to the location specified in the SEL policy. This is an info-level fault and can be ignored if you do not want to clear the SEL at this time.
F0463,This fault typically occurs when the selected server pool does not contain any servers.
F0464,This fault typically occurs when a UUID suffix pool does not contain any UUID suffixes.
F0465,This fault typically occurs when an IP address pool does not contain any IP addresses.
F0466,This fault typically occurs when a MAC address pool does not contain any MAC addresses.
F0470,This fault typically occurs when the backup firmware image on an endpoint is unusable.
F0471,"This fault typically occurs when the startup firmware image on an endpoint is corrupted or invalid, and the endpoint cannot boot from that image."
F0476,This fault typically occurs when a WWN pool does not contain any WWNs.
F0478,"This fault typically occurs because an I/O module has lost its connection to the fabric interconnects. In a cluster configuration, the chassis fails over to the other I/O module. For a standalone configuration, the chassis associated with the I/O module loses network connectivity. This is a critical fault because it can result in the loss of network connectivity and disrupt data traffic through the I/O module."
F0479,This fault occurs when Cisco UCS cannot send or receive data through an uplink port.
F0480,This fault occurs when a fan module is not operational.
F0481,This fault typically occurs when an I/O module encounters errors during the Power On Self Test (POST). The impact of this fault varies according to the errors that were encountered during POST.
F0484,"This fault occurs when the fan speed reading from the fan controller is far below the desired fan speed, and the fan has likely failed."
F0502,"This fault typically occurs because Cisco UCS Manager has detected unsupported DIMM in the server. For example, the model, vendor, or revision is not recognized."
F0517,This fault typically occurs when the server has encountered a diagnostic failure or an error during POST.
F0528,"This fault typically occurs when Cisco UCS Manager detects that a power supply unit in a chassis, fabric interconnect, or FEX is offline."
F0531,This fault occurs when the RAID battery voltage is below the normal operating range.
F0532,"This fault occurs when the transfer of a managed endpoint log file, such as the SEL, fails."
F0533,This fault is raised when the CMOS battery voltage is below the normal operating range. This impacts the system clock.
F0535,"This fault occurs when the temperature of a memory buffer unit on a blade or rack server exceeds a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0536,"This fault occurs when the temperature of a memory buffer unit on a blade or rack server exceeds a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0537,"This fault occurs when the temperature of a memory buffer unit on a blade or rack server has been out of the operating range, and the issue is not recoverable. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0538,This fault is raised when the IO controller temperature is outside the upper or lower non-critical threshold.
F0539,This fault is raised when the IO controller temperature is outside the upper or lower critical threshold.
F0540,This fault is raised when the IO controller temperature is outside the recoverable range of operation.
F0543,"This fault typically occurs because Cisco UCS Manager has detected an unsupported chassis. For example, the model, vendor, or revision is not recognized."
F0549,This fault occurs when the total number of configured VLANs in the Cisco UCS instance has exceeded the allowed maximum number of configured VLANs on the fabric interconnect.
F0620,This fault typically occurs when Cisco UCS Manager encounters a problem resolving the primary VLAN ID corresponding to a particular isolated VLAN.
F0621,This fault typically occurs when a LAN pin group does not contain any targets.
F0622,This fault typically occurs when a SAN pin group does not contain any targets.
F0625,"The link for a network-facing adapter interface is misconnected. Cisco UCS Manager raises this fault when any of the following scenarios occur:
   - Cisco UCS Manager detects a new connectivity between a previously configured switch port or FEX port and the adapter's external interface.
  - Cisco UCS Manager detects a misconnected link between a fabric interconnect or FEX and its non-peer adapter's interface."
F0626,"The link for a network-facing host interface is misconnected. Cisco UCS Manager raises this fault when any of the following scenarios occur:
   - Cisco UCS Manager detects a new connectivity between a previously configured switch port and the host Ethernet interface.
  - Cisco UCS Manager detects a misconnected link between the host interface and its non-peer fabric interconnect."
F0635,This fault typically occurs when the server CIMC has failed to enforce the configured power cap.
F0637,This fault typically occurs when the server CIMC or BIOS has failed to enforce the configured power cap.
F0640,This fault typically occurs when discovery fails due to unavailable power in the group.
F0642,This fault typically occurs when the group cap is insufficient to meet the minimum hardware requirements.
F0643,"This fault typically occurs when the group cap is insufficient to meet the minimum hardware requirements. Under these circumstances, Cisco UCS Manager uses the previously entered group cap for provisioning."
F0670,At least one port on the fabric interconnect is running in the grace period. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to a port.
F0671,At least one port on the fabric interconnect has been running in the grace period for more than 10 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 10 days.
F0672,At least one port on the fabric interconnect has been running in the grace period for more than 30 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 30 days.
F0673,At least one port on the fabric interconnect has been running in the grace period for more than 60 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 60 days.
F0674,At least one port on the fabric interconnect has been running in the grace period for more than 90 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 90 days.
F0675,At least one port on the fabric interconnect has been running in the grace period for more than 119 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 119 days.
F0676,"At least one port on the fabric interconnect has been running in the grace period for more than 120 days. This fault typically occurs if one or more ports on the fixed module are enabled after all default licenses have been assigned to ports and the unlicensed ports have been running for more than 120 days. At this stage, the system licensing state is set to expired."
F0677,The installation of a license file on the fabric interconnect failed. This fault typically occurs if the license file is badly formatted or its host ID does not match that of the fabric interconnect.
F0678,The deletion of a license file on the fabric interconnect has failed. This fault typically occurs if license framework is not able to delete a file.
F0688,This fault occurs when the server and FEX connectivity changes.
F0689,"The server could not be assigned to the selected service profile. This fault typically occurs as a result of one of the following issues:
   - The selected server does not meet the requirements of the service profile.
  - If the service profile was configured for restricted migration, the selected server does not match the currently or previously assigned server."
F0702,This fault typically occurs when a FEX encounters errors during the Power On Self Test (POST). The impact of this fault varies depending on which errors were encountered during POST.
F0703,This fault typically occurs when the FRU information for a FEX is corrupted or malformed.
F0708,The link for a network-facing host interface is missing. Cisco UCS Manager raises this fault when it detects missing connectivity between a previously configured switch port and its previous peer host interface.
F0713,"This fault is raised against a fabric interconnect port, network-facing IOM port, or FEX module port if an unsupported transceiver type is inserted. The port cannot be used if it has an unsupported transceiver."
F0717,This fault occurs when the connectivity between a server and FEX is removed or unconfigured.
F0727,This fault typically occurs when a member port in an Ethernet port channel is down.
F0728,This fault typically occurs when a member port in a Fibre Channel port channel is down.
F0729,"This fault occurs when the temperature of an I/O module has exceeded a non-critical threshold value, but is still below the critical threshold. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0730,"This fault occurs when the temperature of an I/O module has exceeded a critical threshold value. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0731,"This fault occurs when the temperature of an I/O module has been out of the operating range, and the issue is not recoverable. Be aware of the following possible contributing factors:
   - Temperature extremes can cause Cisco UCS equipment to operate at reduced efficiency and cause a variety of problems, including early degradation, failure of chips, and failure of equipment. In addition, extreme temperature fluctuations can cause CPUs to become loose in their sockets.
  - Cisco UCS equipment should operate in an environment that provides an inlet air temperature not colder than 50F (10C) nor hotter than 95F (35C).
  - If sensors on a CPU reach 179.6F (82C), the system will take that CPU offline."
F0733,This fault occurs in the unlikely event that the Chassis shared storage (SEEPROM) is not operational.
F0734,This fault typically occurs when the maximum supported Fibre Channel speed of a port in a Fibre Channel port channel is incompatible with the admin speed configured for the port channel.
F0735,This fault typically occurs when the maximum supported Fibre Channel speed of a port in a Fibre Channel port channel is incompatible with the admin speed configured for the port channel.
F0736,This fault occurs when a fabric interconnect reports that the operational state of an external management interface is down.
F0740,This fault typically occurs when an updated group cap is insufficient to meet the minimum hardware requirements and a chassis that has just been added to the power group cannot be capped as a result.
F0741,"This fault typically occurs when the CIMC firmware on a server is an earlier release than Cisco UCS, Release 1.4."
F0742,This fault typically occurs when at least two PSUs are not powered on.
F0743,This fault typically occurs when chassis power redundancy has failed.
F0744,This fault typically occurs when Cisco UCS Manager is actively capping the power for a blade server.
