event_type,release_note_date,admin_interest,security_interest,event_type_description,event_type_tags
application.user_membership.add,2016.02,0,1,Add user to application membership.,"event-hook-eligible,user-provision"
user.account.update_profile,2016.02,0,0,Update user profile for Okta.,"account,event-hook-eligible,user,user-config"
group.user_membership.add,2016.02,1,1,Add user to group membership.,"event-hook-eligible,group"
app.user_management,2016.04,0,0,Imported new or deleted existing member of an application group.,app-user-management
group.application_assignment.remove,2016.05,1,0,Remove assigned application from group.,group
app.generic.unauth_app_access_attempt,2016.06,1,0,User attempted unauthorized access to app.,app
group.application_assignment.add,2016.06,1,0,Add assigned application to group.,group
user.session.impersonation.extend,2016.09,1,1,Extend impersonation session.,"session,user"
user.session.impersonation.grant,2016.09,1,1,Enable impersonation grant.,"session,user"
user.session.impersonation.initiate,2016.09,1,1,Initiate impersonation session.,"session,user"
user.session.impersonation.revoke,2016.09,1,1,Revoke impersonation grant.,"session,user"
user.session.impersonation.end,2016.09,1,1,End impersonation session.,"session,user"
app.ad.api.user_import.account_locked,2016.1,0,0,Active Directory user account set to locked following profile update: user is locked in active directory.,ad-app
user.authentication.sso,2016.11,0,0,Fired when a user performs a single sign-on (SSO) to an app instance and contains the client details of the user. Can be used to identify when a user attempted to sign into an application for audit or debugging purposes. Note that the event is fired even when the sign-on is unsuccessful.,user
user.mfa.factor.activate,2016.11,0,0,Activate factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for an MFA factor when it is activated. When fired the event contains information about the MFA factor that has been activated as well as the target user and the user activating the factor. For Identity Engine orgs this event will fire when an authentication method is enrolled.,"end-user-visible,event-hook-eligible,mfa"
user.mfa.factor.deactivate,2016.11,0,1,Reset factor or authenticator enrollment method for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle status when a specific factor is permanently deactivated. When fired the event contains information about the MFA factor that has been deactivated as well as the target user and the user deactivating the factor. For Identity Engine orgs this event will fire when an authentication method is unenrolled.,"end-user-visible,event-hook-eligible,mfa"
user.mfa.factor.reset_all,2016.11,0,1,Reset all factors or authenticator enrollments for user. Provides org admins with audit log and oversight utility for the change in MFA factor lifecycle statuses when all MFA factors for a user are permanently deactivated. When fired the event contains information about the target user for whom all factors have been deactivated as well as the user resetting the factors. For Identity Engine orgs this event contains information about a target user for whom all authenticator enrollments have been reset.,"event-hook-eligible,mfa"
user.mfa.okta_verify,2016.11,0,0,Verify user with Okta verify.,mfa
user.mfa.attempt_bypass,2016.11,0,1,Attempt bypass of factor.,mfa
application.user_membership.change_password,2016.11,1,0,Change application password for user.,"app,event-hook-eligible"
user.authentication.slo,2016.11,0,0,User single logout out (SLO) from app.,user
user.mfa.factor.update,2016.11,0,1,Update factor for user.,mfa
directory.app_user_profile.update,2016.12,1,0,Update application user profile.,"cvd,directory"
directory.mapping.update,2016.12,1,0,Update universal directory mappings.,"cvd,directory"
directory.user_profile.update,2016.12,1,0,Update universal directory user profile directory.user_profile.update.,"cvd,directory"
system.api_token.enable,2016.12,1,1,Enable API token.,token
system.api_token.revoke,2016.12,1,1,Revoke API token.,"event-hook-eligible,token"
system.sms.send_factor_verify_message,2016.12,0,0,Send second factor auth SMS.,"sms,system"
system.sms.send_okta_push_verify_message,2016.12,0,0,Send activate Okta Verify Push for mobile SMS.,"sms,system"
system.sms.send_password_reset_message,2016.12,0,0,Send self-service password reset SMS message.,"sms,system"
system.sms.send_phone_verification_message,2016.12,0,0,Send phone verification SMS message.,"event-hook-eligible,sms,system"
network_zone.rule.disabled,2016.12,1,1,No Description.,network-zone
directory.user_profile.bootstrap,2016.12,1,0,Bootstrap universal directory user profile.,"cvd,directory"
system.sms.send_account_unlock_message,2016.12,0,0,Send self-service account unlock SMS message.,"sms,system"
directory.app_user_profile.bootstrap,2016.12,1,0,Bootstrap application user profile.,"cvd,directory"
system.api_token.create,2016.12,1,1,Create API token.,"event-hook-eligible,token"
application.configuration.disable_delauth_outbound,2016.13,0,0,Disable delegated authentication for app.,app
application.configuration.update_logo,2016.13,1,0,Change app logo.,app
application.lifecycle.create,2016.13,1,1,Create application.,"app,event-hook-eligible"
application.lifecycle.deactivate,2016.13,1,0,Deactivate application.,"app,event-hook-eligible"
application.lifecycle.delete,2016.13,1,0,Delete application.,"app,event-hook-eligible"
application.lifecycle.update,2016.13,1,0,Update application.,"app,event-hook-eligible"
application.policy.sign_on.deny_access,2016.13,0,0,Deny user access due to app sign on policy. When fired due to app assurance being evaluated as unsatisfiable (the policy requirements could not be satisfied by the users' current set of available authenticator enrollments) this event contains information about the user and the app that the user is trying to authenticate into.,app
application.policy.sign_on.rule.create,2016.13,1,0,Create rule for app sign on policy.,app
application.policy.sign_on.rule.delete,2016.13,1,0,Delete rule from app sign on policy.,app
application.policy.sign_on.update,2016.13,1,0,Update app sign on policy.,app
mim.command.generic.cancelled,2016.13,0,0,No Description.,mim
mim.command.generic.delegated,2016.13,0,0,No Description.,mim
mim.command.generic.error,2016.13,0,0,No Description.,mim
mim.command.generic.new,2016.13,0,0,No Description.,mim
mim.command.generic.notnow,2016.13,0,0,No Description.,mim
mim.command.ios.acknowledged,2016.13,0,0,No Description.,mim
mim.command.ios.cancelled,2016.13,0,0,No Description.,mim
mim.command.ios.error,2016.13,0,0,No Description.,mim
mim.command.ios.formaterror,2016.13,0,0,No Description.,mim
mim.command.ios.new,2016.13,0,0,No Description.,mim
system.email.password_reset.sent_message,2016.13,0,0,Send self-service password reset email.,email
system.iwa.go_offline,2016.13,0,0,IWA going offline.,"iwa,system"
system.iwa.go_online,2016.13,0,0,IWA going online.,"iwa,system"
system.iwa.promote_primary,2016.13,0,0,Promote IWA agent to primary.,"iwa,system"
system.iwa.remove,2016.13,1,0,Remove IWA agent.,"iwa,system"
system.iwa.update,2016.13,1,0,Update IWA agent.,"iwa,system"
system.iwa.use_default,2016.13,0,0,No primary IWA app found. Using default login.,"iwa,system"
user.lifecycle.suspend,2016.13,1,1,Suspend Okta user.,"event-hook-eligible,user"
user.lifecycle.unsuspend,2016.13,1,1,Unsuspend Okta user.,"event-hook-eligible,user"
application.configuration.enable_delauth_outbound,2016.13,0,0,Enable delegated authentication for app.,app
application.configuration.reset_logo,2016.13,1,0,Reset app logo.,app
application.configuration.update_api_credentials_for_pass_change,2016.13,0,0,Update API credentials due to user updating password.,app
application.lifecycle.activate,2016.13,1,0,Activate application.,"app,event-hook-eligible"
group.application_assignment.update,2016.13,0,0,Update assigned application in group.,group
user.lifecycle.reactivate,2016.13,0,0,Reactivate Okta user.,"event-hook-eligible,user"
mim.command.generic.acknowledged,2016.13,0,0,No Description.,mim
application.configuration.detect_error,2016.13,0,0,Application configuration error detected.,app
system.email.new_device_notification.sent_message,2016.13,0,0,New device signin notification email sent.,email
system.email.account_unlock.sent_message,2016.13,0,0,Send self-service account unlock email.,email
system.iwa.create,2016.13,1,0,Create IWA agent.,"iwa,system"
user.lifecycle.activate,2016.13,0,1,Activate Okta user.,"event-hook-eligible,user"
app.oauth2.as.authorize.code,2016.14,0,0,OAuth2 authorization code request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.authorize.implicit.access_token,2016.14,0,0,OAuth2 authorization implicit access token request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.authorize.implicit.id_token,2016.14,0,0,OAuth2 authorization implicit ID token request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.authorize.scope_denied,2016.14,0,0,Some of the requested scopes were denied by the policy.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.grant,2016.14,0,0,User granted consent to app.,"event-hook-eligible,oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke,2016.14,0,0,Consent revoked.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.implicit.as,2016.14,0,0,All consent revoked for authorization server.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.implicit.client,2016.14,0,0,All consent revoked for client.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.implicit.scope,2016.14,0,0,All consent revoked for scope.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.implicit.user,2016.14,0,0,Consent for all scopes revoked for user.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.user,2016.14,0,0,All consent revoked for user.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.consent.revoke.user.client,2016.14,0,0,User consent revoked for client.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.evaluate.claim,2016.14,0,0,Claim evaluation for OAuth2 token.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.token.grant.access_token,2016.14,0,0,OAuth2 access token is granted.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.token.grant.refresh_token,2016.14,0,0,OAuth2 refresh token is granted.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.as.token.revoke,2016.14,0,0,OAuth2 token revocation request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.authorize,2016.14,0,0,OIDC authorization request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.authorize.code,2016.14,0,0,OIDC authorization code request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.authorize.implicit.access_token,2016.14,0,0,OIDC authorization implicit access token request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.authorize.implicit.id_token,2016.14,0,0,OIDC authorization implicit ID token request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.invalid_client_ids,2016.14,0,0,Multiple requests with invalid client ids.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.key.rollover,2016.14,0,0,Org Authorization Server token signing key rolled over.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.signon,2016.14,0,0,User performed OIDC single sign on to app.,"oauth2,oauth2-client"
app.oauth2.token.grant.access_token,2016.14,0,0,OIDC access token is granted.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.grant.id_token,2016.14,0,0,OIDC id token is granted.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.grant.refresh_token,2016.14,0,0,OIDC refresh token is granted.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.revoke,2016.14,0,0,OIDC token revocation request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.revoke.implicit.as,2016.14,0,0,Tokens revoked for authorization server.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.revoke.implicit.client,2016.14,0,0,Tokens revoked for client.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.token.revoke.implicit.user,2016.14,0,0,Tokens revoked for user.,"oauth2,oauth2-as-runtime,oauth2-org-as"
application.provision.user.deactivate,2016.14,0,0,Push user deactivation to external application.,app-api
application.provision.user.deprovision,2016.14,0,0,Deprovision user from external application.,app
application.provision.user.push_okta_password,2016.14,0,0,Push user's Okta password to application.,app
application.provision.user.push_password,2016.14,0,0,Push user's password to application.,app
application.provision.user.push_profile,2016.14,0,0,Push user's profile to external application.,app-api
application.provision.user.reactivate,2016.14,0,0,Push user reactivation in external application.,app-api
application.provision.user.sync,2016.14,0,0,Sync user in external application.,"app,event-hook-eligible"
application.provision.user.verify_exists,2016.14,0,0,Verify user exists in external application.,app-api
policy.lifecycle.create,2016.14,1,1,Create policy.,policy
policy.lifecycle.deactivate,2016.14,1,0,Deactivate policy.,"event-hook-eligible,policy"
policy.lifecycle.delete,2016.14,1,0,Delete policy.,policy
policy.rule.add,2016.14,1,0,Add policy rule.,"event-hook-eligible,policy"
policy.rule.deactivate,2016.14,1,0,Deactivate policy rule.,"event-hook-eligible,policy"
policy.rule.delete,2016.14,1,0,Delete policy rule.,"event-hook-eligible,policy"
policy.rule.invalidate,2016.14,1,0,Invalidate policy rule.,policy
policy.rule.update,2016.14,1,0,Update policy rule.,"event-hook-eligible,policy"
system.import.complete_batch,2016.14,0,0,Batch import process complete.,"import,system"
system.import.custom_object.complete,2016.14,0,0,Import of custom objects completed.,"import,system"
system.import.custom_object.create,2016.14,0,0,Create custom object triggered by import process.,"import,system"
system.import.custom_object.delete,2016.14,0,0,Delete custom object triggered by import process.,"import,system"
system.import.custom_object.update,2016.14,0,0,Update custom object triggered by import process.,"import,system"
system.import.group.create,2016.14,0,0,Create group triggered by import process.,"event-hook-eligible,import,system"
system.import.group.delete,2016.14,0,0,Remove group triggered by import process.,"event-hook-eligible,import,system"
system.import.group.start,2016.14,0,0,Start importing groups from refreshing AppGroups.,"import,system"
system.import.group.update,2016.14,0,0,Update group triggered from import process.,"import,system"
system.import.group_membership.complete,2016.14,0,0,Import of application group members completed.,"import,system"
system.import.import_provisioning_info,2016.14,0,0,Import provisioning info triggered by import process.,"import,system"
system.import.user.complete,2016.14,0,0,Import of user completed.,"import,system"
system.import.user.create,2016.14,0,0,Create user triggered by import process.,"import,system"
system.import.user.delete,2016.14,0,0,Delete user triggered by import process.,"import,system"
system.import.user.suspend,2016.14,0,0,Suspend user triggered by import process.,"import,system"
application.provision.user.activate,2016.14,0,0,Activate user's application membership.,app-api
application.provision.user.push,2016.14,0,1,Push new user to external application.,app-api
policy.lifecycle.update,2016.14,1,0,Update policy.,"event-hook-eligible,policy"
policy.lifecycle.activate,2016.14,1,0,Activate policy.,"event-hook-eligible,policy"
policy.rule.activate,2016.14,1,0,Activate policy rule.,"event-hook-eligible,policy"
system.import.user.start,2016.14,0,0,Start importing users triggered import process.,"import,system"
system.import.complete,2016.14,0,0,Import process complete.,"event-hook-eligible,import,system"
system.import.start,2016.14,0,0,import started.,"event-hook-eligible,import,system"
app.oauth2.as.authorize,2016.14,0,0,OAuth2 authorization request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
system.import.group.complete,2016.14,0,0,Import of groups completed.,"import,system"
system.import.import_profile,2016.14,0,0,Import user profile triggered by import process.,"import,system"
system.import.roadblock,2016.14,0,0,Import roadblock triggered due to exceeded threshold.,"event-hook-eligible,import,system"
user.session.access_admin_app,2016.14,1,1,User accessing Okta admin app.,"admin,app,session,user"
app.oauth2.as.token.grant,2016.14,0,0,OAuth2 token request.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.token.grant,2016.14,0,0,OIDC token request.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.as.key.rollover,2016.14,0,0,Custom Authorization Server token signing key rolled over.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
app.oauth2.invalid_client_credentials,2016.14,0,0,Multiple requests with invalid client credentials for client id.,"oauth2,oauth2-as-runtime,oauth2-org-as"
app.oauth2.as.token.grant.id_token,2016.14,0,0,OAuth2 id token is granted.,"oauth2,oauth2-as-runtime,oauth2-custom-as"
user.session.clear,2016.15,0,1,Clear user session.,"session,user"
user.account.privilege.revoke,2016.15,1,0,All of user's admin privilege revoked. This can be used to audit the deprovisioning of admin privileges from users. When fired this event indicates the user has no more admin privileges. All of user's privileges were revoked including individually assigned roles  as well as the ones granted to the user through their group membership. Related events include: USER_ACCOUNT_PRIVILEGE_GRANT.,"event-hook-eligible,user"
user.account.unlock,2016.15,0,0,Auto-unlock user account for Okta.,"account,event-hook-eligible,user"
user.account.unlock_by_admin,2016.15,1,1,User account unlock by admin.,"account,user"
application.provision.integration.call_api,2016.15,0,0,Application integration API called.,app-api
user.account.update_password,2016.15,0,0,User update password for Okta.,"account,end-user-visible,event-hook-eligible,user"
user.account.reset_password,2016.15,0,1,Fired when the user's Okta password is reset.,"account,event-hook-eligible,user"
user.account.privilege.grant,2016.15,1,1,A User's admin privileges changed. This can be used to audit the provisioning of admin privileges for users. When fired this event contains information about the type of admin privileges the user currently has.  The list of current privileges contain both individually assigned roles  as well as the ones granted to the user through their group membership. Related events include: USER_ACCOUNT_PRIVILEGE_REVOKE.,"event-hook-eligible,user"
user.account.use_token,2016.15,0,0,Invalid self service recovery token used by user.,"account,user"
user.session.expire,2016.15,0,0,Expire user session.,"session,user"
user.authentication.auth_via_AD_agent,2016.18,0,0,Authenticate user with AD agent.,"directory,user"
user.authentication.auth_via_radius,2016.18,0,0,Authentication of user via Radius.,"app,radius"
app.inbound_del_auth.login_success,2016.18,0,0,Successful inbound delegated authentication request for user.,delegated-auth
user.authentication.auth_via_IDP,2016.18,0,0,Authenticate user via IDP.,user
user.authentication.auth_via_LDAP_agent,2016.18,0,0,Authenticate user via LDAP agent.,"directory,user"
user.authentication.auth_via_richclient,2016.18,0,0,Authentication of a user via Rich Client.,user
user.authentication.auth_via_social,2016.18,0,0,Authenticate user with social login.,user
system.agent.ad.create,2016.2,1,0,Create AD agent.,ad-agent
system.agent.ad.deactivate,2016.2,1,0,Deactivate AD agent.,ad-agent
system.agent.ad.delete,2016.2,1,0,Delete AD agent.,ad-agent
system.agent.ad.import_ou,2016.2,0,0,Perform import OU by AD agent.,ad-agent
system.agent.ad.import_user,2016.2,0,0,Perform import user by AD agent.,ad-agent
system.agent.ad.invoke_dir,2016.2,0,0,Perform directory invoke command by AD agent.,ad-agent
system.agent.ad.reactivate,2016.2,1,0,Reactivate AD agent.,ad-agent
system.agent.ad.read_config,2016.2,0,0,Perform config read by AD agent.,ad-agent
system.agent.ad.read_dirsync,2016.2,0,0,Perform dirsync read by AD agent.,ad-agent
system.agent.ad.read_ldap,2016.2,0,0,Perform LDAP read by AD agent.,ad-agent
system.agent.ad.read_schema,2016.2,0,0,Perform schema read by AD agent.,ad-agent
system.agent.ad.read_topology,2016.2,0,0,Directory agent performed topology import operation.,ad-agent
system.agent.ad.realtimesync,2016.2,0,0,Perform RealTimeSync by AD agent.,ad-agent
system.agent.ad.reset_user_password,2016.2,0,0,Perform user password reset by AD agent.,ad-agent
system.agent.ad.start,2016.2,0,0,Start AD agent.,ad-agent
system.agent.ad.unlock_user_account,2016.2,0,0,Perform unlock user account by AD agent.,ad-agent
system.agent.ad.update,2016.2,1,0,Update AD agent configuration.,ad-agent
system.agent.ad.update_user,2016.2,0,0,User Auth and Update.,ad-agent
system.agent.ad.upgrade,2016.2,0,0,Upgrade AD agent.,ad-agent
system.agent.ad.write_ldap,2016.2,0,0,Perform LDAP write by AD agent.,ad-agent
system.agent.connector.deactivate,2016.2,1,0,Deactivate connector agent.,connector-agent
system.agent.connector.delete,2016.2,1,0,Delete connector agent.,connector-agent
system.agent.connector.reactivate,2016.2,1,0,Reactivate connector agent.,connector-agent
system.agent.ldap.change_user_password,2016.2,0,0,Perform change user password by LDAP agent.,ldap-app
system.agent.ldap.create_user_JIT,2016.2,0,0,Perform create user JIT by LDAP agent.,ldap-app
system.agent.ldap.disconnect,2016.2,0,0,Disconnect LDAP agent from Okta.,ldap-app
system.agent.ldap.reset_user_password,2016.2,0,0,LDAP agent performed a password reset.,ldap-app
system.agent.ad.connect,2016.2,0,0,Connect AD agent to Okta.,ad-agent
system.agent.ad.upload_log,2016.2,0,0,Upload AD agent log.,ad-agent
system.agent.connector.connect,2016.2,0,0,Connect connector agent to Okta.,connector-agent
system.agent.ldap.update_user_password,2016.2,0,0,Perform update user password by LDAP agent.,ldap-app
system.agent.ldap.reconnect,2016.2,0,0,Reconnect LDAP agent to Okta.,ldap-app
system.import.user.update_user_lifecycle_from_master,2016.24,0,0,Update user status triggered by import process.,"import,system"
system.import.user.unsuspend,2016.24,0,0,Unsuspend user triggered by import process.,"import,system"
system.import.user.unsuspend_after_confirm,2016.24,0,0,No Description.,"import,system"
system.import.user.update,2016.24,0,0,Update user triggered by import process.,"import,system"
user.authentication.auth_via_inbound_SAML,2016.27,0,0,Authenticate user via inbound SAML.,user
user.lifecycle.delete.completed,2016.29,0,0,Delete Okta user completed.,user
user.lifecycle.delete.initiated,2016.29,0,0,Delete Okta user initiated.,"event-hook-eligible,user"
application.user_membership.approve,2016.33,0,0,User approved for application (assigned by not provisioned).,user-provision
application.user_membership.deprovision,2016.33,1,0,User deprovisioned from application (was previously revoked).,user-provision
application.user_membership.revoke,2016.33,1,0,User revoked from application (unassigned but not yet deprovisioned).,user-provision
application.user_membership.provision,2016.33,1,0,User provisioned to application (was previously approved).,user-provision
mim.createEnrollment.ANDROID,2016.39,0,0,No Description.,mim
mim.createEnrollment.IOS,2016.39,0,0,No Description.,mim
mim.createEnrollment.OSX,2016.39,0,0,No Description.,mim
mim.createEnrollment.UNKNOWN,2016.39,0,0,No Description.,mim
mim.createEnrollment.WINDOWS,2016.39,0,0,No Description.,mim
mim.streamDevicesAppListCSVDownload,2016.39,0,0,No Description.,mim
mim.streamDevicesCSVDownload,2016.39,0,0,No Description.,mim
system.agent.ldap.unlock_user_account,2016.45,0,0,LDAP agent performed account unlock for User.,ldap-app
plugin.script_status,2016.48,0,0,Status information from script execution.,plugin
plugin.downloaded,2016.48,0,0,Plugin downloaded.,plugin
oauth2.as.updated,2016.5,1,0,Authorization server is updated.,"oauth2,oauth2-as-lifecycle"
oauth2.claim.created,2016.5,0,0,OAuth2 claim is created.,"oauth2,oauth2-claim"
oauth2.claim.deleted,2016.5,0,0,OAuth2 claim is deleted.,"oauth2,oauth2-claim"
oauth2.claim.updated,2016.5,0,0,OAuth2 claim is updated.,"oauth2,oauth2-claim"
oauth2.scope.created,2016.5,0,0,OAuth2 scope is created.,"oauth2,oauth2-scope"
oauth2.scope.deleted,2016.5,0,0,OAuth2 scope is deleted.,"oauth2,oauth2-scope"
oauth2.scope.updated,2016.5,0,0,OAuth2 scope is updated.,"oauth2,oauth2-scope"
oauth2.as.created,2016.5,1,0,Authorization server is created.,"oauth2,oauth2-as-lifecycle"
oauth2.as.deleted,2016.5,1,0,Authorization server is deleted.,"oauth2,oauth2-as-lifecycle"
system.org.lifecycle.create,2016.51,1,0,Org creation.,system
app.office365.api.change.domain.federation.success,2017.01,0,0,Successfully updated the domain federation from old settings to new settings.,"app,office365-app"
app.office365.api.error.ad.user,2017.01,0,0,"User is assigned to more than one instance of Active Directory could not set Immutable ID.","app,office365-app"
app.office365.api.error.check.user.exists,2017.01,0,0,Could not determine status of Office 365 user received error.,"app,office365-app"
app.office365.api.error.create.user,2017.01,0,0,Could not create user in Office 365 received error.,"app,office365-app"
app.office365.api.error.deactivate.user,2017.01,0,0,Could not deactivate Office 365 user received error.,"app,office365-app"
app.office365.api.error.download.custom.objects,2017.01,0,0,Could not download group/role/license data for your Office 365 instance received error.,"app,office365-app"
app.office365.api.error.download.groups,2017.01,0,0,Could not download all groups from your Office 365 instance received error.,"app,office365-app"
app.office365.api.error.download.users,2017.01,0,0,Could not download all users from your Office 365 instance received error.,"app,office365-app"
app.office365.api.error.endpoint.unavailable,2017.01,0,0,Unable to reach the Office 365 endpoint.,"app,office365-app"
app.office365.api.error.get.company.dirsync.failure,2017.01,0,0,Unable to read Office 365 directory sync for the company received error.,"app,office365-app"
app.office365.api.error.get.company.dirsync.status.failure,2017.01,0,0,Unable to provision user to Office 365 because 'Directory Sync' value in Azure Active Directory is unsupported. Please visit the Azure Active Directory portal and set 'Directory Sync' state to Activated and retry.,"app,office365-app"
app.office365.api.error.get.company.dirsync.status.pending,2017.01,0,0,Unable to provision user to Office 365 because 'Directory Sync' value in Azure Active Directory not yet in Activated state. This may take up to 72 hours. Please visit the Azure Active Directory portal and retry when in Activated state.,"app,office365-app"
app.office365.api.error.group.create.failure.name.in.use,2017.01,0,0,Could not create Office 365 group because the name is already in use received error.,"app,office365-app"
app.office365.api.error.group.delete.failure,2017.01,0,0,Could not delete Office 365 group received error.,"app,office365-app"
app.office365.api.error.group.membership.update.assignment.failure,2017.01,0,0,Could not update the Office 365 group membership because of an error assigning a user to the group received error.,"app,office365-app"
app.office365.api.error.group.membership.update.failure,2017.01,0,0,Could not update the Office 365 group membership received error.,"app,office365-app"
app.office365.api.error.group.membership.update.group.not.found.failure,2017.01,0,0,Could not update the Office 365 group membership because the group could not be found received error.,"app,office365-app"
app.office365.api.error.group.membership.update.removal.failure,2017.01,0,0,Could not update the Office 365 group membership because of an error removing a user from the group received error.,"app,office365-app"
app.office365.api.error.group.update.failure,2017.01,0,0,Could not update Office 365 group received error.,"app,office365-app"
app.office365.api.error.group.update.failure.not.found,2017.01,0,0,Could not update Office 365 group because it was not found received error.,"app,office365-app"
app.office365.api.error.import.profile,2017.01,0,0,Could not import profile for Office 365 user received error.,"app,office365-app"
app.office365.api.error.no.endpoints.found,2017.01,0,0,No Office 365 endpoint found to send our request.,"app,office365-app"
app.office365.api.error.push.password,2017.01,0,0,Could not push password for Office 365 user received error.,"app,office365-app"
app.office365.api.error.push.profile,2017.01,0,0,Could not push profile for Office 365 user received error.,"app,office365-app"
app.office365.api.error.reactivate.user,2017.01,0,0,Could not reactivate Office 365 user received error.,"app,office365-app"
app.office365.api.error.remove.domain.federation.failure,2017.01,0,0,Unable to remove the domain federation received error.,"app,office365-app"
app.office365.api.error.remove.domain.federation.failure.access.denied,2017.01,1,0,Unable to remove the domain federation because the admin user is not authorized to perform the task.,"app,office365-app"
app.office365.api.error.remove.domain.federation.failure.domain.not.found,2017.01,0,0,Unable to remove the domain federation because the specified domain was not found.,"app,office365-app"
app.office365.api.error.revoke.refresh.token,2017.01,0,0,Failed to revoke refresh tokens for user.,"app,office365-app"
