productId,vendorName,productName,notes,"regex_field","regex_pattern","default_sourcetype_search","extended_fields","term_fields",eventtypeId,app,appid,path
"Google__Gmail",Google,Gmail,,sourcetype,"^gmail:audit:headers$","sourcetype=gmail:audit:headers",,,"DS001MAIL-ET02Receive|DS001MAIL-ET03Send|VendorSpecific-google-gmail",,,
"Google__Gmail_bigquery",Google,"Gmail (Big Query)",,sourcetype,"^gsuite:gmail:bigquery$","sourcetype=gsuite:gmail:bigquery",,,"DS001MAIL-ET02Receive|DS001MAIL-ET03Send|VendorSpecific-google-gmail",,,
"Google__Calendar",Google,Calendar,,sourcetype,"^gsuite:calendar:json$","sourcetype=gsuite:calendar:json",,,"VendorSpecific-google-calendar",,,
"Imperva_WAF",Imperva,WAF,,sourcetype,"^imperva:.*$","sourcetype=imperva:*",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS026WebApplicationFW-ET01General",,,
"Infoblox__DHCP",Infoblox,DHCP,,sourcetype,"^infoblox:dhcp$","sourcetype=infoblox:dhcp",,,"DS025IPAddressAssignment-ET01General",,,
"Infoblox__DNS",Infoblox,DNS,,sourcetype,"^infoblox:dns$","sourcetype=infoblox:dns",,,"DS002DNS-ET01QueryRequest|DS002DNS-ET01Query",,,
"Infoblox__IDS",Infoblox,"Threat Protect",,sourcetype,"^infoblox:threatprotect$","sourcetype=infoblox:threatprotect",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Juniper__Firewall",Juniper,Firewall,,sourcetype,"^juniper:junos:firewall.*$","sourcetype=juniper:junos:firewall*",,,"DS010NetworkCommunication-ET01Traffic",,,
"Juniper__Firewall_Change",Juniper,"Firewall (Change)",,sourcetype,"^juniper:junos:snmp$","sourcetype=juniper:junos:snmp",,,"DS010NetworkCommunication-ET02State",,,
"Juniper__Firewall_w_App",Juniper,Firewall,,sourcetype,"^juniper:junos:firewall.*$","sourcetype=juniper:junos:firewall*","app=*",,"DS010NetworkCommunication-ET01Traffic|DS010NetworkCommunication-ET01TrafficAppAware",,,
"Juniper__Firewall_w_User",Juniper,Firewall,,sourcetype,"^juniper:junos:firewall.*$","sourcetype=juniper:junos:firewall*","user=*",,"DS010NetworkCommunication-ET01Traffic|DS010NetworkCommunication-ET03UserAware",,,
"Juniper__IDS",Juniper,IDS,,sourcetype,"^(juniper:junos:idp.*|juniper:idp|juniper:junos:aamw:structured|juniper:junos:secintel:structured|juniper:junos:firewall.*)$","sourcetype=juniper*idp* OR juniper:junos:aamw:structured OR juniper:junos:secintel:structured OR juniper:junos:firewall*",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Juniper__Netscreen",Juniper,Netscreen,,sourcetype,"^netscreen:firewall$","sourcetype=netscreen:firewall",,,"DS010NetworkCommunication-ET01Traffic|DS010NetworkCommunication-ET02State",,,
"Juniper__VPN",Juniper,VPN,,sourcetype,"^juniper:sslvpn$","sourcetype=juniper:sslvpn",,,"DS025IPAddressAssignment-ET01General|DS010NetworkCommunication-ET01Traffic|DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Juniper__VPN_IVE",Juniper,IVE,,sourcetype,"^juniper:ive$","sourcetype=""juniper:ive""",,,"DS025IPAddressAssignment-ET01General|DS010NetworkCommunication-ET01Traffic|DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Linux__Performance",Linux,Performance,,sourcetype,"^(bandwidth|cpu|df|iostat|nfsiostat|ps|Unix:CPUTime|Unix:Uptime|vmstat)$","sourcetype=""bandwidth"" OR sourcetype=""cpu"" OR sourcetype=""df"" OR sourcetype=""iostat"" OR sourcetype=""nfsiostat"" OR sourcetype=""ps"" OR sourcetype=""Unix:CPUTime"" OR sourcetype=""Unix:Uptime"" OR sourcetype=""vmstat""",,,"DS022HostPerformance-ET01General",,,
"Linux__Process_Tools",Linux,"Process Tools",,sourcetype,"^(top|ps)$","sourcetype=top OR sourcetype=ps",,,"DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Linux__Security",Linux,Security,,sourcetype,"^(linux_secure|auditd)$","sourcetype=linux_secure OR sourcetype=auditd",,,"DS003Authentication-ET01Success|DS003Authentication-ET02Failure",,,
"Linux__Syslog",Linux,"Syslog (Generic)",,sourcetype,"^(linux_syslog|syslog)$","sourcetype=linux_syslog OR sourcetype=syslog",,,"DS033SystemLogs-ET01General",,,
"Linux__Updates",Linux,Updates,,sourcetype,"^(Unix:Update|Linux:Update)$","sourcetype=Unix:Update OR sourcetype=Linux:Update",,,"DS019PatchManagement-Eligible|DS019PatchManagement-Applied|DS019PatchManagement-Failed",,,
"MSSQL__agentlog",Microsoft,"SQL Server",,sourcetype,"^mssql:agentlog$","sourcetype=""mssql:agentlog""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__alwayson",Microsoft,"SQL Server",,sourcetype,"^mssql:alwayson$","sourcetype=""mssql:alwayson""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__audit",Microsoft,"SQL Server",,sourcetype,"^mssql:audit$","sourcetype=""mssql:audit""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__database",Microsoft,"SQL Server",,sourcetype,"^mssql:database$","sourcetype=""mssql:database""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__errorlog",Microsoft,"SQL Server",,sourcetype,"^mssql:errorlog$","sourcetype=""mssql:errorlog""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__execution",Microsoft,"SQL Server",,sourcetype,"^mssql:execution$","sourcetype=""mssql:execution""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__index",Microsoft,"SQL Server",,sourcetype,"^mssql:index$","sourcetype=""mssql:index""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__instance",Microsoft,"SQL Server",,sourcetype,"^mssql:instance$","sourcetype=""mssql:instance""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__mirroring",Microsoft,"SQL Server",,sourcetype,"^mssql:mirroring$","sourcetype=""mssql:mirroring""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__os",Microsoft,"SQL Server",,sourcetype,"^mssql:os$","sourcetype=""mssql:os""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__perfmon_sqlserver",Microsoft,"SQL Server",,sourcetype,"^perfmon:sqlserver:.*$","sourcetype=""perfmon:sqlserver""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__perfmon_sqlserverhost",Microsoft,"SQL Server",,sourcetype,"^perfmon:sqlserverhost:.*$","sourcetype=""perfmon:sqlserverhost""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__replication",Microsoft,"SQL Server",,sourcetype,"^mssql:replication$","sourcetype=""mssql:replication""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__table",Microsoft,"SQL Server",,sourcetype,"^mssql:table$","sourcetype=""mssql:table""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__transaction",Microsoft,"SQL Server",,sourcetype,"^mssql:transaction$","sourcetype=""mssql:transaction""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__trclog",Microsoft,"SQL Server",,sourcetype,"^mssql:trclog$","sourcetype=""mssql:trclog""",,,"DS029DatabaseServer-ET01General",,,
"MSSQL__user",Microsoft,"SQL Server",,sourcetype,"^mssql:user$","sourcetype=""mssql:user""",,,"DS029DatabaseServer-ET01General",,,
"McAfee__IDS",McAfee,IDS,,sourcetype,"^mcafee:ids$","sourcetype=mcafee:ids",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"McAfee__Security",McAfee,EPO,,sourcetype,"^mcafee:epo.*$","sourcetype=mcafee:epo*",,,"DS004EndPointAntiMalware-ET01SigDetected|DS004EndPointAntiMalware-ET02UpdatedSig|DS004EndPointAntiMalware-ET03UpdatedEng|S020HostIntrustionDetection-ET01SigDetected",,,
"Menlo_Security",Menlo,Proxy,,sourcetype,"^menlo.*$","sourcetype=menlo*",,,"DS005WebProxyRequest-ET01RequestedWebAppAware|DS025IPAddressAssignment-ET01General",,,
"Microsoft_Graph_1",Microsoft,"Azure Advanced Threat Protection",,sourcetype,"^GraphSecurityAlert$","sourcetype=GraphSecurityAlert",,,"DS012NetworkIntrusionDetection-ET01SigDetection",,,
"Microsoft_Graph_2",Microsoft,"Azure Security Center",,sourcetype,"^GraphSecurityAlert$","sourcetype=GraphSecurityAlert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Microsoft_Graph_3",Microsoft,"Microsoft Cloud App Security",,sourcetype,"^GraphSecurityAlert$","sourcetype=GraphSecurityAlert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Microsoft_Graph_4",Microsoft,"Azure Active Directory Identity Protection",,sourcetype,"^GraphSecurityAlert$","sourcetype=GraphSecurityAlert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
"Microsoft_Graph_5",Microsoft,"Azure Sentinel",,sourcetype,"^GraphSecurityAlert$","sourcetype=GraphSecurityAlert",,,"DS012NetworkIntrusionDetection-ET01SigDetection|DS004EndPointAntiMalware-ET01SigDetected",,,
