author,categories,dashboard,date,description,phase,title,"__mv_author","__mv_categories","__mv_dashboard","__mv_date","__mv_description","__mv_phase","__mv_title"
"Mikael Bjerkeland","security_compliance","https://splunkbase.splunk.com/app/2916/","2022-11-13","The Clearswift SECURE Email Gateway Add-on for Splunk Enterprise allows a Splunk® Enterprise administrator to extract and filter event information from Clearswift SECURE Email Gateway appliances. The app sets the correct sourcetype and adds fields required for CIM compliance.",Email,"Clearswift SECURE Email Gateway Add-on for Splunk Enterprise",,,,,,,
"Qualys Inc.","security_compliance","https://splunkbase.splunk.com/app/2964/","2023-04-27","The Qualys Technology Add-on (TA) for Splunk is a Technology Add-On for Qualys Cloud Platform data. It fetches Vulnerability Management (VM), Web Application Scanning (WAS), Policy Compliance (PC),  Container Security(CS), File Integrity Monitoring(FIM), Endpoint Detection & Response (EDR), Security Enterprise Mobility (SEM), Activity Log and KnowledgeBase (KB) data using modular input and indexes it which then can be searched using the Search app, Splunk Enterprise Security app or the Qualys VM App, WAS App or PC App, EDR App, FIM App, CS App , Policy Compliance Reporting Services (PCRS) App for Splunk Enterprise.","Exploit vulnerability","Qualys Technology Add-on (TA) for Splunk",,,,,,,
"Proofpoint Splunk Integrations","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3080/","2022-11-13","Customers interested in integrating Proofpoint Protection Server (PPS) logs with Splunk can utilize this custom-built add-on. This technology add-on focuses on normalizing the filter logs based on the Splunk Common Information Model (CIM) for email.

By normalizing filtering data produced by PPS to CIM-compliant Email data model, Splunk users can perform search, report or other operations they have built using the Email data model against PPS filtering data without further customizations, which eliminates the need to understand PPS filtering data format.",Email,"Proofpoint Email Security Add-On for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Splunk Inc.","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3110/","2023-03-29","The Splunk Add-on for Microsoft Cloud Services allows a Splunk software administrator to pull activity logs, service status, operational messages, Azure audit, Azure resource data and Azure Storage Table and Blob data from a variety of Microsoft cloud services using Event Hubs,  Azure Service Management APIs and Azure Storage API.

This add-on provides the inputs and CIM-compatible knowledge to use with other Splunk apps, such as Splunk Enterprise Security and the Splunk App for PCI Compliance and Splunk IT Service Intelligence.","Internet-exposed service","Splunk Add-on for Microsoft Cloud Services",,"$it_operations_management$;$security_compliance$",,,,,
"Qualys Inc.","security_compliance","https://splunkbase.splunk.com/app/3141/","2022-11-14","The Qualys VM App for Splunk Enterprise provides a vulnerability dashboard containing summary charts that include the top hosts affected and most prevalent vulnerabilities. The dashboard also includes preconfigured searches and reports. This App is dependent on TA-QualysCloudPlatform. The TA-QualysCloudPlatform pulls and indexes the data, and this App makes use of TA-QualysCloudPlatform indexed data to produce dashboards and reports.","Exploit vulnerability","Qualys VM App for Splunk Enterprise",,,,,,,
"Michael Bentley","security_compliance utilities","https://splunkbase.splunk.com/app/3172/","2023-04-25","The SSL Certificate Checker Technology Add-on contains scripts and inputs designed to index the expiration date and name of the SSL certificates you want to monitor.  From there you can setup a dashboard/report/alert to monitor when your SSL certificates are about to expire.  This is a great tool for monitoring Splunk's Web / Frontend & Splunk's Daemon / Backend SSL certificates both if you've specified your own or if you're using the built in certificates.

Now supports automated discovery mode that finds the PEM files you're using to encrypt your Splunk traffic and indexes their expiration date.  Use the dashboard provided as an example to configure alerts, and never let a Splunk cert expire again!

Many thanks to Christian Cloutier (https://answers.splunk.com/users/229355/christian.cloutier.html) for the idea behind this app as well as development efforts.

IF YOU LIKE THIS APP, PLEASE LEAVE A RATING. THANKS IN ADVANCE!!!

Troubleshooting directions are provided under the details tab here on Splunkbase.","Encrypt data","SSL Certificate Checker",,"$security_compliance$;$utilities$",,,,,
"John Lock","security_compliance","https://splunkbase.splunk.com/app/3188/","2022-11-14","D3 Cyber is more than a dashboard.

It’s an Incident Response Platform designed to manage the entire incident response lifecycle—from the escalation of Splunk alerts; through analysis and validation, task orchestration, forensics and reporting in D3.

Part of the aforementioned D3 Cyber app, the D3 Cyber Incident Response Dashboard provides Splunk users with an analytical view of D3 Cyber Incidents, D3 Cyber Cases, escalated Events and related data. The dashboard can be used across roles and scenarios: granular details, event trends, timelines and response plan performance metrics are easily configured and displayed.

From the dashboard users can also drill down into individual incidents, explore linkages between multiple records, and create/update corresponding records in D3 Cyber IRP from a displayed Event.

Contact D3 at 1-800-608-0081 Ext 2 or sales@d3cyber.com to learn more or book a demo.","Privilege escalation","D3 Cyber Incident Response Dashboard for Splunk",,,,,,,
"Centrify Corporation","security_compliance","https://splunkbase.splunk.com/app/3272/","2022-11-14","Centrify, a recognized worldwide leader in Identity-Centric Privileged Access Management (PAM) solutions, offers its customers seamless integration with Splunk Enterprise Security. Through the Centrify App for Splunk, customers who leverage Splunk to monitor, search, analyze, and visualize IT machine-generated data can now enrich that data with Centrify-specific events.

The Centrify App for Splunk provides Centrify Privilege Elevation Service customers with dashboards and reports designed to properly interpret and display Centrify Audit events. They can be used as-is, or to enrich existing Splunk visualizations with Centrify security-related event data.

Key Features:
· Dashboards around login activity, privileged access activity, privileged access anomalies, and admin activity.
· Reports around privileged admin activity, login activity, authorization failure, and more.
· Alerts around multiple login failures in the last day, privileged command authentication failures in the last day, and more.","Privilege escalation","Centrify App for Splunk",,,,,,,
"Derek Arnold","security_compliance","https://splunkbase.splunk.com/app/3293/","2022-11-14","Optiv Decept System is a Splunk App that monitors for unauthorized and/or malicious activity on your organization’s network. By placing several honeypots that listen on many ports at strategic locations, we can detect early stage attacks. The app can provide increased visibility to potentially malicious activity going on in the organization.","Malicious document","Optiv Decept System",,,,,,,
"DomainTools Integrations Team","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3376/","2022-11-13","The DomainTools App for Splunk provides direct access within Splunk to DomainTools' industry-leading threat intelligence data on domain names, the individuals who control them, and the infrastructure that supports them.

++ We have a new DomainTools App supporting Splunk 8.x environments and built on the latest SDK. Please see 'Details' tab to access the new app ++

Customers who deploy the app in Splunk benefit from: 
+ Increased visibility to events associated with risky domain names
+ Precisely targeted threat hunting activities
+ Rich domain data pre-populated in Splunk lookups and indexes
+ Proactive Monitoring of malicious domains leveraging PhishEye API
+ Leverage Tagged Domains from DNS  Investigations from DomainTools Iris platform
+ Surface Findings in Splunk ES with DomainTools Risk Score

The DomainTools App for Splunk is powered by the DomainTools Risk Score, a proprietary scoring algorithm that finds malicious domain names before they can be weaponized. The technology is based on machine learning algorithms applied to DomainTools' unparalleled coverage of domain name features and infrastructure characteristics.

The app also includes Threat Hunting Dashboard to gain quick situational awareness of the risk presented by domain names on your network and helps guide teams to effectively leverage DomainTools data in their SOC workflows.","Malicious document","DomainTools App for Splunk (Legacy)",,"$it_operations_management$;$security_compliance$",,,,,
"Forescout Technologies","internet_of_things security_compliance","https://splunkbase.splunk.com/app/3382/","2023-02-11","Your cyber attack surface consists of all connected devices accessing your network at anytime, anywhere, by anyone. To effectively reduce risk, you need to maximize your insight and control of all devices on your network. On average, Forescout customers discover over 25% more connected devices than they knew they had and can collect hundreds more contextual device properties than before. By combining Forescout's complete enterprise-wide device visibility, rich contextual device and network properties data and automated incident response capabilities with Splunk’s data correlation, analytics and incident management, security operations teams can dramatically reduce risk and increase operational efficiency by realizing numerous benefits including:
• Refine security policies by collecting and analyzing real-time device, user and network insight across managed and unmanaged connected devices, including IT, IoT, OT, BYOD and Guest, and regardless of device type or network tier.
• Enhance scope and accuracy of real-time analytics, long-term trend analysis and investigations
• Rapidly detect anomalies, vulnerabilities and threats
• More easily prioritize incidents by leveraging correlated contextual device and event data to prioritize incidents
• Automate closed-loop incident response workflows across the entire incident management lifecycle to immediately mitigate and remediate threats and provide a complete audit trail from incident detection to results of actions taken.

Integration of the Forescout platform with Splunk Enterprise, Splunk Cloud and Splunk Enterprise Security (ES) is enabled by the Forescout eyeExtend for Splunk module paired with the Forescout App for Splunk along with the Forescout Adaptive Response and Forescout Technology Add-ons for Splunk.

The Forescout Technology Add-on for Splunk is a required component to streamline data transfer between Forescout and Splunk Enterprise. This Add-on maps Forescout collected device properties to the Splunk Common Information Model (CIM) and extracts events based on Forescout data. The Forescout Technology Add-on also maintains Forescout credentials for communications between Forescout and Splunk Enterprise.","Valid credentials","Forescout Technology Add-on for Splunk",,"$internet_of_things$;$security_compliance$",,,,,
"Digital Defense","security_compliance","https://splunkbase.splunk.com/app/3387/","2022-11-14","The Digital Defense - Frontline VM Add-on for Splunk allows organizations to import vulnerability data from Frontline Vulnerability Manager into Splunk Enterprise.","Exploit vulnerability","Digital Defense - Frontline VM Add-on for Splunk",,,,,,,
"Splunk Inc.","security_compliance","https://splunkbase.splunk.com/app/3435/","2022-12-26","Get started with Splunk for Security with Splunk Security Essentials (SSE). Explore security use cases and discover security content to start address threats and challenges. 

Security Content Library
Find security content for Splunk Cloud and Splunk's SIEM and SOAR offerings and deploy out-of-the-box security detections and analytic stories to enhance your investigations and improve your security posture. 

Cybersecurity Frameworks
Identify gaps in your defenses and take control of your security posture with automatic mapping of data and security detections to MITRE ATT&CK® and Cyber Kill Chain® framework.

Data and Content Introspection
Gain visibility of the data coming into your environment to add context and telemetry to security events. Enrich your security detections with metadata and tags from the Security Content Library.

Security Data Journey
Get prescriptive security and data recommendations and establish a data strategy to develop a security maturity roadmap. 

Learn more:
Download the Product Brief : https://www.splunk.com/pdfs/product-briefs/splunk-security-essentials.pdf
Try out Splunk Security Essentials: https://www.splunk.com/en_us/form/splunk-security-essentials-online-demo.html
Check out the Documentation site: https://docs.splunk.com/Documentation/SSE","Command and control","Splunk Security Essentials",,,,,,,
"Broadcom Inc","security_compliance","https://splunkbase.splunk.com/app/3453/","2022-04-26","Symantec Endpoint Detection & Response (EDR) helps you to uncover, prioritize, investigate, remediate complex attacks across endpoint, email, network, and web from one console. Symantec EDR App for Splunk utilizes power of Splunk and provides you an aggregated as well as individual visualizations for Network, Endpoint and Email by collecting data from Symantec EDR and Symantec Email Security.cloud.

This App contains the dashboard visualization and requires https://splunkbase.splunk.com/app/3454/ to provide the data.

By clicking on the “Download” or “Install” button or using the licensed software, you agree to the terms and conditions of the Symantec Software License Agreement located at https://www.symantec.com/content/en/us/enterprise/eulas/splunk-app-eula-1-0.pdf.

The administrator guide is available on http://www.symantec.com/docs/TECH239938",Email,"Symantec EDR App for Splunk",,,,,,,
"Broadcom Inc","security_compliance","https://splunkbase.splunk.com/app/3454/","2022-04-26","Symantec EDR Add-on for Splunk is data collector app which maintains credentials for Symantec EDR manager and Symantec Email Security.cloud and provides field extraction configurations. The main app is available on https://splunkbase.splunk.com/app/3453/.

This App contains both the standard Splunk module and Adaptive Response for Splunk Enterprise Security Suite (ES) app for executing endpoint isolate/re-join and delete file actions. The Adaptive Response leverages AR Framework solution provided by Splunk through Splunk Enterprise Security Suite (ES).

By clicking on the “Download” or “Install” button or using the licensed software, you agree to the terms and conditions of the Symantec Software License Agreement located at https://www.symantec.com/content/en/us/enterprise/eulas/splunk-app-eula-1-0.pdf.

The administrator guide is available on http://www.symantec.com/docs/TECH239938","Valid credentials","Symantec EDR Add-on for Splunk",,,,,,,
"Rapid7 Integrations","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3457/","2023-01-18","Rapid7’s IT security data and analytics solutions collect, contextualize and analyze the security data you need to fight an increasingly deceptive and pervasive adversary. The Rapid7 Nexpose Technology Add-On enables security operations professionals to detect, investigate, and respond to security threats more quickly and effectively. It integrates Rapid7 Nexpose with Splunk Enterprise to vulnerability management and incident detection data.","Exploit vulnerability","Rapid7 Nexpose Technology Add-On for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Doug Brown","security_compliance utilities","https://splunkbase.splunk.com/app/3531/","2022-11-13","This app provides a generating command 'asngen', which downloads MaxMind's autonomous system database, unzips the contents (in memory) and outputs a table of the results that can be easily put into a lookup.

To use this app you must first register a free account with MaxMind (https://www.maxmind.com/en/geolite2/signup) then generate a free license key.","Command and control","ASN Lookup Generator",,"$security_compliance$;$utilities$",,,,,
"Splunk Works","security_compliance utilities","https://splunkbase.splunk.com/app/3559/","2022-11-14","This app shows how to Operationalize Machine Learning using MLTK to detect malicious domain names. Malware like Botnets use domain generation algorithms (DGAs) to create URLs that host malicious websites or command and control servers. Static matching does not always help, so machine learning models can add value and allow to increase detection rates.","Command and control Malicious document Malware","DGA App for Splunk",,"$security_compliance$;$utilities$",,,,"$Command and control$;$Malicious document$;$Malware$",
"Agari Data","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3568/","2022-11-14","The Agari App for Splunk collects data from Agari Brand Protection and Agari Phishing Defense products and allows you to view and query that data from within your Splunk instance.",Phishing,"Agari App for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Nick Hills","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3612/","2022-11-14","This Splunk App leverages the Sophos Central API to collect events and alert notifications from registered endpoints and devices.

The application provides an overview dashboard and fields conforming to CIM 4.8 Malware_*

You will need to obtain an API key from your Sophos Central account. On first run the setup screen will prompt you to configure the app with your account details
See https://github.com/nickhills81/sophos_central/blob/master/README.md for details on obtaining your credentials.

About Sophos Central
Sophos Central is a web-hosted solution which offers protection for users across all their devices and for servers and is the tool that lets administrators manage protection, enforce policies, take action against threats, and generate reports.","Valid credentials","Sophos Central app for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Splunk Works","security_compliance utilities","https://splunkbase.splunk.com/app/3626/","2022-11-13","JellyFisher is a Splunk custom search command that leverage the excellent jellyfish python's library to do approximate and phonetic strings matching.

String comparison algorithms:
- Levenshtein Distance
- Damerau-Levenshtein Distance
- Jaro Distance
- Jaro-Winkler Distance
- Match Rating Approach Comparison
- Hamming Distance

Phonetic encoding algortihms:
- American Soundex
- Metaphone
- NYSIIS (New York State Identification and Intelligence System)
- Match Rating Codex

Example:
- The Levenshtein distance between ""kitten"" and ""sitting"" is 3.
- The soundex representation of both ""Robert"" and ""Rupert"" is ""R163""","Command and control",JellyFisher,,"$security_compliance$;$utilities$",,,,,
"STEALTHbits Technologies","it_operations_management security_compliance","https://splunkbase.splunk.com/app/3646/","2022-11-14","STEALTHbits’ Threat Hunting solution enables organizations to target and hunt active cyber threats. Using the preconfigured STEALTHbits Threat Hunting App for Splunk, users can quickly understand all Threat Hunting as an incident response tool, it enables analysts to investigate the scope, impact, and root cause of an incident efficiently by analyzing patterns of activity indicative of account compromise and file system activity.

STEALTHbits Technologies is a cybersecurity software company focused on protecting an organization’s credentials and data. By removing inappropriate data access, enforcing security policy, and detecting advanced threats, we reduce security risk, fulfill compliance requirements and decrease operations expense. Learn more about STEALTHbits at https://www.stealthbits.com/.","Valid credentials","STEALTHbits Threat Hunting App for Splunk",,"$it_operations_management$;$security_compliance$",,,,,
"Dave Shpritz","security_compliance","https://splunkbase.splunk.com/app/3651/","2022-11-14","Deprecation Warning!!!
This app has been deprecated. There will be no new development or bug fixes. It has been replaced by the Aplura Malware App for Splunk: https://splunkbase.splunk.com/app/4228/",Malware,"Malware App for Splunk",,,,,,,
