Matrix,TacticId,Tactic,"Tactic_Order",TechniqueId,Technique,"Technique_Order","Sub_TechniqueId","Sub_Technique","Sub_Technique_Order",TechniqueIdCombined,"Threat_Groups",Platforms,"Data_Sources",Software,Version
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1566,Phishing,9,"T1566.001","Spearphishing Attachment",1,"T1566.001","Gorgon Group|Rancor|FIN8|MuddyWater|DarkHydrus|APT28|Lazarus Group|TA459|Gallmaker|Elderwood|APT29|Cobalt Group|APT37|Leviathan|FIN7|Patchwork|OilRig|menuPass|APT19|Dragonfly 2.0|BRONZE BUTLER|FIN4|PLATINUM|Tropic Trooper|Darkhotel|APT32|APT39|The White Company|Silence|TA505|APT12|Kimsuky|admin@338|Machete|APT41|APT-C-36|BlackTech|Inception|Frankenstein|RTM|Wizard Spider|Mofang|Molerats|Sharpshooter|Gamaredon Group|Naikon|Sandworm Team|APT33|Windshift|APT30|FIN6|APT1|Sidewinder|Higaisa|TA551|Mustang Panda|Ajax Security Team|Tonto Team|Nomadic Octopus|Transparent Tribe|IndigoZebra|Ferocious Kitten|Andariel|APT38","macOS|Windows|Linux","File: File Creation|Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow","OceanSalt|TrickBot|Emotet|PoetRAT|Rifdoor|Pony|RTM|IcedID|REvil|Hancitor|Valak|Metamorfo|BLINDINGCAN|Javali|Agent Tesla|NETWIRE|Kerrdown|Ramsay|AppleSeed|Chaes|QakBot|BADFLICK|Lokibot|Bandook|EnvyScout|Octopus|Taidoor|JSS Loader",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1566,Phishing,9,"T1566.002","Spearphishing Link",2,"T1566.002","APT33|APT28|Turla|Cobalt Group|Elderwood|APT32|APT29|Leviathan|Night Dragon|Patchwork|Dragonfly 2.0|FIN4|OilRig|Magic Hound|FIN8|APT39|Stolen Pencil|TA505|Kimsuky|Machete|BlackTech|Mofang|Molerats|Windshift|APT1|Wizard Spider|Sandworm Team|Evilnum|Sidewinder|MuddyWater|ZIRCONIUM|Mustang Panda|APT3|FIN7|Transparent Tribe","Linux|macOS|Windows|Office 365|SaaS|Google Workspace","Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow","Emotet|Pony|Hancitor|Valak|TrickBot|Javali|Melcoz|Grandoreiro|Bazar|GuLoader|NETWIRE|AppleJeus|Kerrdown|QakBot|SpicyOmelette",22729202
"Enterprise ATT&CK",TA0001,"Initial Access",3,T1566,Phishing,9,"T1566.003","Spearphishing via Service",3,"T1566.003","Dark Caracal|OilRig|FIN6|Windshift|Magic Hound|Ajax Security Team|APT29","Linux|macOS|Windows","Application Log: Application Log Content|Network Traffic: Network Traffic Content|Network Traffic: Network Traffic Flow","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1047,"Windows Management Instrumentation",2,"-","-",,T1047,"menuPass|Deep Panda|OilRig|MuddyWater|Leviathan|APT29|Threat Group-3390|FIN8|Stealth Falcon|Lazarus Group|APT32|GALLIUM|FIN6|APT41|Frankenstein|Wizard Spider|Blue Mockingbird|Chimera|Operation Wocao|UNC2452|Windshift|Mustang Panda|Naikon|Indrik Spider|FIN7|Sandworm Team",Windows,"Command: Command Execution|Process: Process Creation|Network Traffic: Network Connection Creation","Mosquito|KOMPROGO|FELIXROOT|BlackEnergy|POWERSTATS|RogueRobin|GravityRAT|RATANKBA|Koadic|POWRUNER|OopsIE|DustySky|Octopus|jRAT|HALFBAKED|PowerSploit|Impacket|Empire|Olympic Destroyer|WannaCry|NotPetya|Astaroth|Remexi|Micropsia|Zebrocy|HOPLIGHT|PoshC2|Kazuar|StoneDrill|FlawedAmmyy|Ursnif|Emotet|EvilBunny|Maze|Netwalker|IcedID|CrackMapExec|REvil|Valak|Cobalt Strike|Lucifer|Bazar|Stuxnet|Agent Tesla|SharpStage|MoleNet|SUNBURST|EVILNUM|EKANS|Sibot|DEATHRANSOM|HELLOKITTY|FIVEHANDS|Avaddon|ProLock|QakBot",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"-","-",,T1053,"-","Windows|Linux|macOS|Containers","File: File Creation|Container: Container Creation|Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","Remsec|Lokibot",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.001","At (Linux)",1,"T1053.001","-",Linux,"Scheduled Job: Scheduled Job Creation|Command: Command Execution|Process: Process Creation","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.002","At (Windows)",2,"T1053.002","BRONZE BUTLER|Threat Group-3390|APT18",Windows,"Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","MURKYTOP|at|CrackMapExec",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.003",Cron,3,"T1053.003","Rocke|APT38","Linux|macOS","Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","Janicab|Xbash|SpeakUp|Exaramel for Linux|Skidmap|Anchor|NETWIRE|Penquin|Kinsing",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.004",Launchd,4,"T1053.004","-",macOS,"Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.005","Scheduled Task",5,"T1053.005","FIN6|APT3|Cobalt Group|Dragonfly 2.0|OilRig|Rancor|menuPass|Patchwork|FIN10|APT32|FIN8|Stealth Falcon|FIN7|APT29|APT39|APT33|TEMP.Veles|Silence|GALLIUM|APT41|BRONZE BUTLER|APT-C-36|Frankenstein|Wizard Spider|MuddyWater|Blue Mockingbird|Gamaredon Group|Chimera|Operation Wocao|Machete|Molerats|Fox Kitten|UNC2452|Higaisa|Mustang Panda|CostaRicto|Naikon|APT38|APT37",Windows,"Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","BADNEWS|yty|GravityRAT|Shamoon|Carbon|Smoke Loader|RemoteCMD|RTM|QUADAGENT|JHUHUGIT|POWRUNER|zwShell|CozyCar|QuasarRAT|OopsIE|ISMInjector|Helminth|POWERSTATS|CosmicDuke|Duqu|PowerSploit|Pteranodon|Gazer|schtasks|Matryoshka|TrickBot|BONDUPDATER|Empire|NotPetya|Emotet|Remexi|Revenge RAT|ServHelper|SQLRat|EvilBunny|Machete|GRIFFON|HotCroissant|Attor|Okrum|Ramsay|Dyre|BackConfig|Valak|Goopy|ComRAT|IcedID|InvisiMole|MCMD|Anchor|SoreFang|Maze|CSPY Downloader|Lucifer|Bazar|Crutch|Zebrocy|Agent Tesla|Stuxnet|SharpStage|NETWIRE|Bad Rabbit|IronNetInjector|AppleJeus|GoldMax|BabyShark|Sibot|Ryuk|RainyDay|GrimAgent|JSS Loader|QakBot|Lokibot",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.006","Systemd Timers",6,"T1053.006","-",Linux,"Scheduled Job: Scheduled Job Creation|Command: Command Execution|File: File Modification|Process: Process Creation","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1053,"Scheduled Task/Job",3,"T1053.007","Container Orchestration Job",7,"T1053.007","-",Containers,"Scheduled Job: Scheduled Job Creation|Container: Container Creation|File: File Creation","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"-","-",,T1059,"Dragonfly 2.0|Stealth Falcon|OilRig|Ke3chang|APT19|FIN7|FIN6|FIN5|APT39|Whitefly|APT32|Fox Kitten|Windigo|APT37","Linux|macOS|Windows|Network","Command: Command Execution|Process: Process Creation|Module: Module Load|Script: Script Execution","WINERACK|CHOPSTICK|gh0st RAT|Matryoshka|DarkComet|Empire|Zeus Panda|SpeakUp|Imminent Monitor|Get2|Bonadan|Kessel|Melcoz|P.A.S. Webshell|PoetRAT|Bandook|FIVEHANDS",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.001",PowerShell,1,"T1059.001","APT32|Turla|APT29|FIN10|FIN7|Poseidon Group|FIN6|Threat Group-3390|Leviathan|CopyKittens|APT19|APT3|Patchwork|Stealth Falcon|DarkHydrus|APT28|OilRig|Deep Panda|TA459|Thrip|Magic Hound|Cobalt Group|Dragonfly 2.0|FIN8|menuPass|BRONZE BUTLER|Gorgon Group|MuddyWater|Gallmaker|APT33|TEMP.Veles|WIRTE|TA505|GALLIUM|Kimsuky|APT41|Silence|Inception|Frankenstein|Wizard Spider|Molerats|DarkVishnya|APT39|Blue Mockingbird|Chimera|Operation Wocao|Sandworm Team|GOLD SOUTHFIELD|Fox Kitten|UNC2452|Sidewinder|HAFNIUM|Indrik Spider|Mustang Panda|Tonto Team|APT38|TeamTNT|Nomadic Octopus",Windows,"Command: Command Execution|Module: Module Load|Process: Process Creation|Script: Script Execution","AutoIt backdoor|POWRUNER|Zeus Panda|SeaDuke|HALFBAKED|DownPaper|RogueRobin|QUADAGENT|Pupy|KONNI|Mosquito|RATANKBA|POWERSTATS|POWERSOURCE|Xbash|PowerSploit|HAMMERTOSS|POSHSPY|Helminth|Socksbot|BONDUPDATER|Empire|Emotet|POWERTON|Revenge RAT|Ursnif|PUNCHBUGGY|KeyBoy|JCry|SQLRat|PowerStallion|GRIFFON|OSX_OCEANLOTUS.D|PowerShower|SHARPSTATS|Netwalker|ServHelper|Valak|Denis|ComRAT|CrackMapExec|Pillowmint|StrongPity|njRAT|REvil|Hancitor|RegDuke|FatDuke|WellMess|BloodHound|Cobalt Strike|KGH_SPY|Bazar|SharpStage|MoleNet|NETWIRE|Egregor|Pysa|ConnectWise|PS1|AppleSeed|Cuba|JSS Loader|SMOKEDHAM|TrickBot|QakBot|Lokibot|Bandook",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.002",AppleScript,2,"T1059.002","-",macOS,"Command: Command Execution|Process: Process Creation|Process: OS API Execution","Dok|Bundlore|ThiefQuest",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.003","Windows Command Shell",3,"T1059.003","Dark Caracal|APT37|APT1|Magic Hound|Gorgon Group|FIN10|admin@338|APT3|menuPass|FIN8|Dragonfly 2.0|Threat Group-1314|Sowbug|Rancor|BRONZE BUTLER|Threat Group-3390|Suckfly|Gamaredon Group|Ke3chang|MuddyWater|Darkhotel|APT38|APT28|APT18|Patchwork|APT32|Silence|Turla|GALLIUM|APT41|FIN7|Cobalt Group|Honeybee|Lazarus Group|OilRig|Frankenstein|Tropic Trooper|Blue Mockingbird|TA505|FIN6|Wizard Spider|Operation Wocao|Machete|Fox Kitten|UNC2452|Chimera|Indrik Spider|Higaisa|TA551|ZIRCONIUM|Mustang Panda|APT29|TeamTNT|Nomadic Octopus|Sandworm Team",Windows,"Command: Command Execution|Process: Process Creation","CozyCar|Linfo|Mivast|RTM|Mosquito|GravityRAT|Pteranodon|ZLib|HARDRAIN|China Chopper|PHOREAL|cmd|H1N1|SEASHARPEE|ADVSTORESHELL|Sakula|Cardinal RAT|RunningRAT|Comnie|httpclient|NETEAGLE|TDTESS|adbupd|OceanSalt|TEXTMATE|QuasarRAT|QUADAGENT|BLACKCOFFEE|TinyZBot|SNUGRIDE|Kasidet|Emissary|Gold Dragon|KOMPROGO|BACKSPACE|Volgmer|RogueRobin|DealersChoice|Orz|InnaputRAT|Proxysvc|Koadic|Pisloader|AuditCred|Bankshot|WEBC2|KONNI|UPPERCUT|StreamEx|NavRAT|OopsIE|hcdLoader|Felismus|RedLeaves|KEYMARBLE|Bisonal|PlugX|Mis-Type|Helminth|BADNEWS|XTunnel|Hi-Zor|HTTPBrowser|JHUHUGIT|Remcos|CALENDAR|RGDoor|Misdat|RATANKBA|Seasalt|DownPaper|JPIN|Daserf|Cobian RAT|UBoatRAT|zwShell|POWRUNER|Umbreon|PowerDuke|Dipsind|PoisonIvy|Zeus Panda|BISCUIT|MURKYTOP|Carbanak|InvisiMole|Wiarp|GreyEnergy|FELIXROOT|HOMEFRY|PLAINTEE|Bandook|NanoCore|TURNEDUP|4H RAT|MirageFox|SeaDuke|Micropsia|BONDUPDATER|Empire|TrickBot|SamSam|Remexi|HOPLIGHT|CoinTicker|jRAT|Revenge RAT|ServHelper|njRAT|Ixeshe|KeyBoy|JCry|SQLRat|HAWKBALL|Zebrocy|HiddenWasp|LightNeuron|EvilBunny|RobbinHood|More_eggs|ZxShell|BabyShark|Kazuar|Astaroth|DarkComet|Emotet|TYPEFRAME|MoonWind|Denis|Exaramel for Windows|HotCroissant|PLEAD|TSCookie|Okrum|Hikit|Ryuk|Rising Sun|ShimRat|Maze|LoudMiner|USBferry|Pony|Netwalker|MechaFlounder|SDBbot|CARROTBAT|SYSCON|ABK|BBK|Goopy|Metamorfo|BackConfig|ComRAT|Ragnar Locker|GoldenSpy|REvil|RDAT|Trojan.Karagany|MCMD|Anchor|WellMess|BLINDINGCAN|Cobalt Strike|KGH_SPY|Lucifer|Bazar|SLOTHFULMEDIA|Spark|SharpStage|DropBook|MoleNet|Egregor|NETWIRE|BlackMould|Dtrack|Caterpillar WebShell|Conti|LookBack|TAINTEDSCRIBE|GoldMax|Out1|MegaCortex|PoetRAT|ECCENTRICBANDWAGON|SideTwist|Siloscape|RainyDay|Nebulae|GrimAgent|Chaes|Clop|EnvyScout|Babuk|Taidoor|Peppy|Turian|WastedLocker|MarkiRAT|BoxCaon|QakBot|xCaon|Crimson|Lokibot|Seth-Locker|Cuba",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.004","Unix Shell",4,"T1059.004","APT41|Rocke|TeamTNT","macOS|Linux","Command: Command Execution|Process: Process Creation","CallMe|Chaos|Derusbi|Kazuar|Proton|CoinTicker|Exaramel for Linux|OSX/Shlayer|Fysbis|LoudMiner|Skidmap|WindTail|Bundlore|Drovorub|Anchor|CookieMiner|OSX_OCEANLOTUS.D|NETWIRE|AppleJeus|Penquin|Hildegard|Kinsing|Doki|Kobalos|Turian|XCSSET",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.005","Visual Basic",5,"T1059.005","Magic Hound|Leviathan|TA459|Cobalt Group|FIN4|Gorgon Group|WIRTE|Silence|TA505|Turla|APT32|BRONZE BUTLER|APT37|FIN7|Honeybee|MuddyWater|Patchwork|Rancor|APT-C-36|Inception|Frankenstein|Molerats|Sharpshooter|Gamaredon Group|Sandworm Team|APT33|Kimsuky|Operation Wocao|Machete|APT39|Sidewinder|Higaisa|Windshift|Mustang Panda|APT29|Transparent Tribe|APT38|OilRig","Windows|macOS|Linux","Command: Command Execution|Process: Process Creation|Module: Module Load|Script: Script Execution","Bisonal|QUADAGENT|TYPEFRAME|Exaramel for Windows|POWERSTATS|OopsIE|NanoCore|Xbash|Koadic|NanHaiShu|Smoke Loader|OSX_OCEANLOTUS.D|Emotet|Remexi|StoneDrill|Ursnif|KeyBoy|JCry|Comnie|Helminth|jRAT|PoetRAT|PowerShower|VBShower|Ramsay|BackConfig|Goopy|IcedID|Metamorfo|REvil|Cobalt Strike|Astaroth|Javali|Melcoz|Grandoreiro|NETWIRE|SUNBURST|LookBack|Sibot|Chaes|JSS Loader|QakBot|Kerrdown|Lokibot|Bandook",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.006",Python,6,"T1059.006","Machete|Dragonfly 2.0|APT39|BRONZE BUTLER|Rocke|APT29|Kimsuky|Operation Wocao|Turla|MuddyWater|ZIRCONIUM|APT37|Tonto Team","Linux|Windows|macOS","Command: Command Execution|Process: Process Creation","Keydnap|Pupy|Remcos|SpeakUp|Machete|CoinTicker|KeyBoy|PUNCHBUGGY|PoetRAT|MechaFlounder|Bundlore|CookieMiner|Cobalt Strike|TRITON|IronNetInjector|Pysa|DropBook|Ebury|Bandook|Chaes|Turian",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.007",JavaScript,7,"T1059.007","Leafminer|Silence|TA505|Molerats|Cobalt Group|FIN7|APT32|FIN6|Kimsuky|Evilnum|Sidewinder|Higaisa|Turla|MuddyWater|Indrik Spider","Windows|macOS|Linux","Command: Command Execution|Process: Process Creation|Module: Module Load|Script: Script Execution","Astaroth|NanHaiShu|Xbash|POWERSTATS|jRAT|Metamorfo|GRIFFON|Bundlore|InvisiMole|Valak|Cobalt Strike|AppleSeed|Chaes|EnvyScout|Avaddon|SpicyOmelette|JSS Loader|QakBot",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1059,"Command and Scripting Interpreter",4,"T1059.008","Network Device CLI",8,"T1059.008","-",Network,"Command: Command Execution","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1072,"Software Deployment Tools",5,"-","-",,T1072,"APT32|Threat Group-1314|Silence","Linux|macOS|Windows","Application Log: Application Log Content|Process: Process Creation",Wiper,22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1106,"Native API",6,"-","-",,T1106,"APT37|Gorgon Group|Silence|Turla|Sharpshooter|Tropic Trooper|Gamaredon Group|Chimera|Operation Wocao|menuPass|Higaisa|APT38","Windows|macOS|Linux","Process: OS API Execution|Module: Module Load","ADVSTORESHELL|PlugX|BADNEWS|Volgmer|Bankshot|TrickBot|InnaputRAT|Mosquito|XAgentOSX|SynAck|Empire|Ursnif|HAWKBALL|LightNeuron|HyperBro|RDFSNIFFER|HotCroissant|Attor|Imminent Monitor|Ryuk|Rising Sun|ShimRatReporter|ShimRat|Maze|Pony|Aria-body|Netwalker|Ramsay|BBK|build_downer|RTM|Denis|Metamorfo|WindTail|Goopy|BackConfig|ComRAT|gh0st RAT|IcedID|Carberp|InvisiMole|GoldenSpy|Pillowmint|REvil|Hancitor|PipeMon|PolyglotDuke|FatDuke|njRAT|Cobalt Strike|Grandoreiro|Bazar|BloodHound|HyperStack|Stuxnet|Egregor|NETWIRE|SUNSPOT|BitPaymer|Bad Rabbit|BendyBear|MegaCortex|Conti|Waterbear|EvilBunny|Explosive|Clop|SombRAT|AppleSeed|Siloscape|SodaMaster|Nebulae|RainyDay|GuLoader|GrimAgent|Babuk|Avaddon|Taidoor|Lokibot|Dridex|WastedLocker|MarkiRAT|xCaon|QakBot|ThiefQuest|Chaes|BoxCaon|Bandook|Cuba|SideTwist|KillDisk",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1129,"Shared Modules",7,"-","-",,T1129,"-",Windows,"Process: OS API Execution|Module: Module Load","PUNCHBUGGY|Hydraq|Astaroth|BOOSTWRITE|Attor|TajMahal|gh0st RAT|PipeMon|Metamorfo|BLINDINGCAN|Stuxnet|Dtrack|KillDisk",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1203,"Exploitation for Client Execution",8,"-","-",,T1203,"APT37|APT29|Patchwork|Leviathan|Elderwood|TA459|BRONZE BUTLER|Lazarus Group|Cobalt Group|Tropic Trooper|APT28|APT32|APT33|The White Company|APT12|Threat Group-3390|admin@338|APT41|Inception|Frankenstein|MuddyWater|Sandworm Team|Sidewinder|HAFNIUM|Higaisa|Darkhotel|Mustang Panda|Tonto Team|APT3|Transparent Tribe|Andariel","Linux|Windows|macOS","-","Bankshot|DealersChoice|Xbash|SpeakUp|HAWKBALL|EvilBunny|Ramsay|InvisiMole|Agent Tesla|SUPERNOVA|Cobalt Strike",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1204,"User Execution",9,"-","-",,T1204,"-","Linux|Windows|macOS|IaaS|Containers","Application Log: Application Log Content|Instance: Instance Start|Instance: Instance Creation|Image: Image Creation|Command: Command Execution|Container: Container Start|Container: Container Creation|Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|File: File Creation|Process: Process Creation","-",22729202
"Enterprise ATT&CK",TA0002,Execution,4,T1204,"User Execution",9,"T1204.001","Malicious Link",1,"T1204.001","APT33|Turla|Night Dragon|APT39|Cobalt Group|Dragonfly 2.0|Elderwood|FIN4|FIN8|Leviathan|Machete|OilRig|TA505|BlackTech|Mofang|Molerats|APT32|Windshift|Patchwork|Wizard Spider|Sandworm Team|Evilnum|MuddyWater|ZIRCONIUM|Sidewinder|Mustang Panda|APT29|APT28|Magic Hound|APT3|Transparent Tribe|FIN7","Linux|macOS|Windows","Network Traffic: Network Connection Creation|Network Traffic: Network Traffic Content|File: File Creation","Emotet|PLEAD|TSCookie|Pony|BackConfig|Hancitor|Javali|Melcoz|Grandoreiro|Bazar|NETWIRE|Kerrdown|GuLoader|AppleJeus|SMOKEDHAM|QakBot|ObliqueRAT|SpicyOmelette",22729202
