Matrix,Tactic,Technique,"Sub-Technique",App,Active,Available,"Needs data","Sub_Technique_Total","Tactic_Total","Technique_Total",Bookmarked,"Data Source",IsSubTechnique
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts","Splunk Security Essentials",0,0,2,3,112,101,0,"Windows Security::120",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Local Accounts","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts",Any,0,0,26,26,112,101,0,"AWS::28,Azure::0,Change Events Data::20",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts","Enterprise Security Content Update",0,0,19,26,112,101,0,"AWS::28,Change Events Data::20",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts","Splunk Security Essentials",0,0,7,26,112,101,0,"Azure::0",Yes
"Enterprise ATT&CK","Initial Access","Valid Accounts","Cloud Accounts","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Collection,"Data from Local System","-",Any,0,0,1,0,30,1,0,"Microsoft Sysmon Logs::1",No
"Enterprise ATT&CK",Collection,"Data from Local System","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Local System","-","Enterprise Security Content Update",0,0,1,0,30,1,0,"Microsoft Sysmon Logs::1",No
"Enterprise ATT&CK",Collection,"Data from Local System","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Local System","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Collection,"Data from Local System","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-",Any,0,0,6,0,35,33,0,"Endpoint Detection and Response::4,Windows Security::2",No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-","Enterprise Security Content Update",0,0,4,0,35,33,0,"Endpoint Detection and Response::4,Windows Security::2",No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-","Splunk Security Essentials",0,0,2,0,35,33,0,"Endpoint Detection and Response::4",No
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Defense Evasion","Direct Volume Access","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-",Any,0,0,4,0,118,4,0,"Endpoint Detection and Response::4",No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-","Splunk Security Essentials",0,0,4,0,118,4,0,"Endpoint Detection and Response::4",No
"Enterprise ATT&CK",Discovery,"System Service Discovery","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-",Any,0,0,13,0,49,13,0,"Endpoint Detection and Response::10,Windows Security::3",No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-","Enterprise Security Content Update",0,0,12,0,49,13,0,"Endpoint Detection and Response::10,Windows Security::3",No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-","Splunk Security Essentials",0,0,1,0,49,13,0,"Endpoint Detection and Response::10",No
"Enterprise ATT&CK",Execution,"Windows Management Instrumentation","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-",Any,0,0,7,0,56,7,0,"Anti-Virus or Anti-Malware::1,Box::2,Network Communication::4",No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","-","Splunk User Behavior Analytics",0,0,7,0,56,7,0,"Anti-Virus or Anti-Malware::1,Box::2,Network Communication::4",No
"Enterprise ATT&CK",Impact,"Data Destruction","-",Any,0,0,15,0,51,15,0,"Box::1,Endpoint Detection and Response::12,Microsoft Sysmon Logs::2",No
"Enterprise ATT&CK",Impact,"Data Destruction","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Data Destruction","-","Enterprise Security Content Update",0,0,14,0,51,15,0,"Endpoint Detection and Response::12,Microsoft Sysmon Logs::2",No
"Enterprise ATT&CK",Impact,"Data Destruction","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Data Destruction","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Impact,"Data Destruction","-","Splunk User Behavior Analytics",0,0,1,0,51,15,0,"Box::1",No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-",Any,0,0,3,0,112,3,0,"Endpoint Detection and Response::6",No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-","Splunk Security Essentials",0,0,1,0,112,3,0,"Endpoint Detection and Response::6",No
"Enterprise ATT&CK","Initial Access","Replication Through Removable Media","-","Splunk User Behavior Analytics",0,0,2,0,112,3,0,"Endpoint Detection and Response::6",No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-",Any,0,0,10,0,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Windows Security::5",No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-","Enterprise Security Content Update",0,0,1,0,19,38,0,"Endpoint Detection and Response::3",No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-","Splunk Security Essentials",0,0,7,0,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Windows Security::5",No
"Enterprise ATT&CK","Lateral Movement","Remote Services","-","Splunk User Behavior Analytics",0,0,2,0,19,38,0,"Network Communication::2,Windows Security::5",No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-",Any,0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-","Custom Content",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-","Enterprise Security Content Update",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-","Splunk Security Essentials",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure","-","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,No
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation","Junk Data","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory",Any,0,0,13,13,35,33,1,"Endpoint Detection and Response::4,Microsoft Sysmon Logs::0,Windows Security::2",Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory","Enterprise Security Content Update",0,0,13,13,35,33,1,"Endpoint Detection and Response::4,Microsoft Sysmon Logs::0,Windows Security::2",Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","LSASS Memory","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Exfiltration,"Exfiltration Over Other Network Medium","Exfiltration Over Bluetooth","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol",Any,0,0,8,8,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Ticket Management::0,Windows Security::5",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol","Enterprise Security Content Update",0,0,5,8,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Windows Security::5",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol","Splunk Security Essentials",0,0,3,8,19,38,0,"Ticket Management::0,Windows Security::5",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","Remote Desktop Protocol","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)",Any,0,0,1,1,100,2,0,"Endpoint Detection and Response::0",Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)","Enterprise Security Content Update",0,0,1,1,100,2,0,"Endpoint Detection and Response::0",Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)",Any,0,0,1,1,102,2,0,"Endpoint Detection and Response::0",Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)","Enterprise Security Content Update",0,0,1,1,102,2,0,"Endpoint Detection and Response::0",Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Windows)","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information",Credentials,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Resource Development","Acquire Infrastructure",Domains,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,"Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,"Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,"Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,"Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Command and Control","Data Obfuscation",Steganography,"Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager",Any,0,0,7,7,35,33,0,"Endpoint Detection and Response::4,Windows Security::2",Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager","Enterprise Security Content Update",0,0,7,7,35,33,0,"Endpoint Detection and Response::4,Windows Security::2",Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Credential Access","OS Credential Dumping","Security Account Manager","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares",Any,0,0,8,8,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Windows Security::5",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares","Enterprise Security Content Update",0,0,5,8,19,38,0,"Endpoint Detection and Response::3,Network Communication::2,Windows Security::5",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares","Splunk Security Essentials",0,0,3,8,19,38,0,"Endpoint Detection and Response::3,Network Communication::2",Yes
"Enterprise ATT&CK","Lateral Movement","Remote Services","SMB/Windows Admin Shares","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Persistence,"Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)",Any,0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)","Enterprise Security Content Update",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk Security Essentials",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK","Privilege Escalation","Boot or Logon Initialization Scripts","Logon Script (Mac)","Splunk User Behavior Analytics",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","Email Addresses",Any,0,0,1,1,5,1,0,"Windows Security::0",Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","Email Addresses","Custom Content",0,0,0,0,0,0,0,,Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","Email Addresses","Enterprise Security Content Update",0,0,1,1,5,1,0,"Windows Security::0",Yes
"Enterprise ATT&CK",Reconnaissance,"Gather Victim Identity Information","Email Addresses","Splunk App for Enterprise Security",0,0,0,0,0,0,0,,Yes
