phase,type,event,date,title,description,Presenter,link,"__mv_phase","__mv_type","__mv_event","__mv_date","__mv_title","__mv_description","__mv_Presenter","__mv_link"
"Command and control Internet-exposed service",Conf,".conf22","2022-06-14","Pushing a Phantom: Playbook Architecture To Get the Team to Actually (Splunk) SOAR","Stepping into the Splunk® SOAR world for the first time and deciding which direction to drive can feel overwhelming. Or perhaps the playbooks you write are starting to grow repetitive, large and unwieldy, or both. The XDR Automation team at Accenture Federal has paid the price for quite a bit of know-how surrounding matters like this, and we would like to pass this knowledge to you to make your Splunk SOAR life a bit better. The talk aims to provide you with the scaffolding to build your automations effectively and what considerations to take when building a ""container lifecycle."" We will also talk about some tips and tricks for playbook development in the Splunk SOAR VPE; you may not be aware of that will help you on the way to greatness.","Greg Rivas, Chief SOAR Dude, Accenture Federal Services","https://conf.splunk.com/watch/conf-online.html?search=SEC1266B","$Command and control$;$Internet-exposed service$",,,,,,,
"Internet-exposed service",Conf,".conf22","2022-06-14","Shorten Investigations of Threats Against Your Cloud-native Apps Using Splunk and JupiterOne","Companies are workloads from on-prem environments to cloud-native. The effort to respond to security incidents is growing exponentially. Come listen to a day in the life of the modern security engineer tackling this challenge. We will take you, step by step, through an investigation starting with a Splunk alert, through how JupiterOne’s understanding of cloud assets makes it easy to enrich what you know in near real-time. By the end of the session, you will learn how Splunk and JupiterOne let you identify impacted assets across all your cloud accounts, see what other assets they connect to, view the configuration details, and identify the assets that need remediation. Context is the key to making the journey to remediation easier.","Akash Ganapathi, Director, Solutions Architecture, JupiterOne Sam Andrus, Senior Product Manager, JupiterOne","https://conf.splunk.com/watch/conf-online.html?search=SEC1275B",,,,,,,"$Akash Ganapathi, Director, Solutions Architecture, JupiterOne$;$Sam Andrus, Senior Product Manager, JupiterOne$",
"Internet-exposed service",Conf,".conf22","2022-06-14","How a Major Australian Retailer Proactively Monitor and Perform Network Forensic Analysis","Join us to learn how we proactively monitor highly complex network security events and perform troubleshooting to mitigate potential threats and outages, which would impact the organization's purpose of ""sustainably feed all Australians to help them lead healthier happier lives.""","Dinendra Wickramasinghe, Senior Network Security Engineer, Coles Supermarkets Steven Russell, Security Manager, Coles","https://conf.splunk.com/watch/conf-online.html?search=SEC1278B",,,,,,,"$Dinendra Wickramasinghe, Senior Network Security Engineer, Coles Supermarkets$;$Steven Russell, Security Manager, Coles$",
"Data exfiltration Encrypt data Phishing",Conf,".conf22","2022-06-14","Secure Your Productivity Applications With Splunk","Google Workspace applications such as Docs, Sheets and Gmail contain some of the most sensitive data and information an organization has. Augmenting the native security features of Google Workspace with the multi-cloud security visibility provided by Splunk is critically important to guard against attacks and abuse. This session will present the Splunk-supported Google Workspace integration that collects and prepares audit events for security analytics and reporting use cases. We will cover real-world detections that this integration can power. You will walk away from this session with knowledge on detecting suspect authentications, anomalous user administration, potential phishing, risky data access and other threats.","Brett Adams, Cyber Analytics Specialist, Deloitte Mark Karlstrand, Principal Product Manager, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1320B","$Data exfiltration$;$Encrypt data$;$Phishing$",,,,,,"$Brett Adams, Cyber Analytics Specialist, Deloitte$;$Mark Karlstrand, Principal Product Manager, Splunk$",
"Command and control Internet-exposed service",Conf,".conf22","2022-06-14","Did You Mean To Do That? How Tide Engineers ""Spot"" the Risks and Drive Up Quality","<p>We love engineers; they're the lifeblood of Tide and keep the lights on. Engineers need to react quickly, occasionally without all the knowledge, and this is where we can sometimes see ""spotty"" security practices. With a ChatOps driven approach, we have established a culture of ""Did you mean to do that?"". Tide's in-house PAM solution is engineer-centric and powered by Slack and Splunk® SOAR. We put the power back into engineering hands while maintaining audit and accountability. Learn how our ""did you do that"" approach empowers the security team to query risky changes to the environment automatically and allows engineers to confirm actions and provide reasoning—all with minimal interaction and a significant reduction in draconian change control.</p>
","Devyani Vij, Product Security Engineer, Tide Platform Limited Ojasvi  Chauhan, Threat Detection Engineer, Tide Platform Limited","https://conf.splunk.com/watch/conf-online.html?search=SEC1321A","$Command and control$;$Internet-exposed service$",,,,,,"$Devyani Vij, Product Security Engineer, Tide Platform Limited$;$Ojasvi  Chauhan, Threat Detection Engineer, Tide Platform Limited$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf22","2022-06-14","Delivering Delight: How Pipeline Analytics Reveals and Enables Successful DevSecOps Teams","DevSecOps is complicated, but at its root, the goal is to deliver business-enabling/user delighting services and applications quickly and securely. To do this, those services and apps need to work, perform well, are always available and secure. How are functional, performance, reliability, and security issues in your development pipelines handled? Often they are triaged and owned by separate silos and tools. Still, teams can harness the centralized visibility to make better-informed decisions and release higher quality, more reliable, and secure applications by centralizing data across your pipeline. We'll cover what some of those data sources are, how to collect and report them, and help show the future of DevSecOps collaboration!","Doug Erkkila, Solution Innovation Engineer, Splunk Jeremy Hicks, Senior Observability Field Solution Engineer, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1339C","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Doug Erkkila, Solution Innovation Engineer, Splunk$;$Jeremy Hicks, Senior Observability Field Solution Engineer, Splunk$",
"Data exfiltration Encrypt data Exploit vulnerability Internet-exposed service",Conf,".conf22","2022-06-14","CISA and Log4j in Your SIEM SOAR Casa - Integrating Nation State Apt IOCS Into Your Splunk Environment","With the rise of 0-day security events (e.g., Sunburst, Log4j), the US Government, specifically the Cybersecurity and Infrastructure Security Agency (CISA) leads the national effort to understand, manage, and reduce risk to cyber and physical infrastructure. CISA provides a free centralized catalog of known exploited vulnerabilities (KEV). In this talk we will showcase how to tap into the catalog enriching your Enterprise Security data and providing the context to do temporal-based, organized analysis of high priority vulnerabilities. In the case of Log4J, where hundreds of products were affected, prioritization with organization specific context was crucial to swift remediation with Splunk SOAR.","Macy Cronkrite, Principal Security Architect, Splunk Vittorio Paquette, Team Lead, Principal Engineer, Kinney Group","https://conf.splunk.com/watch/conf-online.html?search=SEC1345B","$Data exfiltration$;$Encrypt data$;$Exploit vulnerability$;$Internet-exposed service$",,,,,,"$Macy Cronkrite, Principal Security Architect, Splunk$;$Vittorio Paquette, Team Lead, Principal Engineer, Kinney Group$",
"Data exfiltration Encrypt data Malware",Conf,".conf22","2022-06-14","Splunking the Endpoint VI: Return of the Endpoint","<p>Endpoints continue to be a rich source of detection opportunities from drive-by malware to nation state adversaries. We return to the Splunking the Endpoint series where we will go over the latest in endpoint data sources and share recommendations on configuration best practices. We'll discuss detection opportunities, the changes to the Endpoint data model, and more. Splunk-alum and Senior Director of Security Solutions Engineering at Okta James Brodsky will also discuss how Okta provides unique insights into the endpoints being used to authenticate to your environment.</p>
","Drew Church, Staff Security Strategist, Splunk James Brodsky, Sr. Director, Security Solutions Engineering, Okta","https://conf.splunk.com/watch/conf-online.html?search=SEC1357B","$Data exfiltration$;$Encrypt data$;$Malware$",,,,,,"$Drew Church, Staff Security Strategist, Splunk$;$James Brodsky, Sr. Director, Security Solutions Engineering, Okta$",
"Internet-exposed service",Conf,".conf22","2022-06-14","Responding to Risk Notables at Machine Speed Using Automation","In a follow-up to last year's conf talk, ""Augmented Case Management With Risk-Based analytics and Splunk® SOAR,"" this presentation will showcase a playbook pack that allows Splunk SOAR users to up-level their risk notable case management. When high confidence or high severity events occur, containment needs to happen immediately. The new automation content builds upon concepts shown last year and drastically improves MTTR by initiating low-impact containment actions for high confidence threats. You'll learn how to customize and operationalize the new automation content so you can lock down the bad guys at machine speed.","Kelby Shelton, Senior Security Solutions Engineer , Splunk Philip Royer, Senior Product Manager, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1359C",,,,,,,"$Kelby Shelton, Senior Security Solutions Engineer , Splunk$;$Philip Royer, Senior Product Manager, Splunk$",
"Command and control Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Transform Your Intelligence for Informed, Actionable Automation","<p>Businesses invest in multiple open source and premium threat intelligence sources to improve detections and investigations, but that data comes in different structures and formats. As a result, teams have to rely on tedious, time-consuming collection, data cleaning and manual curation techniques to gain the full value from their threat intelligence. Splunk® Intelligence Management (formerly TruSTAR) curates all of your intelligence sources and provides normalized, scored intelligence data that analysts can use to prioritize investigation and triage. In this session, you’ll learn how teams can customize and control the flow of data and securely and effortlessly share intelligence between teams, tools, and partners.</p>
","Casey Wopat, Product Marketing Manager, Splunk Daniela Herrera, Product Portfolio Manager, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1371C","$Command and control$;$Data exfiltration$;$Encrypt data$",,,,,,"$Casey Wopat, Product Marketing Manager, Splunk$;$Daniela Herrera, Product Portfolio Manager, Splunk$",
"Command and control Data exfiltration Encrypt data Internet-exposed service",Conf,".conf22","2022-06-14","DevSecOps Delivers Results! [More Than the Latest Buzzword...Only From Splunk]","This is the beginning of a new solution that is being delivered by Splunk with input from key strategic relationships (partners, customers, analysts and Splunkers). The ""DevSecOps"" buzzword was pushed to the top as a way to address business challenges, but we're focusing on results and outcomes with Splunk as the platform. This panel of peers/SMEs will demonstrate the organizational challenges and the growing number of threats that are faced by a variety of organizations within DevOps and SecOps, how they come together and how Splunk as your data analytics platform enables DevSecOps.

Join us as we show you how to maximize your investment and partnership with Splunk at the intersection of DevOps and SecOps…DevSecOps.
","David Rutstein, Principal Cybersecurity Analyst, GE Digital Paul Pelletier, Director, Security Field Solutions, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1383A","$Command and control$;$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$David Rutstein, Principal Cybersecurity Analyst, GE Digital$;$Paul Pelletier, Director, Security Field Solutions, Splunk$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","PII Doesn’t Have To Be a Four Letter Word…","And yet PII (Personally Identifiable Information) has become a four-letter word lately. It crops up in the weirdest places, URL fragments, stack traces, random logs from unexpected apps, and other bizarre locations. We're expected to protect PII at all times, but how can we do that when we don't always know where it appears, especially in our digital exhaust, where small code changes can significantly change exposure. Luckily, we can use Splunk's ability to perform NLP, dictionary analysis, pattern matching, and a smattering of machine learning and risk scoring to highlight where in your machine data PII has appeared! These insights and detections are invaluable for properly protecting your users, employees and customers.","Matthew Moore, Observability Technical Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1418C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Splunk® Enterprise Security: Delivering Enhanced Security Coverage at Transport for New South Wales With Dynamic Data Enrichment","At Transport for NSW, we have transformed the security operations center by enabling dynamic enriching of the SIEM (Splunk® Enterprise Security) platform from multiple EDR and NDR solutions. The onboarding process is designed to identify the missing gaps and map it to the Splunk ES use case library. The organizational process assets developed at TfNSW are the reusable components that can be leveraged by any organization wishing to onboard Splunk Enterprise Security. The process assets provide recommendations on CIM compliance, data model mappings and end-user changes. Splunk ES recommendations generated through this methodology help provide enhanced security coverage by the security operations center and hence helps in keeping Transport for NSW safe.","Ravi Teja J., Splunk Senior Manager, Transport for NSW Vaibhav Suneja, myWizard AIOPS Development Manager, Accenture","https://conf.splunk.com/watch/conf-online.html?search=SEC1426B","$Data exfiltration$;$Encrypt data$",,,,,,"$Ravi Teja J., Splunk Senior Manager, Transport for NSW$;$Vaibhav Suneja, myWizard AIOPS Development Manager, Accenture$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Splunking Ransomware for White Papers and No Profits","Earlier this year, the SURGe team decided to evaluate the speed of ransomware encryption using Splunk. Our recently published white paper showed that the median ransomware encryption speed was just over 4 minutes for 100,000 files measuring around 50GBs. How did we do this measurement? Using Splunk, of course. And the best part? You can play with all the data on bots.splunk.com! Join Shannon and Ryan to discuss how they built their lab, gathered their ransomware, built dashboards, how to improve your defenses based on their findings, and finally, what conclusions they derived that they left OUT of the white paper.","Ryan Kovar, Distinguished Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1427C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf22","2022-06-14","Splunk in P&U: Empowering OT and the Grid","As the nation's critical infrastructure becomes more interconnected with IT, the collection and aggregation of event data for operations and security have become increasingly invaluable. Splunk is being implemented as a new age historian for energy companies with an ever-increasing need for full visibility.

While Operators monitor voltage, SOC analysts must learn to monitor for security and operational threats in an environment that maintains a stable grid, all in the wake of geopolitical tension, extreme climate and national electrification.

In this talk, participants learn how Splunk can be implemented in critical infrastructure, from the data center to substation, to maintain the core tenants of safety, reliability, and availability.","Radha  Parikh , Senior SIEM Analyst, EY Tony Pierce, North America EY SIEM Senior Manager, EY","https://conf.splunk.com/watch/conf-online.html?search=SEC1456B","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Radha  Parikh , Senior SIEM Analyst, EY$;$Tony Pierce, North America EY SIEM Senior Manager, EY$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","One App To Rule Them All: Applying Machine Learning To Find Them","Have you ever wondered what a non-machine learning Guru can achieve within one year? How to start with security-related data and detect what's lurking in your environment with the power of ML? Well, you've come to the right place, as we showcase how YOU can leverage baselines & likelihoods by utilizing MLTK algorithms and SPL™ to uncover anomalies and dig out the hackers hiding in logs. We’ll cover tips and tricks, the challenges, our outcomes, likelihood approaches, and possible use cases of using MLTK as well as the benefits. We'll go into detail about two specific use cases; how to detect anomalous logins and rough patterns of applications. In summary, we'll make sure you have the tools and know-how to build your own ML threat cases based on good old SPL and our beloved MLTK app.","Ali Cetin, Security Engineer, Yapı Kredi Bank Semih Gelisli, Cyber Security Unit Manager, Yapı Kredi Bank","https://conf.splunk.com/watch/conf-online.html?search=SEC1471B","$Data exfiltration$;$Encrypt data$",,,,,,"$Ali Cetin, Security Engineer, Yapı Kredi Bank$;$Semih Gelisli, Cyber Security Unit Manager, Yapı Kredi Bank$",
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Detecting Server Side Request Forgeries in AWS With Splunk® Enterprise, ES and Stream","In 2019 an attack against a high-profile financial institution resulted in the loss of personal data of over 100 million customers. The attackers had carried out a server-side request forgery (SSRF), which allowed the group to gain access. We'll cover high-level SSRF fundamentals, AWS and Splunk integration, and finally, how to use Stream, Splunk® Enterprise Security, and Splunk® Enterprise to detect the signs of such an attack as they're occurring.","Tom Smit, Principal Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1481C","$Data exfiltration$;$Encrypt data$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Accelerate Investigations With Intelligence Management","SOC teams are integrating multiple intelligence sources into the tools they work with daily, but data from each source comes in different structures and formats. Teams have to rely on the tedious, time-consuming collection, data cleaning, and manual curation techniques of their intelligence sources to ensure that their tools aren’t generating unnecessary alerts from that data. This session highlights how Splunk Intelligence Management (formerly TruSTAR) aggregates intelligence from multiple sources to be enriched, normalized and prioritized using Intelligence Flows. That normalized, prioritized data is leveraged directly in Splunk® Enterprise Security to accelerate investigations and improve alert prioritization.","Daniela Herrera, Product Portfolio Manager, Splunk Elvis Hovor, Product Management, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1507C","$Data exfiltration$;$Encrypt data$",,,,,,"$Daniela Herrera, Product Portfolio Manager, Splunk$;$Elvis Hovor, Product Management, Splunk$",
"Internet-exposed service",Conf,".conf22","2022-06-14","Understanding the Latest Ransomware Threats To Protect Your Organization","Ransomware groups are constantly evolving their tactics to gain leverage and monetize breaches. Attacks with high-impact, headline-making incidents continuously grow in volume and scope. Discover and learn how to build an effective defense based on advanced threat protection, zero trust, and analytics. Join threat researchers from Zscaler and Splunk as they discuss their research on the latest ransomware developments and trending attack techniques.","Brett Stone-Gross, Director, Threat Intelligence, Zscaler Shannon Davis, Global Staff Security Strategist, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1514B",,,,,,,"$Brett Stone-Gross, Director, Threat Intelligence, Zscaler$;$Shannon Davis, Global Staff Security Strategist, Splunk$",
"Data exfiltration Encrypt data Internet-exposed service",Conf,".conf22","2022-06-14","It's Not the Amount of Alerts, It's How You Use Them","Noisy data no more! Create behavioral pattern detections leveraging all your noisy data. See how the case study of eBay's SOC team was able to get higher-fidelity alerts to get immediate detection value and easily build out and deploy use cases, rules, and write events to notable indexes incorporating threat intel, security articles, and utilizing attacker paths. Immediate detection value and easily build out and deploy use cases, rules, and write events to notable indexes incorporating threat intel, security articles, and utilizing attacker paths.","Raymie Michael, Security Engineer, eBay Rohith Kondeti, Forward Deployed Engineer, Anvilogic","https://conf.splunk.com/watch/conf-online.html?search=SEC1515A","$Data exfiltration$;$Encrypt data$;$Internet-exposed service$",,,,,,"$Raymie Michael, Security Engineer, eBay$;$Rohith Kondeti, Forward Deployed Engineer, Anvilogic$",
"Internet-exposed service",Conf,".conf22","2022-06-14","Unlock the Full Value of Detections Through Normalization With Splunk","It’s time for your alerts to grow up and start paying their own way. Alerts and signals tend to cause more headaches and noise when left idle. See how the SOC team at Regeneron learned that ""it’s not always your alerts, but how you’re parenting them."" By automating the process to deal with noisy alerts, and utilizing detections and behavioral patterns in Splunk, you can save time and reduce costs, headaches, and business risks.","Christopher Filor, Cyber Security Analyst, Regeneron Pharmaceuticals Michael Monte, Director of Customer Success, Anvilogic","https://conf.splunk.com/watch/conf-online.html?search=SEC1559B",,,,,,,"$Christopher Filor, Cyber Security Analyst, Regeneron Pharmaceuticals$;$Michael Monte, Director of Customer Success, Anvilogic$",
"Data exfiltration Encrypt data Malicious document",Conf,".conf22","2022-06-14","Expect More From Your Threat Intelligence in Splunk® Enterprise Security and Splunk® SOAR","You’re likely already familiar with using threat intelligence to detect malicious indicators in your environment. Imagine going a step further to hunt proactively for related malicious activity and exposures. Join us to learn how you can do just that by combining threat intelligence with Splunk® Enterprise Security Threat Intelligence Framework and Splunk® SOAR. Experts from Recorded Future will demonstrate how to design automated workflows using Splunk’s risk analysis in combination with risk data to detect malicious indicators in your environment. You’ll walk away with best practices for integrating threat intelligence in your connected SIEM and SOAR environment for faster threat detection and response.","Cameron Thorpe, Manager of Professional Services, Recorded Future","https://conf.splunk.com/watch/conf-online.html?search=SEC1592B","$Data exfiltration$;$Encrypt data$;$Malicious document$",,,,,,,
"Data exfiltration Encrypt data",Conf,".conf22","2022-06-14","Purple Teaming - Build, Attack, and Defend Your Organization","Have you wanted to know if your current detections were working or if you had detection coverage for a particular attack technique? Have you tried to break down the silos between your red and blue teams? Have you wondered what it takes to build a purple Team? Purple teaming is threat intelligence-driven, combining the efforts of red and blue teams to mimic adversarial attacks and identify gaps in your organization’s security posture. Find out how to build a purple team program and how it can benefit your team in detecting badness faster. Learn how to simulate adversary behaviors, test your current threat detection and response process, and hunt through your data with Splunk and open source tools!","Sydney Howard, Senior Threat Hunter, Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1609C","$Data exfiltration$;$Encrypt data$",,,,,,,
Phishing,Conf,".conf22","2022-06-14","Fusing Intelligence Into Splunk® SOAR","Attend this session to learn how Splunk® Intelligence Management ingests, normalizes and prioritizes intelligence from over 70 sources to simplify Splunk® SOAR playbooks. We will review how you can manage intelligence upstream to enhance phishing triage flows, enrich investigations, and improve priority scoring for more targeted automated responses.","Rob Gresham, Principal Product Manager, Security, Splunk Steven Chamales, Product Manager, Intelligence , Splunk","https://conf.splunk.com/watch/conf-online.html?search=SEC1647C",,,,,,,"$Rob Gresham, Principal Product Manager, Security, Splunk$;$Steven Chamales, Product Manager, Intelligence , Splunk$",
