MESSAGE_CODE,MESSAGE_CLASS,MESSAGE_TEXT
11512,EAP,Extracted EAP-Response/NAK packet requesting to use unsupported EAP protocol; EAP-negotiation failed
11513,EAP,Extracted second EAP-Response/NAK in current EAP conversation; failed to negotiate EAP
11514,EAP,Unexpectedly received empty TLS message; treating as a rejection by the client
11515,EAP,Invalid EAP-Response/NAK; inner EAP-negotiation failed
11516,EAP,Extracted EAP-Response/NAK packet not requesting any EAP protocols for inner EAP method; inner EAP-negotiation failed
11517,EAP,Extracted EAP-Response/NAK packet requesting to use unsupported inner EAP protocol; inner EAP-negotiation failed
11518,EAP,Extracted second EAP-Response/NAK in current inner EAP conversation; inner EAP-negotiation failed
11519,EAP,Prepared EAP-Success for inner EAP method
11520,EAP,Prepared EAP-Failure for inner EAP method
11521,EAP,Prepared EAP-Request/Identity for inner EAP method
11522,EAP,Extracted EAP-Response/Identity for inner EAP method
11523,EAP,Invalid or unexpected inner-EAP payload received
11524,EAP,Invalid inner-EAP payload
11800,EAP,Prepared EAP-Request proposing EAP-MSCHAP with challenge
11801,EAP,Extracted EAP-Response/NAK requesting to use EAP-MSCHAP instead
11802,EAP,Extracted EAP-Response containing EAP-MSCHAP challenge-response and accepting EAP-MSCHAP as negotiated
11803,EAP,Failed to negotiate EAP because EAP-MSCHAP not allowed in the Allowed Protocols
11804,EAP,Extracted EAP-Response containing MSCHAP challenge-response
11805,EAP,Prepared EAP-Request with another EAP-MSCHAP challenge
11806,EAP,Prepared EAP-Request for inner method proposing EAP-MSCHAP with challenge
11807,EAP,Extracted EAP-Response/NAK for inner method requesting to use EAP-MSCHAP instead
11808,EAP,Extracted EAP-Response containing EAP-MSCHAP challenge-response for inner method and accepting EAP-MSCHAP as negotiated
11809,EAP,Failed to negotiate EAP for inner method because EAP-MSCHAP not allowed in the Allowed Protocols
11810,EAP,Extracted EAP-Response for inner method containing MSCHAP challenge-response
11811,EAP,Prepared EAP-Request for inner method with another EAP-MSCHAP challenge
11812,EAP,EAP-MSCHAP authentication succeeded
11813,EAP,EAP-MSCHAP authentication failed
11814,EAP,Inner EAP-MSCHAP authentication succeeded
11815,EAP,Inner EAP-MSCHAP authentication failed
11816,EAP,MSCHAP username doesn't match inner method EAP-Response/Identity
11817,EAP,Internal Error - invalid EAP-MSCHAP state
11818,EAP,Failed to parse EAP-MSCHAP packet
11819,EAP,Received EAP-MSCHAP packet with invalid argument
11821,EAP,EAP-MSCHAP password change attempt failed
11822,EAP,EAP-MSCHAP password change attempt passed
11823,EAP,EAP-MSCHAP authentication attempt failed
11824,EAP,EAP-MSCHAP authentication attempt passed
11825,EAP,MSCHAP inner method username is missing
12000,EAP,Prepared EAP-Request proposing EAP-MD5 with challenge
12001,EAP,Extracted EAP-Response/NAK requesting to use EAP-MD5 instead
12002,EAP,Extracted EAP-Response containing EAP-MD5 challenge-response and accepting EAP-MD5 as negotiated
12003,EAP,Failed to negotiate EAP because EAP-MD5 not allowed in the Allowed Protocols
12004,EAP,Extracted EAP-Response containing EAP-MD5 challenge-response
12005,EAP,EAP-MD5 authentication succeeded
12006,EAP,EAP-MD5 authentication failed
12007,EAP,Internal Error - invalid EAP-MD5 state
12008,EAP,Failed to parse EAP-MD5 packet
12100,EAP,Prepared EAP-Request proposing EAP-FAST with challenge
12101,EAP,Extracted EAP-Response/NAK requesting to use EAP-FAST instead
12102,EAP,Extracted EAP-Response containing EAP-FAST challenge-response and accepting EAP-FAST as negotiated
12103,EAP,Failed to negotiate EAP because EAP-FAST not allowed in the Allowed Protocols
12104,EAP,Extracted EAP-Response containing EAP-FAST challenge-response
12105,EAP,Prepared EAP-Request with another EAP-FAST challenge
12106,EAP,EAP-FAST authentication phase finished successfully
12107,EAP,EAP-FAST provisioning phase finished successfully
12108,EAP,EAP-FAST authentication failed
12109,EAP,EAP-FAST provisioning phase finished
12110,EAP,PAC verification failed
12111,EAP,PAC contains invalid Authority ID
12112,EAP,PAC contains invalid PAC type
12113,EAP,PAC has expired - rejecting it
12114,EAP,PAC contains invalid Authentication Tag
12115,EAP,Successfully finished EAP-FAST PAC provisioning/update
12116,EAP,Client sent Result TLV indicating failure
12117,EAP,EAP-FAST inner method finished with failure
12118,EAP,EAP-FAST cryptobinding verification failed
12119,EAP,EAP-FAST needs to proactively update PAC that is about to expire
12120,EAP,Neither anonymous nor authenticated provisioning allowed by Allowed Protocols
12121,EAP,Client didn't provide suitable ciphers for anonymous PAC-provisioning
12122,EAP,Client didn't provide suitable ciphers for authenticated PAC provisioning
12123,EAP,Client didn't provide suitable ciphers for either anonymous or authenticated PAC-provisioning
12124,EAP,EAP-FAST inner method skipped
12125,EAP,EAP-FAST inner method started
12126,EAP,EAP-FAST cryptobinding verification passed
12127,EAP,Approved EAP-FAST client PAC request
12128,EAP,EAP-FAST inner method finished successfully
12129,EAP,EAP-FAST provisioning failed. General error
12130,EAP,Failed to decrypt PAC
12131,EAP,EAP-FAST built anonymous tunnel for purpose of PAC provisioning
12132,EAP,EAP-FAST built PAC-based tunnel for purpose of authentication
12133,EAP,Successfully updated Seed key
12134,EAP,Failed to update seed key
12135,EAP,Updated Primary Key Generation period
12136,EAP,Sent NDAC Authentication to client
12137,EAP,Received NDAC Authentication response from client
12138,EAP,Received Authorization PAC
12139,EAP,Anonymous TLS renegotiation succeeded
12140,EAP,Anonymous TLS renegotiation failed
12141,EAP,Failed to find Legacy Primary Key
12142,EAP,Legacy Primary Key expired
12143,EAP,Failed to derive EAP-FAST Primary Key
12144,EAP,Fallback on invalid PAC: no available additional cipher configured on server
12145,EAP,Cannot perform more then one invalid PAC fallback
12146,EAP,No cipher on client side for invalid PAC fallback
12147,EAP,Machine Authentication is disabled
12148,EAP,Allowed Protocols does not allow Stateless Session Resume; performing full authentication
12149,EAP,EAP-FAST built authenticated tunnel for purpose of PAC provisioning
12150,EAP,Prepared RADIUS Access-Reject after successful in-band PAC provisioning
12151,EAP,Perform fallback on invalid PAC to provisioning
12152,EAP,Rejected PAC provisioning request because supplicant failed to adhere to protocol
12153,EAP,EAP-FAST failed SSL/TLS handshake because the client rejected the ISE local-certificate
12154,EAP,EAP-FAST failed SSL/TLS handshake after a client alert
12155,EAP,One Tunnel PAC has already been requested in this conversation. Another Tunnel PAC request will be ignored
12156,EAP,One CTS PAC has already been requested in this conversation. Another Tunnel PAC request will be ignored
12157,EAP,One Tunnel PAC has already been requested in this conversation. Another CTS PAC request will be ignored
12158,EAP,One CTS PAC has already been requested in this conversation. Another CTS PAC request will be ignored
12159,EAP,One Machine PAC has already been requested in this conversation. Another Machine PAC request will be ignored
12160,EAP,Cannot provision Machine PAC on anonymous provisioning. Machine PAC can be provisioned only on authenticated provisioning
12161,EAP,Cannot provision Authorization PAC when the stateless session resume is disabled
12162,EAP,Cannot provision Authorization PAC on anonymous provisioning. Authorization PAC can be provisioned only on authenticated provisioning
12163,EAP,One Authorization PAC has already been requested in this conversation. Another Authorization PAC request will be ignored
12164,EAP,Invalid PAC type requested. Ignoring this request
12165,EAP,Authorization PAC I-ID does not match user identity. Ignoring this Authorization PAC request
12166,EAP,Machine PAC request does not contain I-ID. Ignoring this Machine PAC request
12167,EAP,Authorization PAC can be provided only with Tunnel PAC
12168,EAP,Received CTS PAC
12169,EAP,Successfully finished EAP-FAST tunnel PAC provisioning/update
12170,EAP,Successfully finished EAP-FAST machine PAC provisioning/update
12171,EAP,Successfully finished EAP-FAST user authorization PAC provisioning/update
12172,EAP,Successfully finished EAP-FAST posture PAC provisioning/update
12173,EAP,Successfully finished EAP-FAST CTS PAC provisioning/update
12174,EAP,Received Machine PAC
12175,EAP,Received Tunnel PAC
51000,Administrator-Login,Administrator authentication failed
51001,Administrator-Login,Administrator authentication succeeded
51002,Administrator-Login,Administrator logged off
51003,Administrator-Login,Session Timeout
51004,Administrator-Login,Rejected administrator session from unauthorized client IP address
51005,Administrator-Login,Administrator authentication failed. Administrator account is disabled
51006,Administrator-Login,Administrator authentication failed. Account is disabled due to inactivity
51007,Administrator-Login,Authentication failed. Account is disabled due to password expiration
51008,Administrator-Login,Administrator authentication failed. Account is disabled due to excessive failed authentication attempts
51009,Administrator-Login,Authentication failed. ISE Runtime is not running
51020,Administrator-Login,Administrator authentication failed. Login username does not exist.
51021,Administrator-Login,Administrator authentication failed. Wrong password.
51022,Administrator-Login,Administrator authentication failed. System Error
51023,Administrator-Login,Administrator account is unlocked
51100,User change password,Password changed successfully
51101,User change password,Invalid new password. Password is too short
51102,User change password,Invalid new password. Too many repeating characters
51103,User change password,Invalid new password. Missing required character type
51104,User change password,Invalid new password. Contains username
51105,User change password,Invalid new password. Contains reserved word
51106,User change password,Authentication for web services failed
51107,User change password,Invalid new password
51115,User change password,The new password is invalid. This password has been previously used.
52000,Configuration-Changes,Added configuration
52001,Configuration-Changes,Changed configuration
52002,Configuration-Changes,Deleted configuration
52003,Distributed-Management,Deregister Node
52004,Distributed-Management,Register Node
52005,Distributed-Management,Activate Node
52006,Distributed-Management,Deactivate ISE Node
52007,Distributed-Management,Force Full replication
52008,Distributed-Management,Replacement Register Handler
52009,Distributed-Management,Promote Node
52010,Distributed-Management,Promote Node Handler
52011,Distributed-Management,Local Mode
52012,Distributed-Management,Local Mode Handler
52013,Distributed-Management,Hardware Replacement
52014,Distributed-Management,Deregister Handler
52015,Distributed-Management,Enable LogCollector Target
52016,Distributed-Management,Select LogCollector Node
52017,Distributed-Management,Apply software update
52018,Distributed-Management,Overriding an ISE Instances Log Categories
52019,Distributed-Management,Restoring an ISE Instances Log Categories to Global
52020,Distributed-Management,Full Replication
52021,Distributed-Management,Full replication request
52022,Distributed-Management,Full replication
52023,Distributed-Management,Full replication failed
52024,Distributed-Management,Full replication
52025,Distributed-Management,Full replication
52026,Distributed-Management,Full replication
52027,Distributed-Management,Full replication
52028,Distributed-Management,Full replication
52029,Distributed-Management,Full replication
52030,Distributed-Management,Full replication succeeded
52031,Distributed-Management,Full replication failed
52032,Distributed-Management,Registration request
52033,Distributed-Management,Registration succeeded
52034,Distributed-Management,Registration request
52035,Distributed-Management,Registration failed
52036,Distributed-Management,Registration
52037,Distributed-Management,Registration
52038,Distributed-Management,Registration succeeded
52039,Distributed-Management,Registration failed
52040,Distributed-Management,Promotion request
52041,Distributed-Management,Promotion request
52042,Distributed-Management,Demotion succeeded
52043,Distributed-Management,Demotion failed
52044,Distributed-Management,Promotion
52045,Distributed-Management,Promotion succeeded
52046,Distributed-Management,Promotion failed
52047,Distributed-Management,Local mode reconnect request
52048,Distributed-Management,Local mode start
52049,Distributed-Management,Local mode reconnect
52050,Distributed-Management,Local mode reconnect
52051,Distributed-Management,Local mode reconnect
52052,Distributed-Management,Local mode reconnect succeeded
52053,Distributed-Management,Local mode reconnect failed
52054,Distributed-Management,Local mode request
52055,Distributed-Management,Local mode request
52056,Distributed-Management,Local mode
52057,Distributed-Management,Local mode
52058,Distributed-Management,Local mode succeeded
52059,Distributed-Management,Local mode failed
52060,Distributed-Management,Deregister request
52061,Distributed-Management,Deregister request
52062,Distributed-Management,Deregister
52063,Distributed-Management,Deregister
52070,Distributed-Management,Deregister request
52071,Distributed-Management,Deregister
52072,Distributed-Management,Deregister succeeded
52073,Distributed-Management,Deregister failed
52074,Distributed-Management,Delete node request
52075,Distributed-Management,Delete node request
52076,Distributed-Management,Delete node request
52077,Distributed-Management,Delete node
52078,Distributed-Management,Delete node failed
52079,Distributed-Management,Delete node succeeded
52080,Distributed-Management,Delete node failed
52081,DB-Management,Backup request
52082,DB-Management,Backup failed
52083,DB-Management,Backup request
52084,DB-Management,Backup succeeded
52085,DB-Management,Backup failed
52086,Software-Management,Software update request
52088,Software-Management,Software update
52089,Software-Management,Software update
52090,Software-Management,Software update
52091,Software-Management,Software update failed
52092,Software-Management,Software update succeeded
52093,Software-Management,Software update failed
52094,Distributed-Management,Activate request
52095,Distributed-Management,Register
52096,Distributed-Management,Activate
52097,Distributed-Management,Activate
52098,Distributed-Management,Activate
52099,Distributed-Management,Activate
52100,Distributed-Management,Deregister
52101,Distributed-Management,Deregister
52102,DB-Management,SCHEDULED BACKUP
52103,DB-Management,SCHEDULED BACKUP
52104,DB-Management,SCHEDULED BACKUP
52105,DB-Management,SCHEDULED BACKUP
52106,DB-Management,SCHEDULED BACKUP
57000,Configuration-changes,Deleted rolled-over local log file(s)
58001,Process-Management,ISE process started
58002,Process-Management,ISE process stopped
58003,Process-Management,ISE processes started
58004,Process-Management,ISE processes stopped
58005,Process-Management,ISE process was restarted by watchdog service
58006,Process-Management,Watchdog configuration reloaded
58007,Process-Management,ISE process reported start/stop Error
58008,DB-Management,CARS backup complete
58009,DB-Management,CARS restore complete
58010,DB-Management,ISE database backup
58011,DB-Management,ISE database restore
58012,DB-Management,ISE support bundle collected
58013,DB-Management,ISE database reset
58014,File-Management,ISE core files deleted
58015,File-Management,ISE log files deleted
58016,Software-Management,ISE upgrade
58017,Software-Management,ISE patch install
58018,System-Management,ISE migration interface enabled/disabled
58019,System-Management,ISE administrator password reset
58020,System-Management,Clock set
58021,System-Management,Time zone set
58022,System-Management,NTP Server set
58023,System-Management,Hostname set
58024,System-Management,IP address set
58025,System-Management,IP address state
58026,System-Management,Default gateway set
58027,System-Management,Name server set
58028,System-Management,ADE OS Xfer library Error
58029,System-Management,ADE OS install library Error
58030,Software-Management,ISE upgrade - schema change
58031,Software-Management,ISE upgrade - dictionary
58032,Software-Management,ISE upgrade - data manipulation
58033,Software-Management,ISE upgrade - AAC
58034,Software-Management,ISE upgrade - PKI
58035,Software-Management,ISE upgrade - MnT
58036,Software-Management,ISE upgrade
58037,Software-Management,ISE install
58038,System-Management,Failed to join to AD
58039,System-Management,AD join
58040,System-Management,AD leave
58041,System-Management,Import/export process aborted
58042,System-Management,Import/export process started
58043,System-Management,Import/export process complete
58044,System-Management,Error in import/export process
58045,System-Management,Only single network interface is allowed
59000,EAP-FAST,Received request to revoke all PACs
59001,EAP-FAST,Generated new EAP-FAST seed key
59002,EAP-FAST,Successfully updated EAP-FAST seed key
59003,EAP-FAST,User not authorized to revoke all EAP-FAST PACs
59004,EAP-FAST,Timed out during attempt to revoke EAP-FAST keys and PACs
59005,EAP-FAST,Received request to generate Tunnel PAC
59006,EAP-FAST,Received request to generate Machine PAC
59007,EAP-FAST,Failed to generate PAC
59008,EAP-FAST,Successfully generated PAC
59009,SGA-PAC,Received request to generate SGA PAC
59010,SGA-PAC,Failed to generate SGA PAC
59011,SGA-PAC,Successfully generated SGA PAC
59100,Log-Management,Delete local store logs
59101,Log-Management,Delete local store logs
59102,Log-Management,Delete local store logs
59103,Log-Management,Delete local store logs
59200,Log-Management,Set log collector
59201,Log-Management,Set log collector
59202,Log-Management,Set log collector
59203,Log-Management,Resume log collector
59204,Log-Management,Resume log collector
59205,Log-Management,Resume log collector
59206,Log-Management,Suspend log collector
59207,Log-Management,Suspend log collector
59208,Log-Management,Suspend log collector
59250,CLI,Administrator reset the access setting from CLI
59251,CLI,Administrator activated/deactivated AD Debug level from CLI
59252,CLI,Administrator changed component Debug log level from CLI
59253,CLI,Administrator started export configuration data process from CLI
59254,CLI,Administrator started export configuration data process from CLI
59255,CLI,Administrator aborted import/export configuration data process from CLI
59256,CLI,Administrator started replication process from CLI
59257,CLI,Administrator reset management interface certificate from CLI
59258,CLI,Administrator decrypted support bundle from CLI
60000,Software-Management,Patch installation completed successfully on the node
60001,Software-Management,Patch installation failed on the node
60002,Software-Management,Patch rollback completed successfully on the node
60003,Software-Management,Patch rollback failed on the node
60050,Distributed-Management,Node added to deployment successfully
60051,Distributed-Management,Failed to add node to deployment
60052,Distributed-Management,Node removed from deployment
60053,Distributed-Management,Failed to remove node from deployment
60054,Distributed-Management,Node updated successfully
60055,Distributed-Management,Failed to update node
60056,PSN-Heartbeat,The runtime status of the node group has changed
60057,PSN-Heartbeat,A PDP node went down
60058,PSN-Heartbeat,Heartbeat system initial status
60059,PSN-Heartbeat,Node has successfully registered with MnT
60060,OCSP,Administrator invoked OCSP Clear Cache operation for all Policy Service nodes
60061,OCSP,OCSP Clear Cache operation completed successfully
60062,OCSP,OCSP Clear Cache operation terminated with error
60063,Distributed-Management,Replication to node completed successfully
60064,Distributed-Management,Replication to node failed
3000,Radius-Accounting,RADIUS Accounting start request
3001,Radius-Accounting,RADIUS Accounting stop request
3002,Radius-Accounting,RADIUS Accounting watchdog update
3003,Radius-Accounting,RADIUS Accounting is on
3004,Radius-Accounting,RADIUS Accounting is off
3005,Radius-Accounting,RADIUS Accounting tunnel start request
3006,Radius-Accounting,RADIUS Accounting tunnel stop request
3007,Radius-Accounting,RADIUS Accounting tunnel rejected
3008,Radius-Accounting,RADIUS Accounting tunnel link start
3009,Radius-Accounting,RADIUS Accounting tunnel link stop
3010,Radius-Accounting,RADIUS Accounting tunnel link rejected
3300,Tacacs-Accounting,TACACS+ Accounting with Command
3301,Tacacs-Accounting,TACACS+ Accounting START
3302,Tacacs-Accounting,TACACS+ Accounting STOP
3303,Tacacs-Accounting,TACACS+ Accounting WATCHDOG
3304,Tacacs-Accounting,TACACS+ Accounting request rejected
5200,Passed-Authentication,Authentication succeeded
5201,Passed-Authentication,Authentication succeeded
5202,Device-Administration,Command Authorization succeeded
5203,Device-Administration,Session Authorization succeeded
5204,Passed-Authentication,Change password succeeded
5205,Dynamic-Authorization,Dynamic Authorization succeeded
5206,Passed-Authentication,PAC provisioned
5231,Guest,Guest Authentication Passed
5232,Passed-Authentication,DACL Download Succeeded
5233,Passed-Authentication,TrustSec Data Download Succeeded
5234,Passed-Authentication,TrustSec Peer Policy Download Succeeded
5235,Sponsor,Sponsor has successfully authenticated
5236,Passed-Authentication,Authorize-Only succeeded
5237,Guest,Device Registration Web Authentication Passed
5400,Failed-Attempt,Authentication failed
5401,Failed-Attempt,Authentication failed
5402,Failed-Attempt,Command Authorization failed
5403,Device-Administration,Session Authorization failed
5404,Device-Administration,Authorization failed
5405,Failed-Attempt,RADIUS Request dropped
5406,Failed-Attempt,TACACS+ Request dropped
5407,Failed-Attempt,TACACS+ Authorization failed
5408,Failed-Attempt,Command Authorization encountered an error
5409,Failed-Attempt,Session Authorization encountered an error
5410,Failed-Attempt,TACACS+ Authorization encountered an error
5411,Failed-Attempt,Supplicant stopped responding to ISE
5412,Failed-Attempt,TACACS+ authentication request ended with error
5413,Failed-Attempt,RADIUS Accounting-Request dropped
5414,Failed-Attempt,TACACS+ accounting has failed
5415,Failed-Attempt,Change password failed
5416,Failed-Attempt,RADIUS PAP session cleaned up
5417,Dynamic-Authorization,Dynamic Authorization failed
5431,Guest,Guest Authentication Failed
5432,Failed-Attempt,DACL Download Failed
5433,Failed-Attempt,SGA Data Download Failed
5434,RADIUS-Failed-Attempt,Endpoint conducted several failed authentications of the same scenario/SGA Peer Policy Download Failed
5435,RADIUS-Sponsor,NAS conducted several failed authentications of the same scenario. Could not locate Network Device or AAA Client
5436,RADIUS-Failed-Attempt,RADIUS packet already in the process/Authorize-Only failed
5437,RADIUS-Guest,Duplicate RADIUS packet for existing session but with different RADIUS parameters/Device Registration Web Authentication Failed
10000,AAC,Received Administrator authentication request
10001,AAC,Internal error. Incorrect configuration version
10002,AAC,Internal error: Failure to load appropriate service
10003,AAC,Internal error: Administrator authentication received blank Administrator name
10004,AAC,Internal error: Administrator authentication received blank Administrator password
10005,AAC,Administrator authenticated successfully
10006,AAC,Administrator authentication failed
10007,AAC,Administrator authentication failed - DB Error
10008,AAC,Received valid Administrator authentication request
10009,AAC,Received Administrator authentication request
10010,AAC,Admin password change reminder
10011,AAC,Admin password change required due to expired password
10012,AAC,Admin password change required due to account inactivity
10013,AAC,Admin account set as 'never disabled'
10014,AAC,Admin account set to change password on next login
11001,RADIUS,Received RADIUS Access-Request
11002,RADIUS,Returned RADIUS Access-Accept
11003,RADIUS,Returned RADIUS Access-Reject
11004,RADIUS,Received RADIUS Accounting-Request
11005,RADIUS,Returned RADIUS Accounting-Response
11006,RADIUS,Returned RADIUS Access-Challenge
11007,RADIUS,Could not locate Network Device or AAA Client
11008,RADIUS,Received Service-Type = Call Check (but there is no Calling-Station-ID)
11009,RADIUS,RADIUS listener started
11010,RADIUS,RADIUS listener stopped
11011,RADIUS,RADIUS listener failed
11012,RADIUS,RADIUS packet contains invalid header
11013,RADIUS,RADIUS packet already in the process
11014,RADIUS,RADIUS packet contains invalid attribute(s)
11015,RADIUS,"An Access-Request MUST contain at least a NAS-IP-Address, NAS-IPv6-Address, or a NAS-Identifier; Continue processing"
11016,RADIUS,Translating EAP protocol result into RADIUS result
11017,RADIUS,RADIUS created a new session
11018,RADIUS,RADIUS is re-using an existing session
11019,RADIUS,Selected DenyAccess Service
11020,RADIUS,RADIUS session authorization did not return a valid result
11021,RADIUS,RADIUS could not decipher password. packet missing necessary attributes
11022,DACL,Added the dACL specified in the Authorization Profile
11023,DACL,The requested dACL is not found. This is an unknown dACL name
11024,DACL,The Access-Request for the requested dACL is missing a Message-Authenticator attribute. The request is rejected
11025,DACL,The Access-Request for the requested dACL is missing a cisco-av-pair attribute with the value aaa:event=acl-download. The request is rejected
11026,DACL,The requested dACL is not found
11027,RADIUS,Detected Host Lookup UseCase (Service-Type = Call Check (10))
11028,RADIUS,Detected Host Lookup UseCase (UserName = Calling-Station-ID)
11029,RADIUS,Unsupported RADIUS packet type
11030,RADIUS,Pre-parsing of the RADIUS packet failed
11031,RADIUS,RADIUS packet type is not a valid Request
11032,RADIUS,Selected Access Service type is not Device Administration
11033,RADIUS,Selected Service type is not Network Access
11034,RADIUS,Ignoring detection of Host Lookup UseCase (Service-Type = Call Check (10))
11035,DACL,The session associated with the requested dACL has timed out
11036,RADIUS,The Message-Authenticator RADIUS attribute is invalid
11037,RADIUS,Dropped accounting request received via unsupported port
11038,RADIUS,RADIUS Accounting-Request header contains invalid Authenticator field
11039,RADIUS,RADIUS authentication request rejected due to critical logging Error
11040,RADIUS,RADIUS accounting request dropped due to critical logging Error
11041,RADIUS,RADIUS PAP session timed out
11042,RADIUS,Received duplicate RADIUS request; retransmitting previous response
11043,RADIUS,Received RADIUS CoA request
11044,RADIUS,Received RADIUS disconnect request
11045,RADIUS,Returned RADIUS CoA ACK
11046,RADIUS,Returned RADIUS CoA NAK
11047,RADIUS,Returned RADIUS disconnect ACK
11048,RADIUS,Returned RADIUS disconnect NAK
11049,RADIUS,Settings of RADIUS default network will be used
11050,RADIUS,RADIUS request dropped due to system overload
11051,RADIUS,RADIUS packet contains invalid state attribute
11052,RADIUS,Authentication request dropped due to unsupported port number
11053,RADIUS,Invalid attributes in outgoing RADIUS packet - possibly some attributes exceeded their size limit
11054,RADIUS,Request from a non-wireless device was dropped due to installed Wireless license
11100,RADIUS-Client,RADIUS-Client about to send request
11101,RADIUS-Client,RADIUS-Client received response
11102,RADIUS-Client,RADIUS-Client silently discarded invalid response
11103,RADIUS-Client,RADIUS-Client encountered Error during processing flow
11104,RADIUS-Client,RADIUS-Client request timeout expired
11105,RADIUS-Client,Request received from a device that is configured with KeyWrap in ISE
11106,RADIUS-Client,Error in KeyWrap configuration
11107,RADIUS-Client,Required attributes for KeyWrap are missing
11108,RADIUS-Client,Missing required EapMessage attribute for KeyWrap
11109,RADIUS-Client,RADIUS request improperly contains both KeyWrap and MessageAuthenticator attributes
11110,RADIUS-Client,Request received from a KeyWrap enabled device. The TunnelPassword attribute is present in KeyWrap
