ORACODE,DESCRIPTION,CAUSE,ACTION
ORA-32,"invalid session migration password","The session migration password specified in a session creation call was invalid (probably too long).","Retry with a valid password (less than 30 chars)."
ORA-00033,"current session has empty migration password","An attempt was made to detach or clone the current session and it has an empty migration password. This is not allowed.","Create the session with a non-empty migration password."
ORA-33,"current session has empty migration password","An attempt was made to detach or clone the current session and it has an empty migration password. This is not allowed.","Create the session with a non-empty migration password."
ORA-00034,"cannot string in current PL/SQL session","An attempt was made to issue a commit or rollback from a PL/SQL object (procedure, function, package) in a session that has this disabled (by 'alter session disable commit in procedure')","Enable commits from PL/SQL in this session, or do not attempt to use commit or rollback in PL/SQL when they are disabled in the current session."
ORA-34,"cannot string in current PL/SQL session","An attempt was made to issue a commit or rollback from a PL/SQL object (procedure, function, package) in a session that has this disabled (by 'alter session disable commit in procedure')","Enable commits from PL/SQL in this session, or do not attempt to use commit or rollback in PL/SQL when they are disabled in the current session."
ORA-00036,"maximum number of recursive SQL levels (string) exceeded","An attempt was made to go more than the specified number of recursive SQL levels.","Remove the recursive SQL, possibly a recursive trigger."
ORA-36,"maximum number of recursive SQL levels (string) exceeded","An attempt was made to go more than the specified number of recursive SQL levels.","Remove the recursive SQL, possibly a recursive trigger."
ORA-00037,"cannot switch to a session belonging to a different server group","An attempt was made to switch to a session in a different server group. This is not allowed.","Make sure the server switches to a session that belongs to its server group."
ORA-37,"cannot switch to a session belonging to a different server group","An attempt was made to switch to a session in a different server group. This is not allowed.","Make sure the server switches to a session that belongs to its server group."
ORA-00038,"Cannot create session: server group belongs to another user","An attempt was made to create a non-migratable session in a server group that is owned by a different user.","A server group is owned by the first user who logs into a server in the server group in non-migratable mode. All subsequent non-migratable mode logins must be made by the user who owns the server group. To have a different user login in non-migratable mode, the ownership of the server group will have to be changed. This can be done by logging off all current sessions and detaching from all existing servers in the server group and then having the new user login to become the new owner."
ORA-38,"Cannot create session: server group belongs to another user","An attempt was made to create a non-migratable session in a server group that is owned by a different user.","A server group is owned by the first user who logs into a server in the server group in non-migratable mode. All subsequent non-migratable mode logins must be made by the user who owns the server group. To have a different user login in non-migratable mode, the ownership of the server group will have to be changed. This can be done by logging off all current sessions and detaching from all existing servers in the server group and then having the new user login to become the new owner."
ORA-00039,"error during periodic action","An unexpected error occurred while executing a periodically invoked","Check the error stack for detailed error information."
ORA-39,"error during periodic action","An unexpected error occurred while executing a periodically invoked","Check the error stack for detailed error information."
ORA-00040,"active time limit exceeded - call aborted","The Resource Manager SWITCH_TIME limit was exceeded.","Reduce the complexity of the update or query, or contact your database administrator for more information."
ORA-40,"active time limit exceeded - call aborted","The Resource Manager SWITCH_TIME limit was exceeded.","Reduce the complexity of the update or query, or contact your database administrator for more information."
ORA-00041,"active time limit exceeded - session terminated","The Resource Manager SWITCH_TIME limit was exceeded.","Reduce the complexity of the update or query, or contact your database administrator for more information."
ORA-41,"active time limit exceeded - session terminated","The Resource Manager SWITCH_TIME limit was exceeded.","Reduce the complexity of the update or query, or contact your database administrator for more information."
ORA-00042,"Unknown Service name string","An attempt was made to use an invalid application service.","Use a valid service name from SERVICE$ or add a new service using the DBMS_SERVICE package."
ORA-42,"Unknown Service name string","An attempt was made to use an invalid application service.","Use a valid service name from SERVICE$ or add a new service using the DBMS_SERVICE package."
ORA-00043,"remote operation failed","Execution of the inter-instance operation failed.","Check the status of the target instance. The operation may have partially executed. Verify the result of the intended operation."
ORA-43,"remote operation failed","Execution of the inter-instance operation failed.","Check the status of the target instance. The operation may have partially executed. Verify the result of the intended operation."
ORA-00044,"timed_statistics must be TRUE when statistics_level is not BASIC","The user attempted to set timed_statistics to FALSE when statistics_level was not BASIC. timed_statistics is required to be TRUE to collect meaningful statistics when statistics_level is set to TYPICAL or ALL.","Either set timed_statistics to TRUE or set statistics_level to BASIC."
ORA-44,"timed_statistics must be TRUE when statistics_level is not BASIC","The user attempted to set timed_statistics to FALSE when statistics_level was not BASIC. timed_statistics is required to be TRUE to collect meaningful statistics when statistics_level is set to TYPICAL or ALL.","Either set timed_statistics to TRUE or set statistics_level to BASIC."
ORA-00045,"Your session has been terminated with no replay.","A privileged user terminated your session and you were no longer logged on to the database. Your session will not be replayed by Application Continuity or Transparent Application Failover (TAF).","Log in again if you wish to continue working."
ORA-45,"Your session has been terminated with no replay.","A privileged user terminated your session and you were no longer logged on to the database. Your session will not be replayed by Application Continuity or Transparent Application Failover (TAF).","Log in again if you wish to continue working."
ORA-00046,"cannot modify sessions parameter","An attempt was made to alter the sessions parameter in the root container or non-consolidated database.","The sessions parameter behaves like a static parameter in root containers and non-consolidated databases and hence cannot be altered. It can only be altered from a pluggable database."
ORA-46,"cannot modify sessions parameter","An attempt was made to alter the sessions parameter in the root container or non-consolidated database.","The sessions parameter behaves like a static parameter in root containers and non-consolidated databases and hence cannot be altered. It can only be altered from a pluggable database."
ORA-00047,"cannot set sessions parameter to this value","An attempt was made to alter the sessions parameter to a value greater than the root container's session value.","The sessions parameter can only be set to a value less than or equal to the root container's session value."
ORA-47,"cannot set sessions parameter to this value","An attempt was made to alter the sessions parameter to a value greater than the root container's session value.","The sessions parameter can only be set to a value less than or equal to the root container's session value."
ORA-00050,"operating system error occurred while obtaining an enqueue","Could not obtain the operating system resources necessary to cover an oracle enqueue. This is normally the result of an operating system user quota that is too low.","Look up the operating system error in your system documentation and perform the needed action."
ORA-50,"operating system error occurred while obtaining an enqueue","Could not obtain the operating system resources necessary to cover an oracle enqueue. This is normally the result of an operating system user quota that is too low.","Look up the operating system error in your system documentation and perform the needed action."
ORA-00051,"timeout occurred while waiting for a resource","Usually due to a dead instance.","Check for any dead, unrecovered instances and recover them."
ORA-51,"timeout occurred while waiting for a resource","Usually due to a dead instance.","Check for any dead, unrecovered instances and recover them."
ORA-00052,"maximum number of enqueue resources (string) exceeded","Ran out of enqueue resources.","Increase the value of the ENQUEUE_RESOURCES initialization parameter."
ORA-52,"maximum number of enqueue resources (string) exceeded","Ran out of enqueue resources.","Increase the value of the ENQUEUE_RESOURCES initialization parameter."
ORA-00053,"maximum number of enqueues exceeded","Ran out of enqueue state objects.","Increase the value of the ENQUEUES initialization parameter."
ORA-53,"maximum number of enqueues exceeded","Ran out of enqueue state objects.","Increase the value of the ENQUEUES initialization parameter."
ORA-00054,"resource busy and acquire with NOWAIT specified or timeout expired","Interested resource is busy.","Retry if necessary or increase timeout."
ORA-54,"resource busy and acquire with NOWAIT specified or timeout expired","Interested resource is busy.","Retry if necessary or increase timeout."
ORA-00055,"maximum number of DML locks exceeded","Ran out of DML lock state objects.","Increase the value of the DML_LOCKS initialization parameter and warm start."
ORA-55,"maximum number of DML locks exceeded","Ran out of DML lock state objects.","Increase the value of the DML_LOCKS initialization parameter and warm start."
ORA-00056,"DDL lock on object 'string.string' is already held in an incompatible mode","An attempt was made to acquire a DDL lock that is already locked.","This happens if you attempt to drop a table that has parse locks on it."
ORA-56,"DDL lock on object 'string.string' is already held in an incompatible mode","An attempt was made to acquire a DDL lock that is already locked.","This happens if you attempt to drop a table that has parse locks on it."
ORA-00057,"maximum number of temporary table locks exceeded","The number of temporary tables equals or exceeds the number of temporary table locks. Temporary tables are often created by large sorts.","Increase the value of the TEMPORARY_TABLE_LOCKS initialization parameter and warm start."
ORA-57,"maximum number of temporary table locks exceeded","The number of temporary tables equals or exceeds the number of temporary table locks. Temporary tables are often created by large sorts.","Increase the value of the TEMPORARY_TABLE_LOCKS initialization parameter and warm start."
ORA-00058,"DB_BLOCK_SIZE must be string to mount this database (not string)","DB_BLOCK_SIZE initialization parameter is wrong for the database being mounted. It does not match the value used to create the database.","Fix the value of the DB_BLOCK_SIZE parameter or mount a database that matches the value."
ORA-58,"DB_BLOCK_SIZE must be string to mount this database (not string)","DB_BLOCK_SIZE initialization parameter is wrong for the database being mounted. It does not match the value used to create the database.","Fix the value of the DB_BLOCK_SIZE parameter or mount a database that matches the value."
ORA-00059,"maximum number of DB_FILES exceeded","The value of the DB_FILES initialization parameter was exceeded.","Increase the value of the DB_FILES parameter and warm start."
ORA-59,"maximum number of DB_FILES exceeded","The value of the DB_FILES initialization parameter was exceeded.","Increase the value of the DB_FILES parameter and warm start."
ORA-00060,"deadlock detected while waiting for resource","Transactions deadlocked one another while waiting for resources.","Look at the trace file to see the transactions and resources involved. Retry if necessary."
ORA-60,"deadlock detected while waiting for resource","Transactions deadlocked one another while waiting for resources.","Look at the trace file to see the transactions and resources involved. Retry if necessary."
ORA-00061,"another instance has a different DML_LOCKS setting","The shared instance being started is using DML locks, and the running instances are not, or vice-versa.","Ensure that all instances' INIT.ORA files specify the DML_LOCKS parameter as 0 or all as non-zero."
ORA-61,"another instance has a different DML_LOCKS setting","The shared instance being started is using DML locks, and the running instances are not, or vice-versa.","Ensure that all instances' INIT.ORA files specify the DML_LOCKS parameter as 0 or all as non-zero."
ORA-00062,"DML full-table lock cannot be acquired; DML_LOCKS is 0","The instance was started with DML_LOCKS = 0, and the statement being executed needs a full-table lock (S, X, or SSX).","Restart the instance with DML_LOCKS not equal to zero, and reexecute the statement."
ORA-62,"DML full-table lock cannot be acquired; DML_LOCKS is 0","The instance was started with DML_LOCKS = 0, and the statement being executed needs a full-table lock (S, X, or SSX).","Restart the instance with DML_LOCKS not equal to zero, and reexecute the statement."
ORA-00063,"maximum number of log files exceeded string","The number of log files specificied exceeded the maximum number of log files supported in this release.","Re-create the control file with the highest number of log files no greater than the maximum supported in this release."
ORA-63,"maximum number of log files exceeded string","The number of log files specificied exceeded the maximum number of log files supported in this release.","Re-create the control file with the highest number of log files no greater than the maximum supported in this release."
ORA-00064,"object is too large to allocate on this O/S (string,string,string)","An initialization parameter was set to a value that required allocating more contiguous space than can be allocated on this operating system.","Reduce the value of the initialization parameter."
ORA-64,"object is too large to allocate on this O/S (string,string,string)","An initialization parameter was set to a value that required allocating more contiguous space than can be allocated on this operating system.","Reduce the value of the initialization parameter."
ORA-00065,"initialization of FIXED_DATE failed","The FIXED_DATE string was not in date format yyyy-mm-dd:hh24:mi:ss.","Make sure the initialization parameter is in the correct date format."
ORA-65,"initialization of FIXED_DATE failed","The FIXED_DATE string was not in date format yyyy-mm-dd:hh24:mi:ss.","Make sure the initialization parameter is in the correct date format."
ORA-00066,"SID 'string' contains an illegal character or is too long","The specified SID contained an illegal character or the SID specified was too long, which cannot occur in an SPFILE setting. Illegal characters include ,#''=() and whitespace.","Use a SID that does not contain a special character or whitespace. Check platform specific documentation for the maximum length of SID."
ORA-66,"SID 'string' contains an illegal character or is too long","The specified SID contained an illegal character or the SID specified was too long, which cannot occur in an SPFILE setting. Illegal characters include ,#''=() and whitespace.","Use a SID that does not contain a special character or whitespace. Check platform specific documentation for the maximum length of SID."
ORA-00067,"invalid value string for parameter string; must be at least string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-67,"invalid value string for parameter string; must be at least string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-00068,"invalid value string for parameter string, must be between string and string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-68,"invalid value string for parameter string, must be between string and string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-00069,"cannot acquire lock -- table locks disabled for string","A command was issued that tried to lock the table indicated in the message. Examples of commands that can lock tables are: LOCK TABLE, ALTER TABLE ... ADD (...), and so on.","Use the ALTER TABLE ... ENABLE TABLE LOCK command, and retry the command."
ORA-69,"cannot acquire lock -- table locks disabled for string","A command was issued that tried to lock the table indicated in the message. Examples of commands that can lock tables are: LOCK TABLE, ALTER TABLE ... ADD (...), and so on.","Use the ALTER TABLE ... ENABLE TABLE LOCK command, and retry the command."
ORA-00070,"command string is not valid","An invalid debugger command was specified.","Type HELP to see the list of available commands."
ORA-70,"command string is not valid","An invalid debugger command was specified.","Type HELP to see the list of available commands."
ORA-00071,"process number must be between 1 and string","An invalid process number was specified.","Specify a valid process number."
ORA-71,"process number must be between 1 and string","An invalid process number was specified.","Specify a valid process number."
ORA-00072,"process 'string' is not active","An invalid process was specified.","Specify a valid process."
ORA-72,"process 'string' is not active","An invalid process was specified.","Specify a valid process."
ORA-00073,"command string takes between string and string argument(s)","An incorrect number of arguments was specified.","Specify the correct number of arguments. Type HELP to see the list of commands and their syntax."
ORA-73,"command string takes between string and string argument(s)","An incorrect number of arguments was specified.","Specify the correct number of arguments. Type HELP to see the list of commands and their syntax."
ORA-00074,"no process has been specified","No debug process has been specified.","Specify a valid process."
ORA-74,"no process has been specified","No debug process has been specified.","Specify a valid process."
ORA-00075,"process 'string' not found in this instance","The specified process was not logged on to the current instance.","Specify a valid process."
ORA-75,"process 'string' not found in this instance","The specified process was not logged on to the current instance.","Specify a valid process."
ORA-00076,"dump string not found","An attempt was made to invoke a dump that does not exist.","Type DUMPLIST to see the list of available dumps."
ORA-76,"dump string not found","An attempt was made to invoke a dump that does not exist.","Type DUMPLIST to see the list of available dumps."
ORA-00077,"dump string is not valid","An attempt was made to invoke an invalid dump.","Try another dump."
ORA-77,"dump string is not valid","An attempt was made to invoke an invalid dump.","Try another dump."
ORA-00078,"cannot dump variables by name","An attempt was made to dump a variable by name on a system that does not support this feature.","Try the PEEK command."
ORA-78,"cannot dump variables by name","An attempt was made to dump a variable by name on a system that does not support this feature.","Try the PEEK command."
ORA-00079,"variable string not found","An attempt was made to dump a variable that does not exist.","Use a valid variable name."
ORA-79,"variable string not found","An attempt was made to dump a variable that does not exist.","Use a valid variable name."
ORA-00080,"invalid global area specified by level string","An attempt was made to dump an invalid global area.","Use level 1 for the PGA, 2 for the SGA, and 3 for the UGA. Use <extra + level> to dump global area <level> as well as <extra> bytes for every pointer; <extra> must be a multiple of 4."
ORA-80,"invalid global area specified by level string","An attempt was made to dump an invalid global area.","Use level 1 for the PGA, 2 for the SGA, and 3 for the UGA. Use <extra + level> to dump global area <level> as well as <extra> bytes for every pointer; <extra> must be a multiple of 4."
ORA-00081,"address range [string, string) is not readable","An attempt was made to read/write an invalid memory address range.","Try another address or length."
ORA-81,"address range [string, string) is not readable","An attempt was made to read/write an invalid memory address range.","Try another address or length."
ORA-00082,"memory size of string is not in valid set of [1], [2], [4]stringstringstringstringstring","An invalid length was specified for the POKE command.","Use a valid length (either 1, 2, 4, or possibly 8)."
ORA-82,"memory size of string is not in valid set of [1], [2], [4]stringstringstringstringstring","An invalid length was specified for the POKE command.","Use a valid length (either 1, 2, 4, or possibly 8)."
ORA-00083,"warning: possibly corrupt SGA mapped","Even though there may be SGA corruptions, the SGA was mapped.","Use the DUMPSGA command to dump the SGA."
ORA-83,"warning: possibly corrupt SGA mapped","Even though there may be SGA corruptions, the SGA was mapped.","Use the DUMPSGA command to dump the SGA."
ORA-00084,"global area must be PGA, SGA, or UGA","An attempt was made to dump an invalid global area.","Specify either PGA, SGA, or UGA."
ORA-84,"global area must be PGA, SGA, or UGA","An attempt was made to dump an invalid global area.","Specify either PGA, SGA, or UGA."
ORA-00085,"current call does not exist","An invalid attempt was made to dump the current call heap.","Wait until the process starts a call."
ORA-85,"current call does not exist","An invalid attempt was made to dump the current call heap.","Wait until the process starts a call."
ORA-00086,"user call does not exist","An invalid attempt was made to dump the user call heap.","Wait until the process starts a call."
ORA-86,"user call does not exist","An invalid attempt was made to dump the user call heap.","Wait until the process starts a call."
ORA-00087,"command cannot be executed on remote instance","Cluster database command issued for non cluster database ORADEBUG command.","Issue the command without the cluster database syntax."
ORA-87,"command cannot be executed on remote instance","Cluster database command issued for non cluster database ORADEBUG command.","Issue the command without the cluster database syntax."
ORA-00088,"command cannot be executed by shared server","Debug command issued on shared server.","Reissue the command using a dedicated server."
ORA-88,"command cannot be executed by shared server","Debug command issued on shared server.","Reissue the command using a dedicated server."
ORA-00089,"invalid instance number in ORADEBUG command","An invalid instance number was specified in a cluster database ORADEBUG command.","Reissue the command with valid instance numbers."
ORA-89,"invalid instance number in ORADEBUG command","An invalid instance number was specified in a cluster database ORADEBUG command.","Reissue the command with valid instance numbers."
ORA-00090,"failed to allocate memory for cluster database ORADEBUG command","Could not allocate memory needed to execute cluster database oradebug.","Reissue the command on each instance with single-instance oradebug."
ORA-90,"failed to allocate memory for cluster database ORADEBUG command","Could not allocate memory needed to execute cluster database oradebug.","Reissue the command on each instance with single-instance oradebug."
ORA-00091,"LARGE_POOL_SIZE must be at least string","The value of LARGE_POOL_SIZE is below the minimum size.","Increase the value of LARGE_POOL_SIZE past the minimum size."
ORA-91,"LARGE_POOL_SIZE must be at least string","The value of LARGE_POOL_SIZE is below the minimum size.","Increase the value of LARGE_POOL_SIZE past the minimum size."
ORA-00092,"LARGE_POOL_SIZE must be greater than LARGE_POOL_MIN_ ALLOC","The value of LARGE_POOL_SIZE is less than the value of LARGE_ POOL_MIN_ALLOC.","Increase the value of LARGE_POOL_SIZE past the value of LARGE_ POOL_MIN_ALLOC."
ORA-92,"LARGE_POOL_SIZE must be greater than LARGE_POOL_MIN_ ALLOC","The value of LARGE_POOL_SIZE is less than the value of LARGE_ POOL_MIN_ALLOC.","Increase the value of LARGE_POOL_SIZE past the value of LARGE_ POOL_MIN_ALLOC."
ORA-00093,"string must be between string and string","The parameter value is not in a valid range.","Modify the parameter value to be within the specified range."
ORA-93,"string must be between string and string","The parameter value is not in a valid range.","Modify the parameter value to be within the specified range."
ORA-00094,"string requires an integer value","The parameter value is not an integer.","Modify the parameter value to be an integer."
ORA-94,"string requires an integer value","The parameter value is not an integer.","Modify the parameter value to be an integer."
ORA-00096,"invalid value string for parameter string, must be from among string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-96,"invalid value string for parameter string, must be from among string","The value for the initialization parameter is invalid.","Choose a value as indicated by the message."
ORA-00097,"use of Oracle SQL feature not in SQL92 string Level","Usage of Oracle's SQL extensions.","None"
ORA-97,"use of Oracle SQL feature not in SQL92 string Level","Usage of Oracle's SQL extensions.","None"
ORA-00098,"creating or mounting the database requires a parameter file","An attempt was made to create or mount the database when the instance was started without a parameter file.","Restart the instance with a parameter file."
ORA-98,"creating or mounting the database requires a parameter file","An attempt was made to create or mount the database when the instance was started without a parameter file.","Restart the instance with a parameter file."
ORA-00099,"warning: no parameter file specified for string instance","Even though no parameter file was specified, the instance was started with all default values.","None"
ORA-99,"warning: no parameter file specified for string instance","Even though no parameter file was specified, the instance was started with all default values.","None"
ORA-00100,"no data found","An application made reference to unknown or inaccessible data.","Handle this condition within the application or make appropriate modifications to the application code. NOTE: If the application uses Oracle-mode SQL instead of ANSI-mode SQL, ORA-01403 will be generated instead of"
ORA-100,"no data found","An application made reference to unknown or inaccessible data.","Handle this condition within the application or make appropriate modifications to the application code. NOTE: If the application uses Oracle-mode SQL instead of ANSI-mode SQL, ORA-01403 will be generated instead of"
ORA-00101,"invalid specification for system parameter DISPATCHERS","The syntax for the DISPATCHERS parameter is incorrect.","Refer to the manual for correct syntax."
ORA-101,"invalid specification for system parameter DISPATCHERS","The syntax for the DISPATCHERS parameter is incorrect.","Refer to the manual for correct syntax."
ORA-00102,"network protocol string cannot be used by dispatchers","The network specified in DISPATCHERS does not have the functionality required by the dispatchers.","Refer to the manual on network protocols supported by the dispatchers."
ORA-102,"network protocol string cannot be used by dispatchers","The network specified in DISPATCHERS does not have the functionality required by the dispatchers.","Refer to the manual on network protocols supported by the dispatchers."
ORA-00103,"invalid network protocol; reserved for use by dispatchers","The network specified in the SQL*Net connect string is reserved for use by the dispatchers.","Specify other network protocols in the connection string."
ORA-103,"invalid network protocol; reserved for use by dispatchers","The network specified in the SQL*Net connect string is reserved for use by the dispatchers.","Specify other network protocols in the connection string."
ORA-00104,"deadlock detected; all public servers blocked waiting for resources","All available public servers are servicing requests that require resources locked by a client which is unable to get a public server to release the resources.","Increase the limit for the system parameter MAX_SHARED_SERVERS as the system will automaticaly start up new servers to break the deadlock until the number of servers reaches the value specified in MAX_SHARED_SERVERS."
ORA-104,"deadlock detected; all public servers blocked waiting for resources","All available public servers are servicing requests that require resources locked by a client which is unable to get a public server to release the resources.","Increase the limit for the system parameter MAX_SHARED_SERVERS as the system will automaticaly start up new servers to break the deadlock until the number of servers reaches the value specified in MAX_SHARED_SERVERS."
ORA-00105,"too many dispatcher configurations","Too many dispatcher configurations have been specified. No more can be added.","Consolidate the dispatcher configurations if possible."
ORA-105,"too many dispatcher configurations","Too many dispatcher configurations have been specified. No more can be added.","Consolidate the dispatcher configurations if possible."
ORA-00106,"cannot startup/shutdown database when connected to a dispatcher","An attempt was made to startup/shutdown database when connected to a shared server via a dispatcher.","Re-connect as user INTERNAL without going through the dispatcher. For most cases, this can be done by connect to INTERNAL without specifying a network connect string."
ORA-106,"cannot startup/shutdown database when connected to a dispatcher","An attempt was made to startup/shutdown database when connected to a shared server via a dispatcher.","Re-connect as user INTERNAL without going through the dispatcher. For most cases, this can be done by connect to INTERNAL without specifying a network connect string."
ORA-00107,"failed to connect to ORACLE listener process","Most likely due to the fact that ORACLE listener has not been started.","Start ORACLE listener if it has not been started. Or else contact your ORACLE representative."
ORA-107,"failed to connect to ORACLE listener process","Most likely due to the fact that ORACLE listener has not been started.","Start ORACLE listener if it has not been started. Or else contact your ORACLE representative."
ORA-00108,"failed to set up dispatcher to accept connection asynchronously","Most likely due to the fact that the network protocol used by the the dispatcher does not support aynchronous operations.","Contact your ORACLE representative."
ORA-108,"failed to set up dispatcher to accept connection asynchronously","Most likely due to the fact that the network protocol used by the the dispatcher does not support aynchronous operations.","Contact your ORACLE representative."
ORA-00109,"invalid value for attribute string: string","The value specified for the attribute was incorrect.","Refer to the manual for the proper values."
ORA-109,"invalid value for attribute string: string","The value specified for the attribute was incorrect.","Refer to the manual for the proper values."
ORA-00110,"invalid value string for attribute string, must be between string and string","The value specified for the attribute was incorrect.","Specify a value within the range allowed."
ORA-110,"invalid value string for attribute string, must be between string and string","The value specified for the attribute was incorrect.","Specify a value within the range allowed."
ORA-00111,"invalid attribute string","The specified attribute was not recognized.","Refer to the manual for the proper keyword to use to specify a dispatcher attribute."
ORA-111,"invalid attribute string","The specified attribute was not recognized.","Refer to the manual for the proper keyword to use to specify a dispatcher attribute."
ORA-00112,"value of string is null","The attribute was specified with no value.","Specify a non-null value."
ORA-112,"value of string is null","The attribute was specified with no value.","Specify a non-null value."
ORA-00113,"protocol name string is too long","A protocol name specified in the DISPATCHERS system parameter is too long.","Use a valid protocol name for the DISPATCHERS value."
ORA-113,"protocol name string is too long","A protocol name specified in the DISPATCHERS system parameter is too long.","Use a valid protocol name for the DISPATCHERS value."
ORA-00114,"missing value for system parameter SERVICE_NAMES","No value was specified for the SERVICE_NAMES system parameter, nor for the DB_NAME parameter.","Add an SERVICE_NAMES or DB_NAME definition to the INIT.ORA file. By default, SERVICE_NAMES is the value of DB_NAME unless SERVICE_ NAMES is explicitly specified."
ORA-114,"missing value for system parameter SERVICE_NAMES","No value was specified for the SERVICE_NAMES system parameter, nor for the DB_NAME parameter.","Add an SERVICE_NAMES or DB_NAME definition to the INIT.ORA file. By default, SERVICE_NAMES is the value of DB_NAME unless SERVICE_ NAMES is explicitly specified."
